,OMN,0
0,80.0,75.93927
1,20.0,37.606327
2,95.0,58.69107
3,95.0,77.25951
4,20.0,48.02347
5,85.0,48.168564
6,5.0,52.750515
7,65.0,57.261417
8,40.0,21.499569
9,20.0,45.028954
10,25.0,48.804176
11,60.0,56.743786
12,40.0,48.082996
13,40.0,27.912668
14,95.0,47.836506
15,60.0,65.21884
16,20.0,29.83374
17,80.0,75.67719
18,40.0,41.00715
19,45.0,48.626015
20,40.0,59.746067
21,80.0,66.87501
22,20.0,53.431232
23,60.0,66.81807
24,45.0,50.248905
25,45.0,47.70677
26,65.0,61.345882
27,25.0,39.592457
28,80.0,64.42431
29,95.0,77.25462
30,60.0,41.34208
31,100.0,82.667206
32,60.0,55.46018
33,60.0,56.084095
34,80.0,73.654106
35,40.0,47.18046
36,45.0,42.2692
37,65.0,51.95106
38,20.0,45.91477
39,20.0,30.685617
40,45.0,44.450794
41,60.0,57.44698
42,10.0,49.752785
43,40.0,43.564167
44,40.0,38.06892
45,60.0,69.39437
46,60.0,60.749073
47,40.0,60.45264
48,45.0,51.30918
49,65.0,67.64181
50,95.0,90.4955
51,95.0,49.42773
52,60.0,61.20571
53,10.0,35.0191
54,20.0,40.902523
55,85.0,53.104538
56,40.0,45.068947
57,20.0,37.070477
58,40.0,52.660503
59,65.0,62.507866
60,60.0,61.26947
61,100.0,64.21121
