,PAG,0
0,100.0,90.77316
1,75.0,65.82554
2,90.0,76.93865
3,5.0,63.410328
4,35.0,53.895145
5,15.0,19.611036
6,75.0,74.57096
7,95.0,77.76596
8,90.0,75.98195
9,95.0,62.194283
10,75.0,67.46258
11,25.0,63.264038
12,75.0,71.504875
13,90.0,75.506
14,90.0,46.11178
15,25.0,62.2422
16,5.0,19.351557
17,95.0,61.088318
18,80.0,75.278305
19,100.0,85.99325
20,15.0,42.224026
21,75.0,74.42299
22,80.0,75.31078
23,75.0,62.560863
24,80.0,71.951485
25,80.0,78.81758
26,75.0,58.05717
27,40.0,37.364662
28,15.0,14.320752
29,90.0,69.93764
30,55.0,45.367046
31,100.0,93.20208
32,60.0,56.58215
33,55.0,62.965492
34,95.0,84.25155
35,95.0,79.147606
36,80.0,69.57855
37,60.0,49.768585
38,25.0,59.515835
39,55.0,46.66909
40,90.0,64.122246
41,35.0,41.826267
42,100.0,91.21719
43,75.0,70.45794
44,90.0,70.02653
45,25.0,20.471897
46,90.0,78.963264
47,100.0,91.89395
48,80.0,65.24367
49,100.0,71.69995
50,95.0,68.300125
51,100.0,77.391754
52,80.0,53.285767
53,35.0,42.166916
54,55.0,61.16925
55,35.0,51.72533
56,5.0,52.15639
57,15.0,53.691273
58,95.0,76.70444
59,95.0,49.188026
60,40.0,38.886826
61,95.0,83.350624
