,PAG,0
0,25.0,28.945963
1,55.0,67.08602
2,100.0,78.30665
3,25.0,46.139664
4,95.0,95.53689
5,100.0,64.79492
6,55.0,52.368797
7,75.0,64.41607
8,55.0,52.599884
9,100.0,65.63305
10,55.0,57.00783
11,80.0,64.05681
12,25.0,67.02665
13,100.0,77.62824
14,55.0,54.69983
15,5.0,32.558666
16,35.0,35.786697
17,40.0,69.62991
18,75.0,69.18856
19,80.0,67.69717
20,75.0,65.70373
21,100.0,80.04843
22,55.0,47.83799
23,75.0,68.40432
24,90.0,82.33446
25,80.0,60.463184
26,75.0,74.19849
27,55.0,45.389603
28,90.0,80.978294
29,75.0,63.61242
30,15.0,67.204796
31,95.0,68.33101
32,80.0,63.519802
33,100.0,81.24506
34,55.0,58.318752
35,100.0,85.18896
36,100.0,80.760475
37,60.0,52.773468
38,90.0,77.709206
39,75.0,57.363766
40,55.0,58.32643
41,55.0,44.134693
42,55.0,60.276215
43,35.0,50.51606
44,75.0,60.728615
45,90.0,89.491974
46,5.0,70.489586
47,55.0,60.54571
48,90.0,72.79263
49,90.0,67.46335
50,100.0,97.96048
51,60.0,60.685223
52,90.0,60.07313
53,35.0,36.777103
54,25.0,42.265488
55,5.0,49.215816
56,40.0,42.00762
57,35.0,49.063244
58,90.0,69.30913
59,55.0,52.168186
60,35.0,35.95438
61,35.0,26.896618
62,95.0,52.2031
63,55.0,49.45654
64,100.0,77.48695
65,35.0,42.74131
66,95.0,70.7741
67,75.0,52.21724
68,75.0,78.722015
69,90.0,84.30078
70,90.0,75.19271
71,55.0,57.85329
72,35.0,30.494001
73,100.0,60.975433
74,55.0,66.79168
75,35.0,33.71555
76,25.0,36.602028
77,25.0,48.499245
78,90.0,69.622894
79,100.0,61.655334
80,100.0,69.004814
81,95.0,82.25719
82,55.0,68.18006
83,95.0,70.0052
84,90.0,66.55451
85,95.0,85.99485
86,100.0,85.63068
87,25.0,36.74367
88,25.0,54.17724
89,100.0,82.641304
90,95.0,87.36739
91,35.0,43.455208
92,60.0,69.60229
93,40.0,53.542072
94,95.0,74.46
95,75.0,69.57593
96,25.0,64.32489
97,60.0,56.28914
98,80.0,55.087505
99,60.0,52.523483
100,55.0,61.233795
101,25.0,65.50033
102,35.0,38.814697
103,90.0,68.6485
104,35.0,76.915886
105,100.0,73.78609
106,35.0,53.83437
107,80.0,66.66257
108,55.0,65.38502
109,60.0,50.54905
110,75.0,67.62767
111,95.0,80.99134
112,75.0,65.64769
113,55.0,65.52687
114,25.0,53.451294
115,55.0,55.741062
116,35.0,39.807484
117,90.0,56.40903
118,35.0,61.662262
119,60.0,82.98198
120,35.0,63.23408
121,55.0,57.494076
122,35.0,39.302757
123,90.0,78.687546
124,75.0,82.18663
125,25.0,75.41498
126,90.0,80.386955
127,35.0,43.909603
128,60.0,62.110916
129,25.0,34.396072
130,60.0,62.318005
131,60.0,55.829044
132,60.0,65.30204
133,35.0,53.87227
134,35.0,44.772663
135,100.0,74.520294
136,100.0,56.18795
137,95.0,88.20395
138,55.0,51.166187
139,95.0,78.283165
140,95.0,82.3428
141,25.0,75.03571
142,100.0,69.02381
143,80.0,70.37634
144,75.0,62.224556
145,55.0,54.06426
146,15.0,58.475147
147,55.0,44.259396
148,35.0,50.125237
149,60.0,57.192596
150,35.0,34.352474
151,55.0,51.96142
152,100.0,71.268936
153,55.0,42.109657
154,55.0,50.41775
155,100.0,66.777725
156,60.0,66.69122
157,95.0,75.96604
158,60.0,60.661484
159,55.0,57.939034
160,25.0,56.953346
161,60.0,59.62862
162,25.0,43.46539
163,90.0,65.95994
164,75.0,66.00635
165,90.0,84.82276
166,55.0,59.928833
167,100.0,89.26915
168,60.0,59.92638
169,25.0,48.37247
170,55.0,45.446995
171,75.0,72.32454
172,75.0,72.62021
173,80.0,64.202484
174,40.0,47.15473
175,80.0,79.325096
176,100.0,70.06747
177,90.0,77.70209
178,80.0,72.733185
179,90.0,86.58204
180,95.0,56.194935
181,55.0,52.7328
182,35.0,53.14575
183,90.0,57.30231
184,25.0,37.646004
185,75.0,69.59997
186,100.0,66.40306
187,100.0,89.16732
188,95.0,64.50615
189,90.0,79.09545
190,40.0,68.33629
191,75.0,74.307434
192,95.0,90.153564
193,75.0,59.169346
194,5.0,63.98114
195,90.0,75.75144
196,40.0,70.14531
197,55.0,60.352547
198,100.0,57.112015
199,90.0,83.41826
200,55.0,57.517857
201,75.0,72.30379
202,60.0,47.5192
203,60.0,54.881474
204,75.0,73.18788
205,90.0,77.514755
206,100.0,81.60645
207,55.0,49.333992
208,100.0,92.05099
209,95.0,67.99473
210,35.0,45.48057
211,100.0,72.47824
212,100.0,59.49033
213,40.0,47.285103
214,25.0,34.497047
215,55.0,51.080414
216,55.0,49.77891
217,75.0,57.338776
218,25.0,43.32367
219,95.0,76.49409
220,35.0,66.956764
221,60.0,58.29715
