,PAG,0
0,75.0,61.381054
1,90.0,83.54908
2,90.0,87.26148
3,25.0,75.26218
4,35.0,62.939266
5,55.0,49.752155
6,100.0,65.43747
7,90.0,82.80379
8,80.0,76.07131
9,35.0,39.593643
10,25.0,49.28872
11,55.0,53.379
12,75.0,73.611176
13,90.0,73.488754
14,15.0,45.12056
15,35.0,37.436726
16,15.0,25.20588
17,15.0,49.455856
18,100.0,100.43674
19,55.0,53.305042
20,80.0,74.613914
21,80.0,70.84248
22,95.0,77.65801
23,80.0,59.498898
24,60.0,53.98197
25,75.0,85.695694
26,60.0,61.869793
27,95.0,88.94413
28,100.0,89.36633
29,100.0,83.401215
30,25.0,33.893288
31,55.0,55.74662
32,75.0,73.197945
33,35.0,38.85136
34,15.0,53.9794
35,55.0,57.45623
36,95.0,68.18069
37,35.0,47.6168
38,15.0,20.373114
39,75.0,55.17487
40,100.0,59.741306
41,100.0,59.601814
42,75.0,86.77874
43,60.0,49.399784
44,60.0,51.96364
45,5.0,37.616245
46,55.0,57.801846
47,25.0,66.40709
48,90.0,64.35093
49,90.0,63.684826
50,100.0,63.68338
51,100.0,54.842358
52,55.0,59.119865
53,5.0,60.239235
54,95.0,86.92977
55,75.0,67.19403
56,60.0,62.509853
57,75.0,70.407455
58,90.0,86.911934
59,90.0,87.94381
60,75.0,65.75446
61,75.0,63.905163
