,PERCEPTUAL_DYSREGULATION,0
0,0.0,4.9483
1,0.25,5.490414
2,2.0,12.403257
3,0.0,4.482208
4,0.0,5.3466983
5,0.0,3.998901
6,0.0,1.333838
7,0.0,2.596476
8,0.0,6.1223464
9,1.0,11.356418
10,0.5,1.976418
11,0.25,7.4838414
12,0.0,4.272342
13,1.5,11.880358
14,0.25,11.089841
15,0.0,9.426635
16,2.0,8.785265
17,0.0,6.754824
18,0.25,5.904944
19,0.0,5.960771
20,0.0,15.090182
21,1.25,3.5565715
22,0.0,5.8016305
23,0.0,4.269402
24,0.25,2.6853824
25,2.25,13.251814
26,0.0,1.1423821
27,1.25,5.046104
28,2.25,10.711528
29,0.75,4.5419154
30,0.0,7.3499627
31,0.25,7.3135543
32,0.0,6.029857
33,1.0,5.1924396
34,1.5,9.987345
35,1.75,13.676924
36,0.25,4.3695416
37,0.25,9.04247
38,0.25,5.3785205
39,1.0,6.7755456
40,0.25,8.244961
41,2.25,10.438935
42,0.0,8.572002
43,0.0,7.0890985
44,1.5,9.732561
45,3.0,13.073505
46,1.0,8.829429
47,0.0,7.325441
48,1.25,7.524283
49,0.0,8.203455
50,0.0,2.2838168
51,0.0,6.244431
