,PERCEPTUAL_DYSREGULATION,0
0,1.0,6.2810187
1,0.0,1.6635919
2,0.0,7.7641053
3,0.75,3.0298886
4,0.25,1.5489526
5,0.25,4.6512284
6,0.0,9.055711
7,0.0,4.914784
8,1.5,10.953391
9,0.0,1.7937865
10,1.75,16.640274
11,0.0,11.580031
12,2.75,12.425919
13,0.0,3.0086913
14,0.0,3.5605779
15,0.0,7.3311105
16,0.25,5.217069
17,0.25,7.402455
18,1.75,10.052925
19,0.0,2.5703454
20,0.0,6.650559
21,0.0,4.18302
22,0.75,6.755344
23,0.0,5.5614057
24,0.0,6.795791
25,1.25,6.428534
26,0.5,8.92795
27,0.0,4.9318166
28,2.5,7.2887635
29,1.0,11.83945
30,0.25,5.3766665
31,0.0,5.4012885
32,0.0,2.247517
33,1.0,3.8940034
34,0.0,0.8428559
35,0.0,3.3789
36,0.0,4.721951
37,0.5,4.8398004
38,0.75,2.5152116
39,0.0,6.9752765
40,1.5,8.576985
41,1.5,10.060934
42,0.0,0.92848057
43,0.5,7.246922
44,0.0,4.4944425
45,1.0,6.46703
46,0.0,3.162188
47,0.0,1.3267608
48,0.0,6.963758
49,1.0,2.8481498
50,1.75,9.423556
51,0.0,4.122206
52,2.0,11.798483
53,0.25,6.3693805
54,0.0,8.228733
55,1.0,6.063992
56,0.0,6.298614
57,0.0,11.069918
58,0.75,16.611845
59,0.0,7.4472404
60,0.0,0.0
61,1.5,4.968476
62,0.5,4.167585
63,0.0,4.1391873
64,0.5,3.9705634
65,2.5,11.505447
66,0.0,4.615001
67,1.25,5.797665
68,0.5,6.13983
69,0.0,6.8849244
70,0.0,8.980318
71,0.0,12.616277
72,0.0,1.8127723
73,1.75,7.781566
74,0.75,7.559998
75,0.0,12.355101
76,2.0,11.689302
77,0.0,2.389542
78,1.0,9.9268
79,0.0,5.9565053
80,0.5,10.472332
81,1.75,14.264412
82,0.0,3.7771125
83,0.0,5.05395
84,0.0,5.247372
85,0.0,10.952025
86,2.0,9.70389
87,0.25,6.6128945
88,2.0,8.50402
89,0.0,2.5463777
90,0.0,2.3508973
91,1.0,7.449722
92,2.75,8.213273
93,0.25,2.291391
94,0.75,7.1022267
95,0.75,8.231926
96,0.5,10.453862
97,2.0,7.069634
98,0.0,4.365293
99,1.25,4.869118
100,0.5,7.041388
101,1.25,6.9827332
102,0.0,6.2139955
103,0.0,5.5539002
104,0.0,2.2563643
105,0.0,2.2961745
106,0.0,4.133862
107,0.25,9.027805
108,0.0,6.287703
109,0.5,4.77177
110,2.25,8.951199
111,0.0,4.6744943
112,2.0,7.980231
113,0.0,1.957725
114,0.0,2.256596
115,0.0,5.5442395
116,1.0,10.722106
117,1.75,8.280217
118,0.0,5.9233966
119,0.5,5.197657
120,0.0,6.6289277
121,0.0,5.8155503
122,0.0,10.11377
123,2.0,9.8308325
124,0.0,7.129515
125,0.5,6.6763673
126,0.5,3.390368
127,0.0,9.194737
128,0.25,9.012833
129,0.0,6.835383
130,0.0,2.0179868
131,0.0,4.0516896
132,0.0,7.0498633
133,1.25,9.223108
134,3.0,9.111306
135,0.0,4.605515
136,0.0,3.9551167
137,0.25,9.694757
138,0.0,1.9323449
139,0.0,8.328735
140,1.5,8.371441
141,0.0,9.315903
142,0.0,5.0085254
143,0.0,2.2494607
144,1.0,6.727588
145,0.0,4.166966
146,0.0,5.209994
147,2.5,11.314344
148,1.75,8.441945
149,0.0,8.383377
150,0.0,6.78381
151,0.25,5.3328233
152,0.0,6.2912517
153,2.0,7.2808995
154,2.0,6.790047
155,0.0,0.0
156,0.0,3.0015016
157,0.5,2.9349198
158,0.5,7.8041043
159,0.0,5.3865666
160,0.0,5.5265756
161,0.5,6.8961043
162,0.0,2.1870608
163,0.0,6.764796
164,2.5,9.339954
165,0.0,5.418369
166,1.75,8.077069
167,0.0,4.2556596
168,0.75,10.070557
169,0.0,5.6024137
170,0.0,2.7762008
171,1.75,0.25997874
172,0.0,3.8243546
173,1.0,5.5291057
174,1.75,16.860899
175,0.0,9.536744
176,0.0,7.7946677
177,1.0,4.709108
178,0.0,3.1938233
179,1.5,8.563367
180,0.25,4.1579566
181,0.0,4.879647
182,2.0,8.662786
183,0.0,9.417174
184,1.0,10.048699
185,2.0,10.552375
186,2.0,2.673777
187,0.0,1.0143723
188,1.0,6.9435706
189,0.0,3.9553695
190,0.0,3.767449
191,0.0,8.896704
192,1.25,13.648498
193,0.75,6.7705607
194,0.0,2.504251
195,0.0,3.3064542
196,0.0,5.0614
197,1.5,7.250071
198,0.5,5.433747
199,0.0,7.5629697
200,0.75,6.5461354
201,1.75,11.163729
202,0.0,8.718703
203,2.5,11.1366825
204,0.0,7.860432
205,0.0,7.7030845
206,0.0,5.2687573
207,1.0,8.072029
208,0.0,2.2172227
209,2.25,16.708475
210,0.0,7.1679196
211,0.0,1.4001527
212,0.0,9.174418
213,0.5,13.75614
214,1.5,5.792024
215,0.0,6.9047647
216,1.5,11.801963
217,0.0,2.1202502
218,2.25,11.646618
219,2.5,9.719627
220,0.0,8.605745
221,0.0,6.5739245
222,1.25,8.807071
223,0.5,4.786201
224,0.5,3.2531533
225,1.0,3.3239474
226,0.0,1.3081517
227,0.0,7.129679
228,0.0,5.6378217
229,0.0,6.586225
230,1.0,3.3736043
231,0.0,1.9633212
232,0.0,10.699703
233,0.5,7.1326594
234,0.5,0.8532652
235,0.5,7.10344
236,0.0,9.122379
237,0.5,9.035613
238,0.75,9.411673
239,0.0,6.922977
240,0.0,11.057137
241,0.0,6.7111344
242,0.25,4.0226207
243,1.75,10.02459
244,1.5,4.020249
245,1.25,11.544443
246,0.0,3.536758
247,0.0,8.066397
248,0.5,1.8862576
249,0.0,3.136001
250,0.75,9.951281
251,0.0,5.0830874
252,1.75,11.338027
253,1.25,10.068254
254,2.0,14.427954
255,2.25,13.982824
256,0.5,10.253942
257,2.25,8.575389
258,0.0,1.4036765
259,1.0,3.2870746
260,0.0,6.246486
261,0.0,4.536635
262,0.0,3.8451667
263,0.0,7.5067773
264,0.5,7.1158834
265,1.5,7.6156754
266,0.5,8.943309
267,0.0,5.175136
268,0.0,7.5162234
269,0.0,9.877059
270,0.0,3.9208503
271,0.0,7.1995683
272,0.25,7.563312
273,1.75,9.226975
274,0.5,6.812965
275,0.0,5.5959373
276,0.5,6.8980756
277,0.0,0.38723227
278,1.75,5.5563073
279,0.0,6.007363
280,1.5,10.088681
281,2.5,5.434446
282,1.5,4.428246
283,0.5,7.0850606
284,0.0,8.640269
285,0.0,5.652284
286,0.5,6.410461
287,0.25,4.7787833
288,0.0,5.794618
289,0.0,5.4441257
290,0.0,6.533527
291,0.0,0.50025505
292,0.0,7.480017
293,0.75,6.710895
294,0.0,5.4522233
295,0.0,5.989651
296,0.25,0.0
297,0.25,10.222383
298,0.0,9.233266
299,0.25,3.1784873
300,0.25,4.8692527
301,1.25,8.894477
302,0.0,6.137997
303,0.0,0.97553486
304,2.5,9.501696
305,0.0,8.043715
306,2.0,10.818518
307,0.5,5.5461545
308,0.0,0.0
309,0.0,8.001068
310,0.0,1.5535102
311,0.0,3.000114
312,1.5,7.042875
313,0.0,7.3312907
314,0.0,2.2829814
315,0.25,3.4888692
316,1.0,7.431257
317,0.0,5.7385526
318,0.5,10.131822
319,0.0,2.4979596
320,0.0,1.8232036
321,0.0,2.5957637
322,0.5,1.8939548
323,1.75,11.225819
324,0.0,6.2319417
325,0.75,0.0
326,0.0,6.3279634
327,0.25,4.0170455
328,0.0,4.245828
329,0.75,6.514425
330,2.25,5.7368646
331,0.0,0.025706736
332,1.0,4.3656297
333,1.5,6.5080466
334,0.0,9.424397
335,0.75,10.703898
336,0.0,5.4423156
337,0.25,4.4278674
338,0.0,0.65565914
339,0.0,4.7361255
340,0.0,9.501005
341,2.75,12.230844
342,0.0,1.6826053
343,0.0,5.5305114
344,0.5,8.3578
345,0.0,8.978988
346,0.75,5.999863
347,0.25,6.1201425
348,2.25,12.252172
349,0.0,4.4393163
350,0.5,3.0106883
351,0.0,4.9210296
352,1.25,11.2878065
353,0.0,8.790722
354,3.0,10.493659
355,1.0,8.263708
356,0.0,6.8985934
357,0.75,8.283111
358,0.25,4.981664
359,0.0,7.8993297
360,0.75,6.215941
361,0.0,3.778008
362,0.0,0.0
363,0.0,5.0491347
364,0.25,14.331577
365,0.0,0.14597365
366,0.0,1.046432
367,0.75,8.579437
368,0.0,4.100284
369,1.75,6.145639
370,0.0,4.6564183
371,0.25,7.612291
372,0.0,3.1150231
373,0.0,9.406258
374,0.25,5.8629346
375,2.25,10.355547
376,0.0,6.134393
377,0.5,8.786621
378,0.75,3.4034352
379,2.75,9.251186
380,0.0,6.45167
381,0.0,4.548714
382,0.0,3.568317
383,0.25,7.024669
384,1.75,7.15379
385,1.5,8.43008
386,0.0,11.106061
387,0.0,4.5853267
388,0.0,6.6157727
389,0.0,0.9760584
390,1.0,8.158781
391,1.0,11.945768
392,0.0,6.54522
393,0.25,8.563196
394,0.0,3.3363738
395,0.0,5.9683642
396,1.25,7.696242
397,0.0,4.2847486
398,0.75,6.5414386
399,1.0,4.6704335
400,1.0,11.977631
401,0.75,7.5418286
402,0.0,5.431562
403,0.0,7.628739
404,1.0,9.135559
405,0.0,3.5156674
406,0.25,6.3997855
407,0.75,6.7293954
408,0.0,6.5199857
409,0.0,7.160476
410,0.25,6.386831
411,0.0,4.7323365
412,0.0,8.001352
413,0.25,10.569605
414,0.0,6.029753
415,0.0,3.4699683
