,PERCEPTUAL_DYSREGULATION,0
0,0.75,3.1026902
1,0.0,9.2347555
2,2.0,10.194622
3,1.25,14.930585
4,0.0,4.1264977
5,0.5,8.755547
6,0.0,0.0
7,1.75,8.78522
8,0.25,4.0148654
9,2.75,11.981552
10,0.5,9.45882
11,0.25,5.3698897
12,0.5,8.362945
13,0.5,8.225864
14,1.75,11.646092
15,0.75,10.421053
16,0.0,2.61519
17,0.0,6.00009
18,0.75,6.9755864
19,0.0,2.700581
20,0.0,0.8929381
21,0.0,4.5715423
22,0.0,8.021339
23,0.0,7.7112355
24,0.0,4.0301967
25,0.0,5.248059
26,0.0,3.319882
27,2.25,12.246525
28,0.0,9.735925
29,1.25,13.550873
30,0.5,8.3984165
31,1.75,8.776707
32,0.25,3.6199298
33,0.0,0.0
34,0.0,6.497912
35,0.25,5.018785
36,0.5,6.462827
37,0.25,2.6873736
38,0.5,4.904427
39,0.0,9.057646
40,0.0,5.1607833
41,0.5,3.1886573
42,0.0,3.248135
43,0.0,9.152801
44,0.0,8.43217
45,0.0,5.919743
46,0.0,3.6368546
47,3.0,8.814866
48,0.75,6.4370227
49,0.0,3.6146903
50,0.75,7.2136607
51,0.0,7.605906
52,0.0,4.9181705
