,PERSEVERATION,0
0,0.25,14.7408285
1,2.25,20.155575
2,0.25,11.314809
3,1.25,10.910689
4,0.75,18.390429
5,2.0,18.592375
6,0.75,18.704956
7,0.0,20.776653
8,1.25,19.254475
9,1.25,26.075342
10,2.0,22.51949
11,2.0,20.276033
12,0.0,14.957113
13,1.5,17.933208
14,0.0,18.939814
15,1.5,20.531366
16,1.0,20.394318
17,0.75,17.171652
18,2.5,20.964108
19,2.5,21.60431
20,0.25,21.530605
21,2.0,18.591755
22,0.25,9.441676
23,0.5,22.281471
24,2.0,20.808586
25,0.75,20.241253
26,1.5,13.340266
27,0.5,19.28469
28,1.75,23.179382
29,2.0,17.152847
30,1.0,11.115501
31,0.25,16.084396
32,1.25,20.272366
33,2.75,20.830833
34,1.0,17.147278
35,1.0,16.22491
36,1.25,15.811735
37,0.0,16.81379
38,1.25,18.23005
39,2.0,18.759827
40,2.25,23.0405
41,1.5,17.908659
42,3.0,24.933952
43,2.25,19.539833
44,0.25,14.820622
45,1.5,18.3344
46,0.5,16.01876
47,1.25,17.20229
48,0.0,15.121101
49,0.25,17.910477
50,1.75,15.587668
51,0.0,22.438068
