,PERSEVERATION,0
0,2.0,19.232574
1,0.75,17.028631
2,0.75,14.895261
3,0.25,17.345165
4,1.0,17.263668
5,0.5,17.660603
6,2.75,21.58864
7,0.5,15.347944
8,1.25,19.480194
9,0.0,16.478497
10,0.5,12.860977
11,2.0,21.244217
12,1.75,22.379128
13,1.75,20.362486
14,0.0,12.578984
15,0.25,15.716463
16,1.75,19.888855
17,2.0,19.266243
18,1.0,19.930374
19,0.5,21.683926
20,0.75,14.295293
21,1.75,29.698526
22,1.0,21.686646
23,2.0,17.6932
24,1.25,20.027706
25,0.0,10.773877
26,0.75,17.755407
27,0.5,12.578569
28,1.0,14.735903
29,0.25,18.700571
30,0.75,15.8347645
31,0.0,20.035461
32,1.25,20.484688
33,0.0,18.808064
34,0.5,13.591637
35,0.5,20.907818
36,1.5,12.083621
37,1.5,18.594795
38,2.25,22.434446
39,1.0,19.225119
40,2.25,15.496442
41,2.25,16.577192
42,1.0,15.904584
43,1.0,15.047034
44,1.5,17.875797
45,0.5,11.76357
46,0.25,12.29257
47,2.75,19.620544
48,0.75,13.7979765
49,0.0,13.689246
50,1.0,19.889187
51,1.25,18.949842
52,0.5,13.189197
53,1.75,23.138157
54,3.0,19.654299
55,0.0,15.580143
56,2.0,19.377617
57,1.75,12.155696
58,0.25,12.751639
59,1.0,19.301636
60,0.25,19.540459
61,0.0,16.521425
62,0.5,16.049335
63,0.25,22.80217
64,0.75,14.943288
65,0.0,15.155927
66,0.0,12.876121
67,1.25,16.640648
68,2.0,20.716589
69,1.75,18.801735
70,0.75,11.989981
71,1.25,16.781822
72,0.5,18.610903
73,0.75,16.592216
74,0.75,15.2905245
75,1.0,18.693108
76,1.5,16.962608
77,0.25,21.187107
78,0.5,11.123534
79,0.25,11.081883
80,0.25,18.284431
81,1.0,19.430775
82,1.0,16.493908
83,1.5,20.92826
84,1.5,20.121159
85,0.75,16.211958
86,1.0,18.78994
87,1.5,16.525784
88,1.0,15.792668
89,1.25,15.31508
90,0.5,17.831123
91,1.5,26.05943
92,0.75,16.527817
93,1.5,18.626205
94,2.25,18.135658
95,1.5,22.544203
96,0.0,21.483555
97,0.75,16.572483
98,0.0,14.71111
99,0.0,19.644722
100,2.5,24.863016
101,1.0,15.623813
102,0.75,22.02957
103,0.75,16.21698
104,1.75,24.15517
105,0.5,18.147846
106,0.5,14.555491
107,0.75,14.349336
108,1.0,15.754631
109,0.5,17.028048
110,1.25,20.117638
111,2.75,21.709555
112,1.75,18.231606
113,2.0,19.944542
114,1.0,18.63507
115,0.25,18.741755
116,2.5,20.365496
117,0.5,15.7401705
118,0.0,14.459277
119,0.25,19.275497
120,1.5,17.332901
121,0.5,16.880999
122,0.0,10.187182
123,0.5,12.951356
124,0.5,12.574504
125,2.0,21.190186
126,0.0,15.377468
127,0.25,12.409626
128,1.0,20.12137
129,0.0,14.348769
130,0.75,15.055503
131,0.25,16.056755
132,1.75,28.280262
133,0.0,14.48412
134,0.25,13.372279
135,1.75,17.120995
136,0.5,17.083416
137,2.0,18.04466
138,0.25,16.459444
139,0.25,20.513332
140,0.25,13.571208
141,1.0,17.921272
142,1.25,15.38428
143,0.0,11.860262
144,0.75,22.073845
145,1.5,18.419048
146,1.75,17.78152
147,0.75,15.643104
148,0.0,13.430142
149,1.5,17.528494
150,1.5,19.942434
151,0.25,15.818
152,1.25,16.250011
153,0.5,21.522242
154,0.75,14.612028
155,2.5,17.86511
156,0.75,18.258442
157,0.5,22.004953
158,0.75,18.487247
159,1.25,19.644678
160,1.25,13.241981
161,0.5,13.392776
162,0.25,16.824697
163,1.5,15.923413
164,0.0,16.505898
165,1.75,15.536338
166,0.5,21.164642
167,2.0,14.447759
168,1.0,19.75259
169,3.0,19.441254
170,1.25,17.398285
171,1.75,18.225939
172,1.5,17.18148
173,0.5,14.102759
174,0.25,16.216684
175,2.25,18.926216
176,1.25,18.760921
177,0.5,14.405801
178,2.0,16.520136
179,2.0,11.763236
180,2.5,22.272087
181,1.5,20.932505
182,1.5,16.54961
183,1.75,19.239456
184,3.0,19.296158
185,1.75,20.893799
186,0.25,18.190525
187,0.5,21.754261
188,0.5,19.720734
189,1.75,24.805992
190,0.75,15.170056
191,1.75,25.445625
192,3.0,20.533577
193,0.25,15.9759655
194,1.5,17.073965
195,0.25,18.177496
196,0.25,15.908481
197,1.25,24.088366
198,1.5,22.56779
199,0.5,15.480173
200,0.75,14.640979
201,2.25,24.399082
202,0.25,18.123375
203,2.0,22.578865
204,0.75,15.782372
205,0.0,15.6262865
206,0.25,15.108411
207,1.25,20.92044
208,1.25,14.342328
209,0.5,17.842607
210,2.0,17.733484
211,1.0,18.641361
212,0.75,17.496513
213,0.75,18.830044
214,0.0,12.934735
215,0.0,16.4453
216,0.25,15.745469
217,0.5,10.704837
218,0.5,12.378953
219,2.0,18.971798
220,0.75,20.781403
221,0.5,19.075659
222,0.25,12.073392
223,0.25,17.362394
224,1.0,19.869097
225,0.0,13.147161
226,1.5,16.630245
227,1.0,22.219902
228,0.0,14.977892
229,0.75,12.890134
230,1.0,15.235708
231,1.25,21.579432
232,0.25,16.308388
233,0.5,15.541642
234,0.0,14.284349
235,0.5,18.665897
236,0.0,12.468709
237,1.25,23.518465
238,0.0,18.011059
239,0.5,10.474164
240,0.25,16.930832
241,1.5,13.857648
242,0.0,13.3852625
243,0.0,18.231312
244,0.5,19.016907
245,1.5,21.244268
246,0.25,16.840073
247,0.0,17.558174
248,1.5,17.927784
249,0.75,20.217716
250,0.5,21.548918
251,0.0,13.486163
252,1.25,19.782467
253,1.5,22.16788
254,0.5,22.708937
255,0.5,15.81977
256,0.5,17.243595
257,1.5,17.79996
258,1.0,17.801342
259,2.0,18.105293
260,2.0,18.131777
261,0.5,16.67405
262,1.0,24.001413
263,0.0,21.213068
264,0.75,14.960057
265,1.75,17.29554
266,0.25,17.322147
267,1.25,14.296875
268,1.25,18.112398
269,1.0,13.648647
270,1.25,20.806637
271,2.0,16.599861
272,2.0,18.482372
273,0.75,19.753729
274,0.25,9.120804
275,1.25,19.248802
276,1.75,20.120794
277,1.5,25.84491
278,0.5,18.28471
279,3.0,19.975315
280,0.75,14.782806
281,1.75,16.315601
282,1.0,18.369116
283,1.0,16.339598
284,0.0,10.003842
285,0.0,13.198415
286,1.0,16.203894
287,1.5,21.19165
288,1.25,18.802185
289,1.0,17.104576
290,1.0,19.015352
