,PERSEVERATION,0
0,1.0,17.893114
1,2.5,24.664083
2,2.0,21.543549
3,1.25,16.328728
4,1.25,20.84908
5,1.25,21.495686
6,2.75,22.942625
7,0.5,15.377139
8,2.0,17.81394
9,0.75,18.235134
10,1.5,22.197338
11,1.25,11.947591
12,1.25,14.789477
13,0.75,13.208686
14,0.75,17.591328
15,1.75,16.825935
16,1.25,19.23331
17,0.25,14.506373
18,0.75,19.157312
19,2.5,19.046965
20,1.0,20.962402
21,1.5,19.76712
22,1.5,22.170261
23,1.25,21.175365
24,1.5,25.900234
25,2.0,16.53403
26,1.0,18.110275
27,0.5,18.341408
28,0.0,13.608511
29,0.75,17.721148
30,2.0,15.475774
31,0.75,19.22499
32,0.25,16.710247
33,0.25,17.743809
34,1.0,17.33324
35,3.0,25.992989
36,0.25,17.477505
37,0.25,20.783138
38,2.0,21.227612
39,0.75,14.843949
40,1.5,20.528595
41,1.25,13.800882
42,1.0,16.746563
43,0.75,20.778872
44,0.25,16.68507
45,1.5,20.398129
46,2.0,18.21822
47,1.25,13.821904
48,1.0,18.62135
49,0.25,19.20605
50,2.75,21.234255
51,1.5,23.985058
52,1.5,13.0920105
