,PRO,0
0,75.0,67.51507
1,60.0,54.455975
2,45.0,40.56925
3,60.0,61.73179
4,50.0,46.236996
5,5.0,54.8311
6,85.0,68.45429
7,75.0,63.733784
8,60.0,64.12865
9,5.0,69.08821
10,5.0,24.913908
11,60.0,52.310837
12,85.0,65.08564
13,5.0,20.4406
14,85.0,76.05651
15,45.0,33.674526
16,5.0,32.68889
17,100.0,81.54632
18,85.0,81.93458
19,5.0,54.767593
20,50.0,38.819332
21,75.0,67.56697
22,50.0,77.05529
23,60.0,56.991302
24,75.0,66.22711
25,5.0,59.3638
26,5.0,58.711037
27,5.0,63.546135
28,5.0,48.092648
29,100.0,72.05139
30,45.0,35.896763
31,5.0,49.55744
32,60.0,52.45736
33,5.0,54.8552
34,100.0,73.2697
35,45.0,41.908276
36,95.0,84.61238
37,60.0,53.390717
38,45.0,42.890556
39,85.0,67.339325
40,100.0,61.773903
41,85.0,82.68989
42,85.0,79.20231
43,100.0,70.39101
44,90.0,75.66894
45,5.0,30.759768
46,5.0,38.724174
47,95.0,59.482735
48,5.0,58.435986
49,5.0,26.296604
50,80.0,63.103306
51,60.0,52.24719
52,5.0,19.878206
53,5.0,0.0
54,5.0,40.680496
55,85.0,47.524967
56,50.0,67.38318
57,60.0,73.774574
58,45.0,76.110466
59,50.0,58.796814
60,75.0,67.30588
61,5.0,30.14312
