,PRO,0
0,45.0,41.6325
1,45.0,37.933376
2,80.0,49.720245
3,60.0,61.051212
4,5.0,65.19147
5,65.0,61.714764
6,45.0,46.261627
7,100.0,89.489815
8,60.0,56.448963
9,5.0,21.487444
10,95.0,76.274315
11,95.0,91.82239
12,5.0,54.449944
13,45.0,54.44673
14,5.0,7.907838
15,5.0,59.702682
16,95.0,84.99087
17,75.0,57.973263
18,100.0,83.29964
19,65.0,53.956947
20,5.0,33.333645
21,75.0,55.11198
22,60.0,60.371964
23,85.0,80.924576
24,80.0,74.51988
25,60.0,53.557823
26,65.0,64.23028
27,5.0,42.54794
28,5.0,48.59521
29,100.0,64.090294
30,45.0,59.158955
31,100.0,73.91926
32,5.0,53.507217
33,45.0,58.4723
34,60.0,68.13914
35,5.0,36.99355
36,100.0,87.927376
37,5.0,32.801716
38,60.0,47.160557
39,50.0,40.38713
40,75.0,49.101067
41,100.0,62.549183
42,45.0,52.099613
43,75.0,70.630974
44,75.0,76.94502
45,5.0,33.562206
46,65.0,65.0368
47,60.0,65.04078
48,45.0,48.44002
49,90.0,74.42007
50,50.0,52.32737
51,65.0,64.20513
52,95.0,79.21521
53,100.0,77.055595
54,45.0,56.377144
55,80.0,69.93598
56,65.0,66.06363
57,80.0,45.56404
58,75.0,65.20002
59,5.0,61.415325
60,45.0,32.10359
61,5.0,52.270584
62,45.0,48.20199
63,75.0,57.036835
64,100.0,72.82435
65,100.0,86.57497
66,50.0,40.855125
67,5.0,36.442505
68,50.0,40.543465
69,100.0,72.57784
70,90.0,76.281746
71,65.0,69.94942
72,50.0,51.999863
73,5.0,56.138733
74,5.0,43.71781
75,75.0,70.13135
76,100.0,38.522896
77,90.0,89.97857
78,60.0,64.05873
79,100.0,83.31071
80,100.0,55.923477
81,75.0,75.99491
82,60.0,56.20012
83,60.0,50.23046
84,5.0,30.121996
85,95.0,63.08339
86,75.0,69.559296
87,5.0,3.6591282
88,100.0,79.855415
89,5.0,38.559776
90,60.0,50.829975
91,75.0,66.23605
92,5.0,37.593884
93,60.0,66.042366
94,5.0,39.71218
95,100.0,86.84391
96,95.0,55.472965
97,60.0,72.69576
98,100.0,80.4214
99,80.0,68.945694
100,45.0,57.46493
101,45.0,54.886314
102,50.0,48.50696
103,100.0,50.73521
104,45.0,43.630447
105,65.0,59.703186
106,5.0,38.81053
107,45.0,43.4732
108,100.0,65.91719
109,65.0,65.91327
110,85.0,54.690975
111,85.0,41.790268
112,65.0,54.300865
113,100.0,54.179474
114,5.0,41.549004
115,5.0,12.148733
116,5.0,48.96193
117,85.0,82.44573
118,95.0,65.89637
119,75.0,73.20055
120,45.0,50.680515
121,95.0,54.213764
122,5.0,34.621864
123,5.0,47.021694
124,90.0,84.17833
125,5.0,70.99466
126,45.0,43.614662
