,PRO,0
0,100.0,91.28747
1,45.0,72.04922
2,60.0,59.276512
3,5.0,36.45316
4,60.0,52.46594
5,75.0,73.32527
6,75.0,64.850815
7,60.0,53.283
8,85.0,77.39034
9,45.0,41.557915
10,65.0,60.338333
11,95.0,69.539154
12,60.0,59.189793
13,45.0,69.89815
14,60.0,63.879322
15,60.0,61.781834
16,5.0,53.264942
17,45.0,43.951553
18,5.0,23.978891
19,60.0,45.35258
20,65.0,52.989265
21,95.0,71.859795
22,5.0,32.31957
23,65.0,64.34603
24,100.0,57.316776
25,60.0,56.38546
26,85.0,59.867325
27,60.0,49.96955
28,5.0,43.004486
29,80.0,57.6191
30,95.0,55.57053
31,100.0,80.41082
32,45.0,44.059464
33,60.0,54.341637
34,45.0,50.59388
35,100.0,62.643696
36,5.0,56.39009
37,5.0,53.129444
38,60.0,56.153194
39,60.0,57.4522
40,95.0,59.23628
41,85.0,80.16777
42,45.0,45.668213
43,80.0,82.3398
44,45.0,39.193855
45,90.0,91.58887
46,45.0,44.92193
47,5.0,48.321888
48,60.0,51.912453
49,85.0,58.963554
50,60.0,46.935226
51,45.0,49.02245
52,5.0,36.04104
53,50.0,50.85591
54,75.0,67.93527
55,5.0,29.624212
56,5.0,24.897062
57,5.0,50.273975
58,5.0,76.2261
59,5.0,41.85542
60,80.0,79.005035
61,5.0,34.350792
