,REP,0
0,60.0,28.49497
1,25.0,24.744877
2,85.0,26.254133
3,70.0,25.608727
4,35.0,33.380993
5,70.0,23.340578
6,10.0,17.671844
7,35.0,30.663807
8,85.0,23.388662
9,55.0,33.46208
10,10.0,18.429174
11,25.0,21.615776
12,60.0,25.392569
13,35.0,30.107908
14,60.0,39.70379
15,35.0,28.90661
16,10.0,20.582726
17,5.0,14.733543
18,25.0,28.98748
19,35.0,20.39142
20,25.0,24.312778
21,60.0,36.49434
22,70.0,34.524216
23,70.0,35.739307
24,35.0,24.899652
25,5.0,24.676802
26,40.0,27.22435
27,20.0,5.990918
28,5.0,23.779348
29,5.0,18.722824
30,35.0,28.92387
31,40.0,17.336353
32,70.0,20.94648
33,5.0,21.85534
34,10.0,19.832165
35,20.0,17.708149
36,5.0,10.885882
37,35.0,33.671642
38,25.0,21.451733
39,10.0,9.591979
40,35.0,26.606098
41,70.0,31.355856
42,90.0,38.820396
43,20.0,23.03563
44,60.0,39.87486
45,55.0,34.098846
46,55.0,27.556942
47,5.0,21.0711
48,5.0,11.259368
49,60.0,25.074602
50,25.0,26.033566
51,20.0,23.673199
52,85.0,33.682903
53,5.0,20.530659
54,75.0,27.96649
55,5.0,17.947691
56,35.0,20.807522
57,35.0,31.495262
58,100.0,46.67127
59,20.0,27.221266
60,100.0,39.681915
61,20.0,26.01055
