,REP,0
0,60.0,28.761267
1,55.0,34.195545
2,5.0,29.241718
3,70.0,32.685005
4,100.0,22.918362
5,55.0,33.41535
6,75.0,31.759089
7,20.0,18.997446
8,70.0,25.54965
9,10.0,17.620726
10,20.0,13.005809
11,55.0,33.573845
12,40.0,16.157825
13,90.0,27.683807
14,55.0,31.20797
15,75.0,24.306477
16,10.0,30.838015
17,55.0,17.00959
18,70.0,31.228354
19,20.0,26.481333
20,20.0,12.387447
21,85.0,31.49697
22,55.0,25.983282
23,55.0,23.193401
24,25.0,39.167057
25,10.0,11.777941
26,10.0,20.514343
27,35.0,28.392643
28,35.0,8.944263
29,20.0,20.496408
30,10.0,26.890215
31,40.0,22.09309
32,40.0,34.645153
33,40.0,42.11261
34,25.0,25.532429
35,5.0,25.468044
36,10.0,23.320377
37,55.0,33.764095
38,100.0,40.69585
39,55.0,29.686338
40,60.0,27.725792
41,25.0,24.019634
42,25.0,19.613638
43,10.0,25.943775
44,5.0,9.778712
45,10.0,24.828907
46,10.0,11.19606
47,10.0,10.789258
48,85.0,35.292023
49,10.0,22.288408
50,10.0,13.853644
51,90.0,43.355854
52,70.0,30.829453
53,20.0,15.362034
54,35.0,19.822033
55,10.0,13.29974
56,5.0,14.595791
57,55.0,27.064297
58,5.0,16.271833
59,40.0,31.413784
60,85.0,38.957733
61,90.0,33.174686
62,10.0,19.053368
63,60.0,33.074684
64,95.0,28.219841
65,95.0,45.943398
66,5.0,22.981466
67,55.0,30.913857
68,5.0,23.337399
69,5.0,27.280174
70,35.0,33.033463
71,20.0,19.912914
72,25.0,11.86814
73,55.0,32.265556
74,90.0,29.864481
75,25.0,33.973434
76,5.0,38.598675
77,25.0,16.865526
78,60.0,31.819084
79,5.0,15.852193
80,35.0,20.191011
81,5.0,26.316797
82,5.0,18.014229
83,35.0,18.512377
84,60.0,25.49026
85,5.0,15.421672
86,70.0,43.036522
87,35.0,26.19326
88,95.0,32.894543
89,85.0,33.254387
90,55.0,26.423214
91,10.0,22.401007
92,10.0,29.934187
93,10.0,17.888193
94,35.0,13.727304
95,35.0,21.334187
96,95.0,42.32416
97,85.0,34.96842
98,5.0,13.287044
99,25.0,21.697933
100,85.0,29.462553
101,60.0,38.35551
102,35.0,21.424881
103,55.0,27.34643
104,70.0,34.442287
105,95.0,13.716612
106,70.0,36.800728
107,100.0,31.96008
108,35.0,21.454212
109,90.0,44.08854
110,20.0,18.08862
111,5.0,20.262314
112,55.0,21.347588
113,5.0,32.640793
114,55.0,34.899414
115,95.0,24.209225
116,55.0,34.796165
117,5.0,21.048176
118,35.0,26.207472
119,25.0,32.595352
120,70.0,22.674667
121,90.0,32.20952
122,35.0,22.713984
123,40.0,21.07997
124,55.0,32.30835
125,20.0,24.784399
126,35.0,19.039633
127,20.0,20.64188
128,85.0,33.390297
129,5.0,15.378062
130,40.0,18.025372
131,85.0,31.759697
132,5.0,25.370586
133,20.0,25.524261
134,60.0,34.800232
135,85.0,33.98769
136,20.0,33.311966
137,60.0,35.00628
138,5.0,31.141603
139,10.0,13.760858
140,20.0,16.46634
141,40.0,20.086876
142,25.0,24.741493
143,60.0,38.568665
144,90.0,25.455303
145,55.0,28.977602
146,20.0,31.86234
147,75.0,36.278145
148,5.0,20.802822
149,40.0,19.576061
150,95.0,43.24358
151,10.0,21.69947
152,25.0,24.135263
153,85.0,36.310883
154,35.0,23.084763
