,REP,0
0,20.0,33.105762
1,5.0,31.561527
2,5.0,13.44173
3,70.0,29.761955
4,60.0,34.38634
5,25.0,27.075722
6,20.0,24.70803
7,95.0,32.442505
8,35.0,28.055103
9,60.0,31.017397
10,55.0,31.70001
11,35.0,26.720627
12,10.0,25.053923
13,60.0,38.686058
14,40.0,25.711594
15,60.0,36.20563
16,5.0,12.496654
17,100.0,44.915237
18,20.0,26.154991
19,20.0,13.866336
20,10.0,28.796644
21,85.0,39.45999
22,85.0,39.15929
23,90.0,27.353603
24,55.0,30.578789
25,20.0,22.74123
26,20.0,10.200911
27,55.0,35.784523
28,55.0,20.954926
29,55.0,29.59455
30,10.0,24.630333
31,5.0,16.177765
32,70.0,22.702713
33,55.0,26.22046
34,5.0,24.572323
35,35.0,29.459455
36,100.0,32.60554
37,70.0,28.508324
38,20.0,26.22417
39,95.0,32.513252
40,60.0,40.18249
41,75.0,31.940975
42,10.0,25.135231
43,60.0,45.00697
44,70.0,26.876488
45,100.0,36.872437
46,5.0,25.632856
47,40.0,33.21083
48,95.0,32.697826
49,60.0,31.73267
50,70.0,31.880655
51,85.0,39.306725
52,35.0,13.271016
53,10.0,35.945328
54,40.0,17.486652
55,70.0,28.855967
56,55.0,31.638577
57,35.0,22.731754
58,10.0,22.826082
59,35.0,23.952557
60,55.0,27.960047
61,35.0,11.320825
