,RESILI,0
0,40.0,43.206
1,44.0,45.91034
2,53.0,45.52218
3,41.0,48.243122
4,30.0,35.963707
5,41.0,42.87846
6,42.0,44.72278
7,48.0,44.563484
8,41.0,46.70665
9,45.0,45.5004
10,44.0,44.873158
11,27.0,40.894577
12,45.0,45.09037
13,57.0,45.105827
14,43.0,39.685482
15,45.0,45.621555
16,33.0,42.881477
17,35.0,48.163044
18,45.0,46.215656
19,44.0,44.956043
20,50.0,49.4755
21,47.0,46.107853
22,43.0,44.65073
23,38.0,40.67763
24,48.0,46.97295
25,38.0,38.333237
26,42.0,47.71593
27,48.0,41.04608
28,34.0,44.372444
29,46.0,46.828682
30,35.0,45.776653
31,41.0,46.318054
32,37.0,48.294655
33,42.0,43.69887
34,49.0,47.45992
35,46.0,44.365044
36,45.0,43.70445
37,38.0,40.138073
38,39.0,43.015198
39,42.0,48.21903
40,57.0,51.107506
41,43.0,42.75754
42,35.0,41.236664
43,47.0,48.71378
44,37.0,47.350185
45,46.0,45.629288
46,53.0,45.903576
47,50.0,48.72126
48,51.0,49.379265
49,52.0,46.117195
50,48.0,48.663788
51,50.0,46.30108
52,38.0,40.332302
53,49.0,48.97863
54,52.0,46.17941
