,RESILI,0
0,41.0,42.48376
1,54.0,46.534584
2,41.0,41.923214
3,37.0,42.226276
4,43.0,44.17373
5,35.0,36.9002
6,46.0,47.128918
7,43.0,44.695602
8,48.0,45.615196
9,50.0,49.693832
10,42.0,46.335487
11,41.0,50.07576
12,54.0,49.681698
13,38.0,41.435917
14,50.0,49.460636
15,57.0,46.946117
16,33.0,42.648037
17,50.0,45.183407
18,40.0,42.05891
19,38.0,48.07986
20,57.0,44.95053
21,53.0,46.91606
22,41.0,44.445393
23,44.0,45.0348
24,53.0,49.961636
25,41.0,45.084957
26,45.0,48.357727
27,45.0,46.433464
28,41.0,42.012726
29,45.0,43.544666
30,56.0,51.676773
31,45.0,49.33329
32,48.0,49.335594
33,49.0,42.674816
34,58.0,50.111893
35,37.0,45.89568
36,42.0,46.026993
37,37.0,48.90849
38,46.0,46.55484
39,57.0,49.70475
40,45.0,45.754242
41,35.0,48.208504
42,49.0,49.72276
43,50.0,47.9597
44,42.0,43.748913
45,54.0,48.8082
46,47.0,47.13574
47,35.0,39.494705
48,37.0,43.29292
49,50.0,46.263176
50,45.0,46.444824
51,46.0,46.897152
52,45.0,45.70256
53,50.0,45.94829
54,42.0,42.70278
