,RESTRICTED_AFFECTIVITY,0
0,0.75,13.506813
1,0.0,4.815843
2,0.25,11.030034
3,0.0,14.118186
4,0.25,12.728312
5,1.25,8.128483
6,0.25,3.4391608
7,2.25,12.518119
8,0.25,7.112677
9,0.5,11.659383
10,0.5,11.144929
11,1.5,15.048822
12,1.75,13.033608
13,0.5,9.658331
14,0.25,7.312504
15,0.75,9.35127
16,0.75,9.882673
17,2.75,15.196862
18,2.0,8.516533
19,0.0,11.148105
20,2.0,12.9927845
21,0.75,6.529276
22,1.25,12.204758
23,0.0,6.904639
24,1.5,8.097403
25,1.75,14.017407
26,0.25,10.792239
27,1.75,8.625247
28,0.0,6.638837
29,1.25,13.415654
30,0.25,8.342808
31,0.25,9.071123
32,0.0,11.053806
33,0.0,11.968043
34,0.25,10.514547
35,0.75,10.535053
36,1.25,9.738485
37,0.0,10.645209
38,1.75,13.469282
39,1.0,10.780371
40,0.5,2.1687913
41,0.25,6.9431868
42,1.5,9.49702
43,0.25,2.0131598
44,0.75,11.238852
45,2.25,17.929653
46,0.75,9.462598
47,0.0,9.0153885
48,1.25,14.757584
49,0.0,2.5706425
50,0.0,12.653978
51,1.25,5.765995
