,RESTRICTED_AFFECTIVITY,0
0,1.25,10.090555
1,0.25,6.3940253
2,0.0,4.6742697
3,0.75,8.385986
4,0.0,4.494237
5,0.0,7.722539
6,2.25,13.60828
7,0.0,8.499382
8,1.5,9.946562
9,1.25,9.364983
10,1.5,12.743962
11,0.0,12.195818
12,0.0,13.0042715
13,1.0,8.279132
14,0.0,6.160903
15,1.5,11.790477
16,1.5,11.618117
17,1.75,10.073183
18,0.25,9.564416
19,0.0,8.645448
20,0.0,8.400798
21,2.25,15.178322
22,1.5,14.941633
23,2.5,20.351248
24,1.0,13.79289
25,2.25,12.568386
26,0.75,10.293376
27,1.25,12.361902
28,1.75,17.42687
29,1.5,16.384102
30,0.0,10.103996
31,0.0,10.517664
32,0.25,7.501309
33,0.5,9.421274
34,0.5,11.176254
35,0.0,5.273637
36,0.75,5.0053344
37,2.25,19.037373
38,0.75,14.617283
39,0.0,5.086754
40,0.75,9.531269
41,1.0,10.368357
42,2.25,11.297269
43,1.25,13.910534
44,0.0,5.6863613
45,0.5,6.111026
46,0.25,6.3444376
47,0.0,7.740003
48,1.5,7.9266768
49,1.0,11.431168
50,1.5,8.053396
51,0.25,5.44213
52,1.75,10.336928
53,0.5,11.649403
54,1.0,11.468758
55,1.0,10.395702
56,0.5,9.992613
57,2.75,21.235807
58,0.5,2.8971071
59,0.25,7.8364305
60,0.5,11.615607
61,0.25,8.487236
62,0.0,3.5039752
63,0.5,11.674917
64,0.5,12.815915
65,0.25,9.1604595
66,0.5,10.9279995
67,1.0,8.909347
68,0.5,11.224006
69,1.5,9.934414
70,0.25,11.389957
71,0.25,13.648386
72,0.5,7.2629485
73,0.0,7.9551206
74,1.75,17.35886
75,0.25,6.6526127
76,1.5,13.150171
77,0.5,10.285355
78,0.75,11.839468
79,0.75,15.809485
80,0.0,6.70606
81,1.25,6.443472
82,1.25,10.594489
83,0.25,17.224516
84,0.25,10.445455
85,0.5,8.875626
86,0.0,8.740615
87,0.25,11.384946
88,0.0,8.930582
89,0.5,9.797819
90,2.0,14.950158
91,0.0,11.046135
92,0.75,17.01057
93,0.0,4.2604885
94,0.5,5.645052
95,0.0,8.811627
96,0.0,16.955868
97,0.75,7.728244
98,0.0,8.455343
99,0.0,10.378245
100,1.75,10.011914
101,0.0,10.311544
102,1.25,11.265214
103,0.5,8.514777
104,0.0,10.880171
105,0.75,11.026489
106,1.0,9.945403
107,0.0,7.968792
108,1.25,14.368986
109,1.0,11.943748
110,0.75,9.597314
111,0.0,11.827323
112,0.0,11.41385
113,1.5,13.034332
114,1.0,10.876804
115,0.75,12.601311
116,2.0,20.050629
117,0.75,9.133807
118,0.5,10.518823
119,1.5,12.176765
120,0.0,9.529476
121,0.0,6.0939894
122,1.0,10.904631
123,1.25,13.989902
124,0.0,10.31799
125,0.0,7.3083367
126,2.25,14.397804
127,1.0,18.330011
128,1.5,14.082328
129,0.0,12.383512
130,1.5,8.57494
131,0.0,7.653953
132,0.75,9.580811
133,0.75,7.320204
134,0.25,9.850681
135,1.75,12.240728
136,1.75,18.342812
137,0.5,10.623455
138,0.0,10.969128
139,0.0,7.9966545
140,0.5,9.955846
141,0.25,10.767548
142,0.0,7.21894
143,2.0,14.577207
144,0.5,8.676429
145,1.5,14.029373
146,0.0,5.4922857
147,1.25,9.265478
148,1.5,14.060382
149,0.5,3.1947186
150,0.5,8.686442
151,0.0,5.9622517
152,0.0,10.288374
153,0.0,10.217045
154,2.75,12.253434
155,0.0,9.220392
156,0.75,13.530145
157,2.25,16.81546
158,3.0,13.886351
159,0.25,11.832259
160,0.0,3.9832156
161,0.5,9.483802
162,0.25,11.606555
163,2.0,13.69588
164,1.25,13.681025
165,0.5,8.141472
166,2.0,16.360153
167,0.0,6.6214876
168,0.5,2.7127388
169,1.0,7.7128754
170,0.25,8.56135
171,0.75,13.759636
172,2.0,11.810988
173,1.75,9.140258
174,0.75,6.311432
175,2.5,12.172098
176,0.5,13.501816
177,0.5,9.64335
178,0.0,2.5156462
179,1.5,15.640964
180,1.0,5.7024555
181,1.75,14.83838
182,1.25,17.406057
183,1.0,10.753082
184,0.25,7.5795527
185,0.75,13.462394
186,0.0,10.921302
187,1.0,15.092258
188,1.0,10.506864
189,1.75,8.9717
190,0.5,11.7032795
191,2.75,15.561805
192,0.5,13.614212
193,0.75,10.015799
194,0.25,9.227415
195,0.5,10.365962
196,0.25,9.485892
197,2.75,12.10643
198,0.5,10.010237
199,0.5,12.687416
200,0.75,13.479053
201,0.0,0.63868254
202,2.5,15.5868845
203,1.0,12.743694
204,0.75,10.723791
205,2.25,7.8863554
206,0.75,9.515778
207,0.0,10.120844
208,0.0,10.384466
209,0.75,12.561268
210,0.0,7.024038
211,0.5,9.578136
212,1.0,7.2905807
213,0.0,8.547839
214,0.25,19.708868
215,0.0,6.8732233
216,1.25,8.553055
217,0.25,7.4501095
218,0.75,13.702985
219,1.5,16.097166
220,1.25,11.212045
221,0.0,13.211663
222,1.75,12.9313345
223,2.25,12.801762
224,0.25,2.048693
225,1.25,7.227758
226,0.0,6.0159006
227,1.25,14.926683
228,1.75,14.609875
229,0.0,9.560161
230,2.25,13.967458
231,0.0,13.770808
232,1.0,17.036808
233,0.0,6.761348
234,1.0,10.146262
235,0.75,9.913479
236,0.0,9.705637
237,1.75,12.724122
238,0.25,5.754366
239,1.75,10.200016
240,0.0,11.819436
241,1.0,12.294397
242,1.0,15.034836
243,2.75,16.831358
244,1.25,13.945346
245,2.0,7.1058474
246,0.0,2.518357
247,0.0,7.722884
248,0.0,10.198868
249,1.0,10.166571
250,0.0,6.704508
251,0.5,4.960911
252,0.0,7.752468
253,0.0,9.952169
254,0.25,12.42186
255,2.25,17.576477
256,2.75,13.471583
257,1.0,12.227684
258,2.0,10.41959
259,0.25,11.241393
260,0.0,6.8630223
261,0.0,10.681126
262,0.0,5.3218117
263,0.75,13.2776165
264,0.0,5.4168572
265,2.5,12.6898
266,0.25,10.694582
267,2.0,14.435997
268,0.0,8.751508
269,2.5,14.005053
270,1.25,15.314946
271,2.0,19.458199
272,0.5,7.412779
273,0.25,3.0224357
274,2.0,8.6255665
275,2.25,10.137988
276,1.5,11.203616
277,1.5,9.210733
278,0.0,5.686111
279,0.25,5.035612
280,2.0,13.308923
281,1.75,13.369149
282,0.75,10.428024
283,0.0,4.1619196
284,0.0,7.063445
285,0.0,11.2265215
286,1.0,9.044088
287,0.75,13.489203
288,0.5,6.909211
289,0.0,11.117892
290,0.25,5.813905
291,0.75,13.419685
292,1.0,17.912153
293,1.0,9.382226
294,0.0,6.203672
295,0.25,11.983112
296,0.0,7.477067
297,0.75,9.322586
298,0.5,13.044216
299,0.25,9.809799
300,1.25,13.367168
301,0.5,12.729613
302,1.25,8.338405
303,1.0,15.969812
304,0.25,15.999877
305,1.75,14.273653
306,1.0,9.047095
307,2.75,15.931355
308,1.0,8.002369
309,0.0,13.193108
310,0.25,7.4274807
311,0.5,4.2189326
312,2.5,13.589872
313,0.75,10.572485
314,0.25,6.6889567
315,1.0,12.023802
316,0.0,11.770394
317,1.5,13.958761
318,1.0,9.080766
319,1.0,11.373917
320,0.5,8.481063
321,1.0,7.1073027
322,0.25,11.354259
323,0.5,11.448688
324,0.25,9.748776
325,0.25,9.789834
326,1.25,11.75722
327,0.0,8.2187195
328,0.0,6.303448
329,1.5,16.394024
330,0.75,6.912945
331,1.0,9.641731
332,2.25,20.33433
333,1.75,4.197278
334,0.5,10.404133
335,1.0,10.837529
336,0.0,13.976144
337,0.0,14.819562
338,0.75,13.06529
339,0.25,9.640326
340,1.75,15.104041
341,0.75,9.5972395
342,0.75,8.538041
343,2.5,10.978591
344,0.25,13.239795
345,3.0,15.0145035
346,1.25,14.5527725
347,1.25,12.221442
348,1.0,11.443558
349,0.25,7.733736
350,0.25,10.0922575
351,0.75,10.1408
352,0.5,15.236679
353,0.0,13.912694
354,1.0,5.8650575
355,0.75,12.688826
356,1.0,8.493275
357,0.5,15.546688
358,1.5,9.579432
359,0.0,8.004572
360,0.5,3.4298532
361,0.25,8.281191
362,0.0,2.4200978
363,0.5,10.819627
364,0.5,9.824493
365,1.75,14.147145
366,0.0,9.182745
367,0.0,16.54213
368,0.0,5.258384
369,1.75,11.409119
370,0.5,5.9601817
371,1.0,9.199274
372,1.25,19.072737
373,1.5,12.8854885
