,RESTRICTED_AFFECTIVITY,0
0,0.5,11.34571
1,1.25,15.806019
2,0.25,8.944265
3,0.0,7.5168333
4,3.0,17.97347
5,0.0,7.1647263
6,0.0,4.9794717
7,1.0,11.262361
8,0.0,6.5356126
9,1.25,10.5178175
10,0.0,1.6221112
11,0.0,6.505068
12,0.75,11.770052
13,0.0,5.477523
14,1.0,8.877553
15,0.5,12.694313
16,0.75,13.551072
17,0.25,7.1129684
18,1.25,11.395016
19,0.25,8.714205
20,2.25,8.931364
21,0.25,4.7506185
22,1.0,13.278862
23,0.0,4.4626765
24,1.5,10.753092
25,1.0,10.083254
26,0.0,7.090819
27,0.5,10.717094
28,0.25,13.603284
29,1.0,13.971434
30,0.25,11.625933
31,0.0,5.062298
32,0.5,8.676
33,1.25,11.034064
34,1.25,9.793265
35,0.0,4.7628493
36,1.25,16.204294
37,0.0,9.701081
38,1.25,9.327228
39,1.75,11.086718
40,0.0,7.6584015
41,1.5,14.784326
42,1.5,17.75973
43,0.25,12.491138
44,0.5,10.664631
45,1.25,18.023666
46,1.25,12.635271
47,0.25,13.350414
48,1.0,10.565614
49,1.25,10.941645
50,1.0,12.401306
51,0.0,4.4581976
52,2.25,18.601986
