,RFM,0
0,95.0,55.691315
1,95.0,61.63336
2,25.0,45.554382
3,95.0,69.407486
4,45.0,46.98796
5,35.0,63.84497
6,20.0,64.44158
7,100.0,68.411964
8,45.0,57.38426
9,20.0,53.888454
10,100.0,47.997276
11,35.0,58.070286
12,65.0,68.89162
13,25.0,49.793537
14,35.0,49.980717
15,10.0,59.233433
16,100.0,68.46547
17,85.0,70.066216
18,60.0,59.930298
19,100.0,63.257225
20,80.0,64.0963
21,95.0,59.696903
22,60.0,53.127304
23,35.0,55.97838
24,65.0,61.357384
25,5.0,62.487144
26,5.0,59.02488
27,95.0,72.997795
28,45.0,56.072216
29,10.0,57.9773
30,45.0,65.91316
31,60.0,57.041687
32,100.0,71.11163
33,80.0,52.358246
34,25.0,60.411915
35,95.0,65.5033
36,60.0,60.65271
37,25.0,61.40001
38,45.0,55.785095
39,100.0,56.17422
40,20.0,56.697968
41,5.0,50.25598
42,95.0,56.45334
43,5.0,61.875744
44,10.0,46.486523
45,60.0,60.569008
46,100.0,55.761803
47,65.0,55.82645
48,80.0,66.51988
49,45.0,56.95234
50,5.0,56.921295
51,20.0,50.346104
52,60.0,61.200485
53,45.0,49.845936
54,35.0,54.01583
55,65.0,65.52953
56,95.0,71.01233
57,35.0,54.245834
58,85.0,57.177853
59,35.0,48.22602
60,80.0,63.882225
61,35.0,64.26871
