,RFM,0
0,80.0,77.9089
1,35.0,61.16462
2,45.0,48.782753
3,60.0,61.458164
4,20.0,36.45283
5,95.0,61.504368
6,100.0,55.03515
7,80.0,67.99813
8,35.0,57.910362
9,95.0,66.334045
10,100.0,64.92864
11,35.0,60.256355
12,95.0,67.54483
13,85.0,62.189613
14,80.0,61.61209
15,80.0,77.815704
16,60.0,49.092655
17,10.0,61.902523
18,65.0,63.212578
19,85.0,61.919815
20,20.0,50.38426
21,65.0,61.41436
22,35.0,53.132008
23,25.0,54.75969
24,60.0,58.321423
25,20.0,59.424202
26,100.0,62.590195
27,80.0,58.7535
28,20.0,49.707733
29,80.0,57.276714
30,45.0,55.67019
31,45.0,67.81093
32,35.0,50.059494
33,80.0,56.067944
34,65.0,65.61653
35,25.0,53.152588
36,80.0,67.40247
37,100.0,59.980354
38,60.0,61.678642
39,60.0,65.24054
40,95.0,53.752068
41,10.0,56.01806
42,20.0,43.36732
43,80.0,54.551407
44,10.0,70.476074
45,35.0,53.75139
46,65.0,61.08264
47,35.0,49.038895
48,60.0,60.176254
49,20.0,47.958652
50,95.0,60.38086
51,45.0,48.108746
52,95.0,54.780952
53,100.0,68.23032
54,35.0,60.278934
55,100.0,56.434998
56,60.0,60.885666
57,35.0,58.359585
58,80.0,53.247536
59,65.0,54.599777
60,95.0,59.617573
61,65.0,63.44754
62,60.0,60.955547
63,35.0,45.938377
64,80.0,57.06044
65,60.0,58.928852
66,65.0,57.486023
67,80.0,55.09544
68,35.0,58.578075
69,80.0,63.04177
70,95.0,70.52916
71,25.0,55.849537
72,95.0,63.783043
73,95.0,64.63063
74,80.0,67.25711
75,80.0,52.09341
76,80.0,63.56893
77,20.0,62.652374
78,85.0,70.97287
79,60.0,62.562927
80,95.0,59.888306
81,65.0,45.135197
82,25.0,56.665337
83,10.0,61.101093
84,65.0,55.458344
85,35.0,53.830505
86,65.0,56.479565
87,95.0,65.68143
88,35.0,51.467113
89,10.0,43.231274
90,25.0,61.420036
91,5.0,54.309635
92,25.0,61.220657
93,65.0,62.3185
94,100.0,54.87323
95,35.0,55.700146
96,60.0,54.813675
97,85.0,54.55481
98,95.0,57.168682
99,95.0,60.4602
100,80.0,58.41228
101,80.0,49.020992
102,85.0,61.144142
103,80.0,61.549973
104,95.0,63.461
105,20.0,48.76303
106,10.0,58.905853
107,85.0,53.77962
108,45.0,54.6525
109,65.0,63.77702
110,80.0,67.77408
111,100.0,58.797146
112,25.0,58.476913
113,35.0,57.53591
114,10.0,49.58519
115,85.0,57.50872
116,80.0,69.08346
117,80.0,57.325123
118,65.0,66.70288
119,80.0,52.01476
120,20.0,64.93906
121,25.0,48.510654
122,45.0,52.57716
123,95.0,69.67877
124,95.0,67.03252
125,95.0,67.655334
126,10.0,65.34578
127,65.0,56.22706
128,25.0,58.948807
129,60.0,61.190258
130,5.0,56.161686
131,65.0,65.76261
132,80.0,70.008286
133,25.0,51.778774
134,80.0,68.48137
135,100.0,70.31061
136,35.0,51.555588
137,5.0,50.287212
138,65.0,54.95643
139,35.0,70.6024
140,45.0,55.168774
141,25.0,53.23431
142,85.0,59.293655
143,60.0,64.265724
144,35.0,55.46974
145,25.0,44.488514
146,20.0,56.061302
147,5.0,51.258816
148,85.0,59.504456
149,45.0,53.408524
150,80.0,58.48951
151,95.0,62.371487
152,95.0,53.966022
153,5.0,58.934856
154,35.0,45.94832
155,65.0,66.26214
156,80.0,60.957005
157,100.0,56.429546
158,80.0,57.947006
159,5.0,60.014725
160,95.0,55.874817
161,10.0,62.090534
162,20.0,57.179432
163,35.0,58.48086
164,95.0,43.352566
165,95.0,53.002796
