,RFM,0
0,45.0,44.692307
1,60.0,68.292076
2,60.0,61.68697
3,45.0,49.20236
4,5.0,59.69957
5,35.0,48.429546
6,60.0,60.448666
7,80.0,58.482754
8,65.0,64.50596
9,35.0,48.451836
10,80.0,67.53706
11,10.0,35.732616
12,80.0,63.64019
13,35.0,57.706512
14,20.0,47.218086
15,80.0,61.645134
16,20.0,51.281727
17,5.0,50.086933
18,45.0,44.91006
19,100.0,56.02794
20,60.0,53.73756
21,35.0,63.074833
22,80.0,61.416405
23,100.0,55.813263
24,35.0,54.84852
25,5.0,52.310356
26,35.0,54.17989
27,100.0,64.317215
28,60.0,60.260185
29,60.0,61.06501
30,60.0,49.746758
31,60.0,66.67831
32,60.0,62.02027
33,95.0,56.190933
34,10.0,49.886253
35,35.0,55.828
36,60.0,62.753223
37,80.0,64.991776
38,10.0,45.228073
39,95.0,65.51502
40,45.0,59.5256
41,80.0,68.178406
42,85.0,59.043377
43,35.0,66.16138
44,80.0,67.735596
45,95.0,71.36523
46,65.0,67.7647
47,20.0,37.48137
48,10.0,44.68178
49,35.0,54.869644
50,100.0,66.6402
51,60.0,60.10395
52,35.0,50.020714
53,45.0,56.032543
54,95.0,62.443676
55,35.0,49.598335
56,60.0,45.76693
57,60.0,46.415855
58,80.0,60.612217
59,25.0,46.990707
60,80.0,58.533844
61,20.0,58.341785
