,RIGID_PERFECTIONISM,0
0,0.25,62.0556
1,0.75,70.48094
2,0.0,84.4034
3,0.25,60.847607
4,0.0,74.18985
5,1.0,91.714714
6,0.0,72.63559
7,1.75,73.95825
8,0.0,66.51683
9,1.5,91.885666
10,1.0,84.65553
11,1.25,73.62427
12,0.25,84.741234
13,0.75,81.33256
14,1.0,68.86919
15,1.25,90.031456
16,1.25,77.90267
17,1.75,80.113
18,0.5,91.95694
19,1.5,73.354324
20,0.0,65.22484
21,0.25,77.191895
22,0.25,77.10278
23,2.25,83.05879
24,0.0,79.13211
25,0.5,80.73805
26,0.5,71.315056
27,0.25,81.61239
28,0.75,81.56779
29,2.0,85.53876
30,0.0,69.335236
31,1.75,79.59178
32,0.5,72.87546
33,0.25,68.24641
34,0.0,73.86302
35,1.5,76.87073
36,1.0,66.62123
37,1.0,74.81699
38,2.25,82.02075
39,0.0,69.406525
40,0.25,79.10602
41,1.5,90.36961
42,0.25,75.373276
43,0.0,74.55505
44,0.75,66.51034
45,1.0,75.75019
46,0.5,72.60052
47,0.75,82.05005
48,0.25,89.45598
49,2.25,79.07831
50,0.5,72.80932
51,1.5,80.25523
52,3.0,94.811844
53,3.0,87.293594
54,1.5,88.29391
55,0.0,71.35605
56,2.0,90.39453
57,2.0,93.24451
58,0.25,68.72914
59,0.75,80.55316
60,0.75,65.84053
61,1.5,81.37729
62,0.25,79.337135
63,2.75,79.079216
64,0.0,68.70564
65,1.0,85.77392
66,1.0,74.836624
67,0.5,76.84034
68,1.0,69.055336
69,1.5,92.324646
70,1.75,85.50016
71,0.0,80.2464
72,0.0,82.80176
73,0.25,87.99017
74,0.25,80.73776
75,2.0,86.87
76,0.0,74.96912
77,1.5,85.05994
78,0.75,82.12711
79,1.25,76.961136
80,1.5,81.910934
81,0.0,63.33386
82,1.25,69.837746
83,1.25,79.95443
84,2.5,83.60344
85,2.0,88.91842
86,1.5,83.59642
87,2.5,84.64872
88,1.0,79.13711
89,1.25,90.65136
90,0.0,80.65446
91,3.0,84.15379
92,0.75,78.87457
93,0.0,65.95238
94,2.0,88.06538
95,0.5,93.14339
96,0.5,79.06676
97,1.75,80.88477
98,0.0,60.664703
99,1.5,92.6054
100,0.25,81.662415
101,0.0,86.59758
102,0.5,71.196724
103,2.25,77.83852
104,2.75,81.24978
105,0.25,67.38921
106,1.25,81.66646
107,0.0,79.762
108,1.25,86.52956
109,0.0,68.95815
110,0.25,62.20449
111,0.25,83.402245
112,0.75,78.71231
113,1.25,84.70093
114,1.75,77.6606
115,1.75,85.183
116,0.5,62.011387
117,3.0,98.79837
118,0.0,76.99066
119,1.25,85.82318
120,1.75,87.38234
121,0.75,73.56694
122,1.25,83.09129
123,0.25,64.98182
124,1.25,76.36341
125,0.25,74.83815
126,3.0,91.06027
127,0.0,60.664562
128,2.0,88.07545
129,0.5,67.88004
130,0.5,65.39607
131,2.25,87.36065
132,1.25,74.0188
133,1.0,83.36884
134,3.0,86.56746
135,0.75,70.78822
136,0.0,71.93268
137,1.5,93.532135
138,1.75,69.64473
139,0.0,71.82886
140,1.25,73.19423
141,0.5,74.47744
142,0.0,79.04968
143,1.5,74.42422
144,1.75,97.50709
145,0.75,89.39257
146,0.0,78.16595
147,1.0,74.043526
148,0.0,75.88272
149,2.5,84.982834
150,1.5,75.170395
151,0.25,101.66653
152,1.25,81.11825
153,1.25,77.50348
154,2.75,94.46684
155,1.5,88.61696
156,0.0,67.78937
157,1.5,82.03741
158,0.0,75.81264
159,2.0,65.89558
160,2.0,86.71382
161,0.5,80.1635
162,0.5,81.504395
163,0.0,71.6112
164,0.5,64.70409
165,2.25,86.91009
166,1.25,89.24172
167,1.0,85.47105
168,2.25,84.510124
169,1.0,90.988754
170,1.5,86.115845
171,0.0,93.3956
172,0.25,72.42051
173,1.0,70.07515
174,0.75,86.60036
175,1.0,78.53015
176,0.25,81.06037
177,0.25,75.14115
178,0.0,73.901184
179,0.0,67.7692
180,2.5,73.711235
181,1.5,93.27185
182,0.0,69.74635
183,0.25,69.90091
184,1.25,74.498604
185,1.75,88.00479
186,1.0,79.45997
187,0.75,72.71239
188,0.25,77.635124
189,0.0,78.485
190,1.5,79.60557
191,0.75,90.52115
192,0.25,80.81475
193,0.75,68.198105
194,0.0,73.70709
195,1.5,92.162025
196,0.5,73.91482
197,0.0,68.05451
198,1.75,72.65854
199,0.5,60.16234
200,1.25,84.245865
201,0.0,75.1022
202,0.5,65.13154
203,1.75,79.89656
204,1.75,69.66191
205,0.75,79.065285
206,2.0,72.64347
207,0.25,82.638275
208,1.0,71.13174
209,1.0,84.96698
210,0.75,82.29185
211,2.0,82.92426
212,0.75,76.06621
213,1.0,90.01179
214,1.0,50.16249
215,0.75,75.339745
216,0.75,76.75897
217,0.25,68.65737
218,2.0,85.56413
219,1.25,85.660515
220,2.0,71.501625
221,1.5,83.62254
222,0.25,75.731804
223,1.75,76.572914
224,1.75,109.215996
225,1.5,82.27164
226,2.5,81.65762
227,2.5,84.59428
228,1.5,86.30149
229,0.75,81.614075
230,1.5,91.23422
231,1.0,83.43375
232,3.0,94.35941
233,1.5,73.8968
234,1.0,75.9734
235,2.25,77.47298
236,1.5,88.58889
237,0.0,74.29425
238,1.0,89.31671
239,2.75,85.06966
240,0.5,66.31777
241,0.75,79.91815
242,0.5,84.50363
243,0.0,85.636314
244,2.5,84.48406
245,0.0,80.85111
246,0.25,65.551285
247,0.0,68.2437
248,1.25,76.01144
249,0.0,81.48339
250,1.0,80.93474
251,0.5,65.3612
252,0.25,89.26782
253,2.5,83.94585
254,0.5,59.28328
255,1.5,90.57208
256,1.0,81.850876
257,0.75,85.792366
258,0.0,65.28587
259,2.75,91.61536
260,2.5,88.9226
261,0.75,76.99725
262,1.75,72.394806
263,2.25,71.80426
264,0.25,68.765236
265,1.25,79.258194
266,1.25,69.72208
267,0.75,82.54541
268,1.0,67.13721
269,0.0,65.8053
270,0.75,75.370186
271,1.75,92.8303
272,0.75,69.721085
273,0.25,81.10378
274,1.75,94.47836
275,1.0,87.14831
276,1.25,82.99009
277,0.25,81.40731
278,1.25,80.55684
279,1.0,87.2222
280,0.25,71.415184
281,0.25,73.4218
282,2.25,84.68799
283,0.25,82.027306
284,0.0,69.349236
285,0.5,82.87432
286,2.0,95.642715
287,0.0,68.54507
288,1.75,89.22111
289,0.0,72.74294
290,1.0,72.37396
291,0.0,80.53375
292,0.0,64.98169
293,0.0,76.084496
294,2.0,83.288025
295,0.25,70.07118
296,1.25,77.542465
297,2.0,92.59706
298,1.25,72.95552
299,0.75,74.26781
300,2.25,91.58438
301,0.0,79.738785
302,0.5,82.78932
303,0.0,65.746475
304,0.75,80.72912
305,1.75,83.04495
306,0.0,68.38104
307,0.0,66.2587
308,1.5,76.76208
309,0.75,78.84336
310,1.25,98.87084
311,0.0,59.216244
312,1.25,66.984055
313,3.0,82.24388
314,1.75,93.49826
315,0.5,70.498276
316,0.0,80.959206
317,1.0,81.749245
318,1.5,79.12992
319,1.25,77.18143
320,2.5,85.82877
321,0.0,70.72339
322,1.0,82.70853
323,2.25,79.0044
324,0.25,82.574234
325,1.5,94.06444
326,2.5,98.13726
327,1.5,98.16089
328,1.0,80.44386
329,3.0,87.63689
330,2.25,86.99513
331,0.0,71.36623
332,2.25,101.65185
333,2.0,84.15697
334,0.0,78.22469
335,1.0,73.25647
336,1.5,72.70716
337,2.75,99.226776
338,0.25,60.41373
339,1.75,84.62345
340,1.75,82.96122
341,0.75,63.432335
342,0.75,87.27483
343,0.5,68.769104
344,0.0,70.32249
345,2.0,83.157646
346,0.75,82.445496
347,1.5,82.63225
348,0.5,74.31893
349,0.5,76.05564
350,0.0,76.17476
351,1.25,83.38872
352,0.75,68.73024
353,0.25,64.63376
354,1.5,80.03509
355,0.0,80.19856
356,1.75,79.2894
357,2.0,82.39434
358,3.0,86.29823
359,1.0,80.56773
360,1.5,92.8745
361,0.0,71.08411
362,0.5,78.604164
363,1.5,73.04486
364,1.0,82.459496
365,1.75,81.86203
366,1.0,80.06729
367,0.75,77.74592
368,2.25,99.61499
369,0.75,83.17883
370,1.25,96.24595
371,2.25,78.66247
372,0.75,63.428967
373,2.5,73.19955
374,2.25,88.01053
375,1.75,110.95256
376,1.25,78.55806
377,2.0,90.616325
378,0.0,80.06218
379,0.25,96.27102
380,1.5,93.74971
381,2.0,96.07394
382,2.5,76.08469
383,1.25,97.29344
384,0.0,75.1303
385,1.5,80.0407
386,2.25,99.54274
387,1.75,87.616325
388,0.5,77.75221
389,2.0,85.040665
390,0.75,73.119965
391,0.5,76.096535
392,0.75,79.44105
393,0.75,85.98748
394,2.25,81.8596
395,1.75,62.945736
396,1.25,78.5606
397,1.75,80.38027
398,3.0,87.86733
399,1.0,70.74709
400,0.75,82.16705
401,0.0,80.03411
402,0.25,76.3494
403,2.0,93.55304
404,0.0,80.04159
405,1.25,81.40726
406,2.0,93.06427
407,1.0,97.386566
408,0.0,66.78311
409,0.0,79.82042
410,0.25,68.97745
411,2.0,95.50404
412,0.25,73.39953
413,0.0,75.942
414,0.75,74.31752
415,2.5,106.17507
