,RISK_TAKING,0
0,1.5,5.886244
1,0.0,3.3187606
2,0.25,7.52534
3,0.0,1.1963295
4,2.75,7.9917417
5,2.5,6.937376
6,0.25,4.0201783
7,2.75,8.808212
8,0.0,0.0
9,2.25,8.895746
10,0.75,0.6757615
11,0.0,2.1030343
12,0.25,2.0839818
13,1.0,6.0248113
14,3.0,6.0357246
15,0.5,3.7002513
16,1.0,6.6837907
17,0.0,0.3410581
18,2.0,12.460853
19,0.0,5.266086
20,0.25,4.2504926
21,0.0,0.0
22,0.25,3.7520247
23,1.0,10.241549
24,0.0,0.0
25,0.0,1.417931
26,0.5,3.7915146
27,1.5,4.8298736
28,0.25,5.231752
29,1.25,8.196136
30,0.5,6.6816316
31,2.0,3.1512177
32,1.0,0.0
33,0.5,3.8411133
34,1.5,12.005934
35,1.25,4.8971066
36,0.0,0.66223747
37,0.25,0.0
38,0.75,4.5702577
39,0.25,0.0
40,0.25,1.8596195
41,0.25,5.9513807
42,0.75,4.204558
43,1.25,5.7045026
44,2.5,9.411219
45,0.0,1.9868783
46,0.0,1.9602569
47,0.5,0.44198784
48,0.0,5.8771334
49,1.75,7.318381
50,0.0,7.830933
51,0.0,1.3432106
52,0.25,1.8805951
53,1.5,3.9309757
54,0.75,9.379712
55,1.5,8.215947
56,0.0,0.012761439
57,1.75,8.684692
58,0.0,5.2819424
59,0.75,6.5393147
60,1.0,7.620951
61,0.25,4.0478344
62,1.5,7.798638
63,0.25,0.12862
64,0.0,3.1940348
65,1.75,9.381862
66,0.5,7.0476527
67,0.0,3.3870022
68,0.25,2.1699417
69,0.5,3.6057642
70,0.5,6.89345
71,0.0,3.9124587
72,0.75,11.698053
73,0.75,7.499266
74,0.25,4.6116023
75,0.25,0.0
76,0.0,2.8386233
77,0.0,4.992013
78,0.25,2.5455754
79,0.25,5.989779
80,1.25,10.042512
81,1.0,3.3400776
82,0.25,1.9687446
83,0.5,0.0
84,0.25,6.8338614
85,0.25,2.9984019
86,1.5,10.582301
87,0.5,4.9954467
88,0.0,2.215834
89,0.5,2.7055352
90,0.75,1.7620243
91,2.5,5.6907043
92,0.5,4.178491
93,1.25,7.7933292
94,1.75,11.180209
95,2.0,8.028271
96,0.25,6.3390265
97,0.0,0.7110713
98,2.25,7.7559056
99,2.5,7.5277658
100,0.0,3.8698232
101,0.0,6.125397
102,0.75,0.6374219
103,1.5,12.269513
104,0.5,6.149575
105,0.25,4.655516
106,0.0,0.35769162
107,0.0,0.8337777
108,2.25,9.211259
109,0.25,5.4878535
110,1.75,5.510622
111,0.0,1.923119
112,1.75,6.403134
113,0.0,4.3430724
114,0.0,2.1928065
115,0.0,5.177711
116,0.25,1.7126902
117,0.5,4.3071694
118,0.0,5.652939
119,1.0,8.022054
120,1.25,6.551121
121,0.0,6.8902287
122,0.5,5.2331424
123,1.0,4.791125
124,0.5,5.916068
125,0.5,5.6507087
126,0.75,0.0
127,0.75,4.3427525
128,0.0,2.4551146
129,1.5,7.6266356
130,0.25,3.0101235
131,0.5,3.8653395
132,1.25,3.9119506
133,2.25,2.1427124
134,0.75,4.7885275
135,2.75,8.946021
136,1.25,2.3089354
137,0.0,2.284025
138,0.25,7.34561
139,0.75,6.242615
140,0.25,2.9246705
141,0.75,7.09269
142,0.75,4.0302067
143,0.0,0.0
144,0.25,7.7960496
145,0.0,3.2663252
146,0.25,5.9911733
147,0.25,3.8494651
148,0.0,0.0
149,1.5,6.918752
150,2.25,8.373723
151,3.0,11.485895
152,0.75,5.5621495
153,0.5,3.7112958
154,1.5,10.294408
155,1.5,4.39249
156,0.5,5.6846027
157,0.25,10.254331
158,0.0,4.6580215
159,0.0,6.819135
160,0.0,6.617069
161,0.0,1.9202932
162,0.5,6.2709093
163,1.25,8.801475
164,0.75,8.285256
165,0.0,3.8426716
166,0.0,1.4862932
167,0.0,0.0
168,0.0,10.661142
169,0.0,6.3899217
170,0.5,3.9927123
171,0.25,5.3887916
172,0.0,0.89617497
173,0.0,3.3058217
174,1.5,3.122903
175,0.75,4.0739493
176,0.0,2.6117687
177,1.5,7.615374
178,0.0,2.560135
179,1.0,2.407111
180,0.0,5.4553847
181,0.75,5.6738214
182,0.0,4.903519
183,0.5,4.281935
184,0.75,8.853229
185,0.5,8.985566
186,0.0,3.3742917
187,0.5,5.6538377
188,1.5,8.04089
189,0.75,9.606868
190,1.0,7.039894
191,1.0,4.850869
192,0.5,5.778836
193,2.75,6.323077
194,0.25,5.5843835
195,0.75,9.1625595
196,0.0,2.1779926
197,0.25,8.877432
198,1.5,5.5075283
199,0.25,6.6052933
200,1.0,3.0118048
201,0.0,3.2150624
202,0.0,0.93794805
203,0.75,7.695775
204,0.0,3.1803992
205,0.75,9.015522
206,0.0,2.5809977
207,1.5,8.477576
208,0.0,2.9473336
209,0.0,4.053516
210,0.25,3.2530062
211,0.0,6.286568
212,0.5,0.0
213,2.0,6.034128
214,0.75,0.0
215,0.25,1.8332242
216,0.0,8.397727
217,0.0,0.0
218,0.0,0.0
219,0.0,6.6933
220,0.0,4.4857473
221,1.25,0.0
222,0.75,2.3988702
223,1.0,6.632205
224,2.0,6.0155888
225,0.0,0.24440822
226,0.5,5.8965816
227,0.0,0.82764226
228,1.25,11.295043
229,1.25,0.0
230,1.25,3.0959466
231,0.0,3.8607762
232,2.75,10.790127
233,0.75,3.4825766
234,0.5,8.449355
235,0.0,2.607598
236,0.25,3.6827972
237,0.0,6.1082716
238,0.5,4.181007
239,2.0,8.389021
240,0.0,2.7030919
241,0.5,1.6292757
242,0.25,3.9595788
243,0.0,0.0
244,2.0,11.300839
245,0.0,0.6546677
246,1.0,2.2477515
247,0.75,4.9538593
248,1.75,8.940595
249,0.25,5.967566
250,1.0,7.0192547
251,1.5,0.0
252,0.25,6.011233
253,1.5,5.5209107
254,0.0,8.41971
255,0.0,4.958773
256,0.75,7.8846345
257,1.0,10.6952715
258,0.0,3.3639615
259,0.0,10.380185
260,1.75,12.992478
261,0.5,2.7825706
262,0.75,0.0
263,0.0,0.5025924
264,1.5,9.14058
265,0.25,3.9476922
266,1.5,4.824422
267,0.25,3.9513557
268,0.0,5.1300187
269,0.0,2.0118928
270,2.5,15.298886
271,0.5,3.2779753
272,0.0,1.2786659
273,0.25,1.9572195
274,0.0,2.4246628
275,0.0,1.3446358
276,0.0,7.9410086
277,1.5,3.4402955
278,2.0,11.957583
279,2.0,0.0
280,0.25,0.0
281,0.0,1.2404238
282,1.5,0.0
283,0.0,2.1303256
284,0.75,5.830067
285,0.25,6.20666
286,0.0,5.9972587
287,0.0,1.1844586
288,0.0,2.9369104
289,0.0,3.3906724
290,1.5,2.0561192
291,0.75,7.5703855
292,1.0,4.7018337
293,0.5,1.6245564
294,0.0,6.330363
295,0.0,5.3218584
296,1.0,7.514789
297,0.0,1.8347214
298,1.5,6.13827
299,0.0,6.6507964
300,0.75,0.0
301,0.0,1.4230055
302,0.5,3.7008736
303,0.0,3.3115466
304,0.0,7.400772
305,2.25,9.754263
306,1.5,7.6701813
307,0.0,3.1595151
308,0.5,3.1416376
309,0.75,6.565697
310,0.5,8.147801
311,0.0,6.673521
312,0.25,2.660372
313,0.25,0.0
314,0.25,3.5071304
315,0.25,8.0814295
316,0.0,2.5180862
317,0.0,3.2421315
318,1.0,5.403923
319,1.25,0.0
320,1.0,5.8242683
321,1.25,5.0818076
322,0.25,4.445876
323,0.0,1.2292057
324,0.0,0.20979246
325,0.0,0.0
326,0.0,5.0510235
327,0.0,1.7506436
328,0.0,4.730126
329,0.25,0.0
330,0.5,7.8052316
331,0.0,0.0
332,0.5,2.7431524
333,0.25,3.5542977
334,1.25,8.960137
335,0.0,7.7126026
336,0.25,3.690015
337,1.0,7.6287284
338,1.25,8.059612
339,3.0,9.869967
340,2.25,7.501782
341,0.0,7.3374557
342,0.75,5.1884036
343,0.0,3.1721108
344,1.25,0.73546344
345,1.25,2.8410752
346,0.0,2.995114
347,1.5,15.075767
348,0.5,8.561131
349,0.0,3.9913452
350,1.75,4.614267
351,1.0,4.3819475
352,0.0,5.7037196
353,0.25,5.8067465
354,0.0,2.207486
355,0.5,7.6667266
356,0.0,3.4825375
357,1.0,2.278498
358,1.0,5.488746
359,3.0,8.8933
360,0.0,2.8064988
361,0.0,2.1949914
362,0.25,6.5291657
363,1.75,8.124991
364,2.5,11.354129
365,0.5,4.3648953
366,0.25,0.0
367,1.25,5.229626
368,1.5,2.389891
369,0.75,5.64119
370,0.0,4.092442
371,0.5,5.677818
372,0.75,0.1678842
373,1.25,3.0318315
374,1.25,5.7924304
375,0.5,7.5530524
376,0.25,0.0
377,0.5,13.924092
378,2.0,6.5410323
379,0.0,6.1508265
380,0.0,0.0
381,0.75,7.082916
382,0.25,4.91314
383,0.25,0.0
384,0.25,7.4384866
385,0.0,7.8099556
386,0.0,5.0951858
387,1.5,3.9139397
388,0.75,2.6819923
389,0.0,3.7808583
390,2.0,9.524556
391,0.0,3.0986125
392,0.75,1.8133992
393,0.0,2.3341744
394,0.0,0.7905858
395,0.0,2.6621583
396,0.75,1.3009785
397,1.0,2.4714768
398,0.75,7.4893956
399,0.0,0.0
400,0.75,3.388675
401,1.0,9.6984
402,0.0,6.070537
403,0.25,1.525133
404,0.25,4.929777
405,0.0,7.727937
406,0.5,2.6572058
407,1.25,3.076958
408,0.25,7.6659203
409,0.75,3.8916218
410,0.0,3.0480397
411,2.5,8.607991
412,0.5,6.2647552
413,0.75,3.084101
414,2.5,12.515286
415,1.0,0.0
