,SELFAFFICACY,0
0,3.88,13.931627
1,4.0,19.613781
2,4.13,16.86433
3,2.88,12.554728
4,3.75,19.41072
5,4.5,13.418093
6,3.88,12.821676
7,4.88,15.769353
8,2.38,14.226944
9,4.25,19.896223
10,4.25,15.908788
11,3.88,14.345902
12,3.75,17.595894
13,4.38,17.818962
14,4.38,16.404856
15,5.88,16.802004
16,5.63,24.782442
17,3.38,18.894226
18,6.13,22.241663
19,3.63,21.793669
20,6.0,19.773548
21,5.0,16.835587
22,6.13,20.207924
23,3.38,17.632883
24,5.25,22.87867
25,4.5,17.044958
26,4.0,19.881655
27,5.5,23.269217
28,4.25,18.347246
29,3.25,15.672631
30,3.38,15.425664
31,4.75,18.088594
32,4.0,19.979277
33,5.5,24.912941
34,5.5,11.594415
35,6.13,20.830988
36,3.5,16.471882
37,3.38,15.152852
38,4.13,18.158924
39,3.75,16.59847
40,5.38,22.21365
41,2.63,16.990395
42,6.0,23.574038
43,3.75,19.896484
44,4.13,18.156893
45,3.5,20.075293
46,5.25,21.403997
47,5.25,22.49811
48,3.25,21.012836
49,4.13,18.044737
50,3.88,17.569517
51,5.25,18.129103
