,SELFAFFICACY,0
0,6.5,24.870012
1,5.13,16.565107
2,4.38,19.559673
3,5.63,22.274067
4,5.75,19.518137
5,2.63,13.230988
6,3.5,17.066301
7,4.75,17.899038
8,3.63,16.810883
9,3.88,18.404879
10,4.0,18.766218
11,6.13,17.588614
12,5.5,16.510714
13,6.75,17.433855
14,3.63,13.50458
15,6.13,23.244312
16,6.13,25.19815
17,4.75,17.292917
18,4.25,19.288609
19,3.13,9.494955
20,4.75,22.57144
21,4.13,15.955762
22,3.75,17.781137
23,4.13,22.545523
24,3.63,19.754251
25,4.63,20.458063
26,4.75,17.542356
27,5.88,22.319632
28,5.25,17.956793
29,6.13,19.859024
30,5.0,19.007784
31,3.75,15.819772
32,4.63,21.446466
33,4.0,13.173617
34,4.38,18.538982
35,3.38,14.335563
36,3.25,13.224049
37,4.38,19.458607
38,4.5,12.91997
39,4.25,18.35759
40,2.38,15.939274
41,5.13,18.997665
42,4.5,17.417826
43,4.13,16.102665
44,4.38,12.756969
45,5.5,18.272558
46,4.0,19.313164
47,5.63,16.688078
48,4.5,13.716576
49,3.63,15.028661
50,4.75,18.561522
51,6.13,17.20824
52,6.13,17.714972
53,3.63,12.715297
54,4.0,13.594083
55,6.75,24.73637
56,4.63,18.121801
57,4.63,20.479082
58,4.38,16.657846
59,5.88,18.337584
60,6.13,18.867144
61,6.13,25.406744
62,3.88,15.978143
63,3.75,17.0267
64,3.5,14.297427
65,6.13,26.868969
66,3.5,15.539831
67,4.13,17.29381
68,5.25,20.840815
69,6.13,21.299097
70,4.0,16.333475
71,3.25,17.213118
72,3.63,17.681902
73,5.88,22.966248
74,4.75,17.942223
75,3.75,15.638825
76,3.63,16.496138
77,5.88,18.755863
78,3.38,15.374319
79,6.13,18.311405
80,5.38,19.698269
81,4.75,19.893545
82,4.5,15.49906
83,3.75,16.502708
84,5.13,21.434576
85,4.0,9.935702
86,3.13,18.990108
87,4.0,18.60479
88,5.0,21.23405
89,3.88,18.064129
90,5.75,18.361628
91,4.0,15.86714
92,6.38,20.54514
93,5.5,21.705948
94,4.38,18.88274
95,4.25,17.889563
96,4.13,22.261768
97,5.25,21.190485
98,3.38,14.057255
99,2.5,21.292604
100,4.25,19.605513
101,3.88,17.05487
102,4.0,17.175547
103,6.13,18.380417
104,6.5,24.942293
105,3.5,14.681885
106,4.13,17.742891
107,4.5,18.251297
108,2.88,14.333376
109,6.13,20.23631
110,3.88,16.489458
111,4.0,15.667881
112,5.0,22.448092
113,4.75,20.738432
114,4.5,16.678272
115,2.88,15.707785
116,4.75,19.830278
117,6.25,26.244314
118,4.75,21.014013
119,3.25,17.1248
120,4.63,16.382576
121,5.5,19.611467
122,3.75,18.104471
123,4.38,17.205023
124,3.75,16.07557
125,5.5,18.271212
126,4.25,13.024975
127,6.13,19.628952
128,3.5,16.924295
129,3.5,14.804108
130,3.5,19.551905
131,3.88,15.844939
132,4.13,23.614454
133,3.75,14.47902
134,3.5,17.40936
135,5.0,17.035093
136,6.0,22.366295
137,3.5,16.96244
138,5.63,23.276447
139,3.63,17.860098
140,4.0,21.10414
141,5.25,22.726137
142,6.13,16.493937
143,5.63,15.814796
144,6.75,23.199434
145,1.88,13.469337
146,6.75,23.176662
147,3.25,11.169328
148,5.0,23.70985
149,6.13,22.426233
150,3.25,15.971251
151,4.63,14.237063
152,3.75,14.106682
153,4.25,18.094019
154,4.5,11.695034
155,4.13,16.28626
156,4.38,16.809877
157,5.63,21.11649
158,6.75,20.832644
159,4.25,17.135122
160,4.75,20.423758
161,5.75,19.795675
162,4.0,16.300571
163,5.63,18.980299
164,4.25,19.175772
165,6.75,20.19174
166,3.88,16.488665
167,5.0,14.918481
168,4.88,18.55064
169,4.63,20.916868
170,3.13,14.886865
171,3.0,16.317482
172,3.38,15.707967
173,4.88,22.554632
174,4.63,13.430019
175,4.25,16.345844
176,2.75,18.174013
177,3.25,14.302733
178,4.38,17.678165
179,4.0,18.07314
180,4.25,13.795599
181,5.0,15.504976
182,4.13,15.6278925
183,3.13,14.810942
184,4.0,18.222027
185,2.38,14.590925
186,5.38,17.444353
187,3.13,17.094137
188,5.38,24.74579
189,4.25,18.87078
190,3.5,17.310408
191,4.13,16.377512
192,5.38,20.72606
193,3.25,13.555942
194,3.63,14.551949
195,3.63,16.51457
196,5.38,14.932799
197,3.5,20.415358
198,4.0,18.754454
199,4.13,18.83545
200,4.13,14.213871
201,4.5,17.806107
202,4.25,14.819084
203,3.25,17.12591
204,4.38,11.255104
205,4.13,19.348267
206,4.0,19.797098
207,5.88,18.176188
208,5.13,20.793325
209,5.63,17.754456
210,6.25,19.244135
211,4.0,15.665237
212,5.75,18.773495
213,5.88,20.311508
214,3.88,14.973227
215,4.0,19.54368
216,3.38,17.97515
217,5.0,18.472055
218,5.25,19.755384
219,5.63,14.8113165
220,4.38,18.994068
221,3.38,17.166231
222,3.13,14.399768
223,4.5,16.01264
224,3.75,17.078167
225,4.75,21.206827
226,4.0,16.361702
227,4.25,17.97592
228,6.5,19.456272
229,6.25,21.245192
230,3.63,14.25157
231,6.13,14.678812
232,3.63,17.208025
233,4.0,17.370462
234,4.0,20.092287
235,3.13,18.628891
236,5.0,17.689663
237,4.0,21.556196
238,4.0,13.951573
239,4.75,13.02204
240,4.88,18.59232
241,5.0,14.714632
242,5.38,17.707045
243,3.75,10.931479
244,6.13,21.819416
245,4.25,15.707243
246,3.13,15.929132
247,3.63,15.850664
248,4.5,21.12017
249,3.88,15.527156
250,4.63,20.703249
251,4.13,18.521463
252,4.5,18.713633
253,4.75,19.353056
254,4.75,12.772989
255,6.25,21.483458
256,4.25,12.177771
