,SELFAFFICACY,0
0,4.88,22.466602
1,4.38,18.714493
2,4.0,15.543638
3,5.0,22.531637
4,4.5,14.195927
5,5.38,18.957832
6,6.13,19.785093
7,4.13,19.275887
8,3.25,15.810077
9,5.38,22.517487
10,4.13,21.431215
11,4.0,16.146536
12,6.75,21.42798
13,6.75,21.895695
14,5.88,23.209196
15,5.13,20.43081
16,1.75,16.423452
17,4.38,17.299913
18,4.63,14.946988
19,5.75,16.53294
20,4.75,20.76313
21,5.25,18.445097
22,4.88,21.678879
23,4.13,17.010649
24,4.13,15.293291
25,3.63,18.944996
26,4.13,19.909765
27,3.5,16.360699
28,5.0,13.460756
29,2.75,13.830397
30,3.88,12.906517
31,4.75,16.05351
32,4.75,17.74271
33,6.13,20.739462
34,2.75,18.116663
35,3.88,16.364248
36,5.0,22.829844
37,4.5,12.664126
38,6.13,17.7947
39,3.88,21.43828
40,6.13,22.944845
41,3.5,17.375267
42,4.88,20.446281
43,4.5,11.297435
44,4.75,18.214052
45,3.75,14.935919
46,4.5,28.357355
47,2.13,15.344395
48,4.5,20.030153
49,3.5,14.067659
50,4.0,21.540754
51,4.25,21.335903
52,4.13,15.522248
