,SELFESTEEM,0
0,3.1,30.717033
1,2.9,29.344173
2,2.8,33.50987
3,2.9,31.279325
4,2.9,28.406372
5,2.8,33.784897
6,2.7,26.753334
7,2.9,29.376669
8,3.1,31.231369
9,2.7,26.17679
10,2.7,19.797178
11,3.1,30.762516
12,2.6,31.598656
13,3.7,26.871597
14,3.7,31.32647
15,2.8,30.220549
16,3.2,28.720795
17,3.2,34.687874
18,2.6,25.686182
19,3.3,35.022408
20,2.9,27.84481
21,2.6,29.405964
22,3.6,32.458645
23,3.2,38.82919
24,3.6,35.60882
25,3.1,37.667862
26,3.6,32.779057
27,2.6,32.547565
28,2.9,27.926855
29,3.1,32.608723
30,3.7,34.320778
31,3.1,35.30925
32,3.4,34.609127
33,3.1,29.83889
34,3.4,32.16061
35,2.9,32.347317
36,2.8,30.39168
37,2.7,28.415335
38,3.3,29.994654
39,3.4,33.713722
40,2.7,23.92804
41,2.9,26.644264
42,2.9,32.287323
43,3.7,30.54926
44,2.9,29.488775
45,3.3,30.283745
46,2.8,32.51956
47,3.0,27.406242
48,3.1,31.887886
49,2.8,29.881275
50,3.0,27.152931
51,2.5,28.525974
