,SELFESTEEM,0
0,2.7,27.54091
1,3.1,30.259315
2,3.2,34.6863
3,2.8,32.705395
4,3.5,30.71534
5,3.0,35.39526
6,2.4,20.008474
7,3.2,32.81051
8,3.2,37.011288
9,3.0,33.103775
10,1.9,29.738903
11,2.8,35.265694
12,2.6,31.02913
13,2.7,28.684114
14,2.5,30.078144
15,2.9,30.891256
16,3.4,30.461882
17,3.5,29.478813
18,3.5,33.456944
19,2.6,27.035467
20,2.3,25.187035
21,3.7,33.257328
22,3.0,28.077358
23,2.8,29.14748
24,2.6,26.548899
25,2.6,29.889866
26,3.4,28.926908
27,3.7,32.421646
28,3.1,24.710268
29,2.9,31.050098
30,2.9,31.190413
31,2.3,28.128588
32,3.7,35.971172
33,3.2,33.180904
34,2.7,29.71708
35,3.1,31.059986
36,3.4,34.956005
37,3.1,33.849876
38,3.2,34.31997
39,3.4,25.99889
40,2.9,32.187073
41,2.6,30.22688
42,3.5,36.25084
43,2.9,28.639294
44,3.7,37.08122
45,2.6,25.399952
46,2.8,26.919577
47,2.6,31.706312
48,2.8,32.885197
49,2.6,29.793201
50,3.5,32.10726
51,3.5,32.340023
52,2.4,20.74036
53,3.6,35.642597
54,3.3,36.48073
55,3.3,35.32785
56,2.7,33.27072
57,2.7,28.586529
58,3.4,33.647175
59,3.2,32.38603
60,3.2,36.07706
61,3.7,30.03983
62,3.1,28.418465
63,2.6,28.317383
64,3.5,35.852592
65,2.6,29.950844
66,2.3,27.438257
67,2.4,24.006699
68,2.6,30.859154
69,2.7,29.249075
70,3.2,27.333996
71,3.6,32.64533
72,2.3,28.889303
73,2.8,29.409328
74,3.4,31.833424
75,2.4,30.33967
76,3.0,33.022205
77,2.7,29.43021
78,2.0,23.490515
79,3.1,29.122305
80,2.6,30.750284
81,3.3,35.41707
82,3.6,33.289833
83,2.6,28.710485
84,3.2,30.036304
85,3.0,30.38602
86,2.9,32.961636
87,2.9,36.431335
88,2.8,33.27106
89,3.3,29.00772
90,3.4,31.869415
91,2.1,23.626251
92,3.0,25.306934
93,3.4,27.646729
94,3.1,33.66006
95,3.5,34.61648
96,2.6,31.969593
97,3.3,30.811745
98,2.6,28.49699
99,3.7,39.399193
100,2.8,32.506344
101,1.7,26.843334
102,2.5,29.56641
103,3.5,29.15994
104,2.6,29.784756
