,0,SEL
0,2.6855357,19.0
1,3.3175201,73.0
2,2.6669464,16.0
3,2.8329792,35.0
4,2.4694324,16.0
5,3.0772524,0.0
6,2.689461,7.0
7,2.7513406,56.0
8,2.3281434,5.0
9,3.7550108,51.0
10,3.8951392,66.0
11,2.4402888,14.0
12,2.6057463,59.0
13,2.2831843,21.0
14,2.563629,27.0
15,2.2357783,0.0
16,2.2421863,28.0
17,2.4171112,35.0
18,2.5415857,19.0
19,2.833216,45.0
20,2.813669,17.0
21,3.0750961,23.0
22,2.6704445,22.0
23,2.039786,27.0
24,2.562713,30.0
25,3.1789162,39.0
26,2.3761876,3.0
27,3.6327436,19.0
28,2.3031015,44.0
29,3.8070066,52.0
