,0,SEL
0,2.14906,4.0
1,1.8053408,2.0
2,2.092973,34.0
3,2.9513698,34.0
4,3.6865861,49.0
5,2.9468153,38.0
6,3.262123,58.0
7,2.1867645,7.0
8,2.7760613,31.0
9,3.9222195,58.0
10,2.170978,45.0
11,2.2625058,21.0
12,2.0670745,6.0
13,2.367945,12.0
14,3.0167902,46.0
15,2.2052708,27.0
16,2.7950897,24.0
17,3.4084501,47.0
18,3.5587397,25.0
19,3.184975,25.0
20,3.0928962,17.0
21,2.9789011,30.0
22,3.4315224,14.0
23,2.6952775,27.0
24,2.8016555,13.0
25,2.6833656,65.0
26,2.8601768,8.0
27,2.1536891,18.0
28,2.780845,31.0
29,3.5855947,36.0
