,SEPARATION_INSECURITY,0
0,2.25,29.284018
1,1.75,27.003782
2,0.0,20.828959
3,0.0,22.677704
4,0.5,26.218687
5,2.5,25.761393
6,2.5,30.613628
7,1.25,22.469776
8,0.0,22.618156
9,1.0,24.256027
10,0.0,28.59024
11,2.25,22.477089
12,0.75,22.581234
13,0.75,20.888603
14,0.25,26.094004
15,1.75,25.771864
16,0.0,21.89711
17,0.0,25.416735
18,0.0,18.58465
19,2.0,28.141146
20,0.25,27.147476
21,2.25,25.382471
22,0.0,15.865947
23,3.0,29.747324
24,1.0,24.567265
25,1.0,25.510315
26,1.25,27.931099
27,0.5,27.11827
28,1.25,25.317337
29,1.0,22.50976
30,0.0,26.211107
31,0.0,16.412474
32,1.0,20.551903
33,1.5,25.908524
34,1.5,25.040192
35,0.5,24.37972
36,0.75,24.439674
37,0.25,24.832619
38,0.25,21.703392
39,2.0,27.17159
40,0.0,20.22489
41,1.25,25.18609
42,1.0,28.195461
43,0.5,25.197327
44,1.25,23.303885
45,0.75,21.954391
46,0.75,27.892155
47,2.5,31.28289
48,0.0,20.981934
49,0.75,24.381588
50,1.5,21.285128
51,1.0,24.794786
