,SEPARATION_INSECURITY,0
0,0.75,26.001743
1,0.75,15.821894
2,1.0,21.462566
3,0.75,25.363554
4,2.25,29.004686
5,0.0,26.934038
6,1.5,28.310059
7,1.5,27.548159
8,0.0,25.072117
9,0.5,29.466518
10,0.25,22.236376
11,1.0,19.547445
12,0.75,20.87056
13,2.5,29.954748
14,3.0,29.05713
15,1.25,25.185349
16,1.25,21.73114
17,0.0,23.817442
18,0.25,21.411774
19,0.5,22.553099
20,2.25,31.820595
21,0.0,22.876102
22,0.25,26.109224
23,0.0,21.14738
24,1.25,21.821321
25,0.0,23.602968
26,0.0,23.094204
27,1.25,23.088032
28,0.5,23.111282
29,2.0,28.283384
30,0.5,27.391104
31,1.0,22.672432
32,0.0,16.199986
33,1.0,25.066507
34,0.0,17.478468
35,1.75,26.2835
36,0.5,26.633339
37,0.25,23.522907
38,1.75,24.648123
39,0.5,21.815645
40,0.5,26.709282
41,0.5,23.522335
42,0.25,20.937769
43,1.5,27.263847
44,0.5,27.11469
45,1.5,22.168104
46,1.0,25.633698
47,0.5,28.804335
48,0.0,21.914684
49,1.5,24.797356
50,0.75,28.130167
51,0.0,17.144016
52,0.25,26.0842
53,1.25,26.72988
54,2.0,27.391617
55,0.0,24.65898
56,0.75,24.173946
57,1.0,27.000906
58,0.0,17.858702
59,0.0,24.345161
60,1.5,26.56275
61,1.75,30.4926
62,0.0,24.228918
63,1.0,26.34288
64,0.5,23.883991
65,0.75,24.411968
66,1.5,27.543058
67,0.25,26.487667
68,0.5,23.477234
69,1.0,19.735859
70,0.0,21.658783
71,1.25,28.722473
72,0.0,25.09259
73,1.75,24.112053
74,1.0,23.499878
75,1.5,33.289013
76,1.75,26.728085
77,0.0,26.167305
78,2.0,25.230438
79,0.0,22.911655
80,0.25,25.688313
81,0.0,23.255028
82,2.25,28.585985
83,0.0,23.77387
84,1.75,19.985195
85,0.25,19.200804
86,1.25,32.756393
87,0.0,23.254673
88,1.25,22.505604
89,0.0,20.144287
90,0.0,21.436543
91,2.25,30.717981
92,0.0,23.403643
93,0.0,23.195284
94,0.5,26.03322
95,0.25,23.436037
96,1.5,24.611172
97,1.0,25.641014
98,2.25,24.986732
99,0.25,22.95741
100,0.75,24.638594
101,1.5,29.168837
102,0.75,27.315977
103,0.5,23.725327
104,0.0,18.146973
105,0.25,21.292828
106,0.5,22.002712
107,1.0,30.441668
108,0.25,28.236706
109,0.25,23.39645
110,2.5,31.605625
111,1.0,24.12793
112,3.0,29.568846
113,0.75,21.875452
114,0.0,21.466522
115,1.0,21.765076
116,0.0,24.630278
117,1.0,27.107685
118,1.75,23.133213
119,1.5,24.48478
120,1.75,29.612791
121,0.75,26.74681
122,2.0,28.293377
123,0.0,24.8331
124,2.75,29.60707
125,0.0,24.122812
126,1.0,26.366772
127,0.0,23.169281
128,1.75,29.488674
129,0.0,19.743076
130,0.0,22.49283
131,0.75,26.363611
132,1.75,28.345974
133,1.5,26.34436
134,2.5,27.208065
135,2.25,23.053085
136,1.5,28.196362
137,2.75,28.787771
138,0.5,23.464924
139,1.25,22.187784
140,1.0,25.86954
141,0.0,29.622911
142,0.75,23.198715
143,0.0,19.440722
144,1.5,24.469374
145,0.75,28.461285
146,0.25,28.099148
147,0.0,29.484293
148,1.0,19.101715
