,SEPARATION_INSECURITY,0
0,1.75,29.95087
1,0.0,21.983335
2,0.25,25.043793
3,0.0,22.576149
4,0.0,26.496368
5,0.0,20.562885
6,1.25,27.05633
7,0.75,26.07417
8,0.25,18.901558
9,2.0,26.08342
10,0.75,19.086336
11,1.25,26.689857
12,1.75,22.174574
13,0.5,23.283714
14,0.0,20.031708
15,0.5,23.078396
16,1.25,25.2183
17,0.0,26.495312
18,2.0,27.953876
19,1.0,24.226845
20,1.5,30.93211
21,2.0,24.515162
22,0.75,27.597816
23,0.5,22.025803
24,1.0,27.426401
25,1.75,31.509075
26,1.75,24.910616
27,0.0,22.062126
28,0.75,17.85413
29,1.5,24.732937
30,2.25,25.249111
31,1.5,25.202032
32,1.5,24.238384
33,0.0,21.962296
34,1.0,27.816288
35,1.25,25.025463
36,0.75,21.870178
37,0.5,18.75047
38,0.75,25.863169
39,0.25,23.135872
40,1.5,25.266811
41,0.0,18.23253
42,2.25,23.848717
43,0.5,22.445086
44,3.0,30.333096
45,1.0,20.753736
46,2.25,29.727161
47,2.0,29.211458
48,0.5,23.524935
49,1.75,26.171139
50,1.5,19.349833
51,1.5,23.930418
52,1.75,27.623941
