,0,SEV
0,0.076111555,13.0
1,0.6564774,25.0
2,0.032914817,13.0
3,0.81390053,10.0
4,0.49799806,46.0
5,0.7024038,44.0
6,0.36085302,52.0
7,0.048307657,11.0
8,1.1726912,64.0
9,0.0,16.0
10,0.058133394,14.0
11,0.8719573,84.0
12,0.4986719,15.0
13,0.5838876,15.0
14,0.1747961,19.0
15,0.30776227,10.0
16,0.45580208,65.0
17,0.53678507,11.0
18,0.40946355,17.0
19,0.6294596,24.0
20,1.3356663,56.0
21,0.53456074,61.0
22,0.29519397,19.0
23,0.12764543,32.0
24,0.06171781,12.0
25,0.47589582,73.0
26,0.86780584,85.0
27,0.75690746,61.0
28,0.25461,79.0
29,0.2640311,43.0
