,0,SEV
0,0.0,22.0
1,0.21740139,0.0
2,0.07051885,11.0
3,0.6231216,70.0
4,0.7032633,85.0
5,0.9758208,95.0
6,0.02031517,15.0
7,0.84407383,11.0
8,0.13594592,29.0
9,0.20403439,12.0
10,0.7148979,85.0
11,0.13073742,16.0
12,1.0762321,79.0
13,0.3530234,43.0
14,0.35867143,19.0
15,0.86184764,11.0
16,0.4196586,64.0
17,0.611886,20.0
18,0.47473425,13.0
19,0.04354018,11.0
20,0.6282394,96.0
21,0.31836438,13.0
22,0.021927893,37.0
23,0.25547573,63.0
24,0.92054546,13.0
25,0.16960102,29.0
26,0.64556015,11.0
27,0.073416114,11.0
28,0.0,6.0
29,0.90180194,13.0
30,0.26185548,29.0
31,0.15350455,80.0
32,0.57920724,87.0
33,0.0023209455,10.0
34,0.2707913,19.0
35,0.90717465,80.0
36,0.0,16.0
37,0.69536775,82.0
38,0.3899718,33.0
39,0.066141486,29.0
40,0.54154587,38.0
41,0.45714718,80.0
42,1.1181198,96.0
43,0.67441595,40.0
44,0.0,12.0
45,0.36509442,61.0
46,0.46846598,67.0
47,0.70740986,63.0
48,0.45168,72.0
49,0.46274376,53.0
50,0.39515644,43.0
51,0.50557524,83.0
52,0.22661161,91.0
53,0.0,15.0
54,0.4455117,90.0
55,0.22331637,11.0
56,0.3337828,32.0
57,0.6954231,40.0
58,0.8467484,94.0
59,0.25688088,10.0
60,0.3520167,4.0
61,0.2610032,20.0
62,0.37804762,11.0
63,0.30534047,77.0
64,0.56508255,12.0
65,0.23656124,11.0
66,0.05269438,41.0
67,0.06535441,52.0
68,0.06344044,89.0
69,0.26859397,52.0
70,0.31002992,49.0
71,0.30036193,39.0
72,0.2913835,14.0
73,0.0,22.0
74,0.23689592,1.0
75,0.23777723,17.0
76,1.0892426,68.0
77,0.47149405,10.0
78,0.1124419,16.0
79,0.3158189,17.0
80,0.80915886,29.0
81,0.29158765,15.0
82,0.29002517,70.0
83,0.55211896,10.0
84,0.16899735,90.0
85,0.44894367,10.0
86,0.008012652,10.0
87,0.0,72.0
88,0.5333534,13.0
89,0.94897443,73.0
90,0.0,12.0
91,0.53646797,71.0
92,0.08431691,65.0
93,0.91328424,75.0
94,0.7313406,69.0
95,0.37497956,36.0
96,0.92147756,11.0
97,1.0600713,30.0
98,0.38220912,11.0
99,0.5291745,38.0
100,0.5415793,11.0
101,0.4222527,24.0
102,0.13683659,99.0
103,0.21017039,11.0
104,0.4655198,57.0
105,0.12810409,62.0
106,0.35173675,39.0
107,0.7947768,97.0
108,0.72396725,10.0
109,0.0633173,31.0
110,0.3896798,74.0
111,0.3018021,21.0
112,0.33349663,13.0
113,0.38796705,62.0
114,0.63641685,10.0
115,0.07726288,23.0
116,0.0,14.0
117,0.088534415,11.0
118,0.37040478,24.0
119,0.64490664,12.0
120,0.0,85.0
121,0.36504084,11.0
122,0.5995969,68.0
123,0.28108835,11.0
124,0.0,16.0
125,0.5100404,63.0
126,0.64058244,69.0
127,0.49507844,25.0
128,0.37070626,13.0
129,0.4576409,11.0
130,0.303438,10.0
131,0.0,25.0
132,0.32270962,87.0
133,0.21586442,97.0
134,0.27300996,20.0
135,0.55784106,74.0
136,0.1814329,14.0
137,0.0,11.0
138,0.26007283,13.0
139,0.5828018,75.0
140,0.85613614,74.0
141,1.0319967,36.0
142,0.23856133,94.0
143,0.10610998,11.0
144,0.3103323,24.0
145,0.08776754,11.0
146,0.3881086,17.0
147,0.19377062,16.0
148,0.19541869,9.0
149,0.0,10.0
150,0.55566883,35.0
151,0.45011187,13.0
152,0.38453472,83.0
153,0.31866223,22.0
154,0.6063113,67.0
155,0.0,10.0
156,0.15177876,83.0
157,0.940763,55.0
158,0.6247097,14.0
159,0.63562185,75.0
160,0.27180636,98.0
161,0.36199385,11.0
162,0.6054613,52.0
163,0.7304119,46.0
164,0.26189244,21.0
165,0.5947051,37.0
166,0.38603938,59.0
167,0.17595679,85.0
168,0.22104949,13.0
169,0.0148999095,13.0
170,0.48728895,92.0
171,0.3540784,13.0
172,0.0,12.0
173,0.55200034,23.0
174,0.0,15.0
175,0.6314113,45.0
176,0.26134926,44.0
177,0.81709343,79.0
178,0.4252636,58.0
179,0.7136871,10.0
180,0.4504907,12.0
181,0.6070963,71.0
182,0.4986819,33.0
183,0.3184445,14.0
184,0.55761683,12.0
185,0.0,99.0
186,0.61883324,78.0
187,0.51328385,17.0
188,0.58562917,62.0
189,0.7022447,67.0
190,0.12699074,37.0
191,0.45396388,34.0
192,0.18116713,34.0
193,0.47764498,54.0
194,0.49906564,10.0
195,0.68557745,87.0
196,0.12875706,99.0
197,0.8270195,74.0
198,0.03657052,7.0
199,0.7639982,73.0
200,0.17501402,11.0
201,0.87602234,11.0
202,0.59482765,47.0
203,0.3528086,37.0
204,0.0,20.0
205,0.5676233,41.0
206,0.0,15.0
207,0.014296532,20.0
208,0.7433292,75.0
209,0.0,10.0
210,0.41971368,89.0
211,0.31559283,41.0
212,0.5318397,54.0
213,0.44484693,15.0
214,0.0,17.0
215,0.34154618,14.0
216,0.6555635,16.0
217,0.06497955,15.0
218,0.3732019,40.0
219,0.5353246,91.0
220,0.6105766,88.0
221,1.1815444,92.0
222,0.6552921,60.0
223,0.46975935,10.0
224,0.16000056,13.0
225,0.19028127,3.0
226,0.6576724,95.0
227,0.0,11.0
228,0.033545613,16.0
229,0.17957824,2.0
230,0.4654013,40.0
231,0.23971564,10.0
232,0.0,43.0
233,0.6443562,30.0
234,0.27300566,19.0
235,0.19288498,16.0
