,0,SEV
0,0.38197702,93.0
1,0.9421854,81.0
2,0.29068977,59.0
3,0.0,82.0
4,0.10314274,14.0
5,0.10169691,13.0
6,0.89680547,62.0
7,0.3329726,70.0
8,0.70800185,49.0
9,0.08587894,11.0
10,1.0224113,38.0
11,0.08473879,18.0
12,0.24221194,99.0
13,0.36113483,13.0
14,0.64148974,71.0
15,0.36920112,11.0
16,0.52317125,73.0
17,0.7665008,69.0
18,0.0988695,14.0
19,0.24553257,15.0
20,0.9882924,97.0
21,0.91928226,78.0
22,0.5725193,12.0
23,0.6532638,35.0
24,0.22635275,30.0
25,0.31166643,92.0
26,0.27602673,40.0
27,1.1317078,93.0
28,0.47933447,12.0
29,0.62782407,12.0
