,SOC_SK,0
0,60.33333333,58.602417
1,57.0,46.64229
2,44.0,50.33565
3,46.0,45.13969
4,48.0,48.086617
5,35.125,49.556656
6,37.0,56.38247
7,42.0,45.09472
8,30.0,49.343994
9,56.0,49.744072
10,63.0,59.70925
11,49.0,47.47495
12,71.0,51.920486
13,54.0,50.819412
14,49.0,50.611416
15,44.0,47.393597
16,62.0,56.845383
17,54.0,49.661472
18,25.33333333,44.608315
19,44.0,48.943207
20,65.0,53.709335
21,40.75,48.460125
22,46.0,45.987835
23,57.0,52.043907
24,61.0,55.044487
25,51.0,50.032043
26,48.0,49.047028
27,56.375,49.449173
28,36.0,42.9027
29,48.5,52.565323
30,50.0,47.41897
31,41.0,48.213505
32,54.0,54.57031
33,64.0,47.633957
34,46.0,51.16293
35,40.0,46.121284
36,59.0,56.1733
37,39.375,42.551712
38,60.0,66.64912
39,55.0,51.61971
40,25.66666667,40.18825
41,33.0,41.360233
42,24.66666667,48.913704
43,41.25,47.387115
44,63.0,52.85492
45,38.0,45.686127
46,58.0,54.9599
47,52.0,52.030144
48,48.5,51.567604
49,47.0,48.566402
50,60.0,51.831768
51,54.0,44.822014
52,33.0,45.90143
53,61.0,63.77387
54,63.0,61.44966
