,SOC_SK,0
0,44.0,49.05568
1,39.0,46.330933
2,55.66666667,52.53585
3,56.0,62.4444
4,45.25,48.479725
5,36.0,49.991955
6,42.29166667,47.983128
7,50.0,54.98223
8,64.0,61.29554
9,66.0,59.1656
10,49.0,52.83268
11,43.0,49.017307
12,50.0,50.686874
13,46.0,51.742653
14,59.0,56.191277
15,58.0,47.012123
16,58.0,43.928207
17,54.0,50.71882
18,42.0,45.92897
19,56.0,46.335266
20,58.0,52.88523
21,62.5,57.832184
22,47.0,49.24717
23,33.33333333,53.318657
24,46.0,49.691784
25,40.0,56.11705
26,42.0,42.477383
27,66.0,55.036766
28,57.0,53.365337
29,56.0,52.869434
30,35.0,45.620674
31,50.0,52.039333
32,49.0,50.434242
33,41.0,46.24472
34,50.0,49.875454
35,47.0,51.56502
36,33.45833333,41.760162
37,30.0,55.2264
38,68.0,53.288822
39,48.0,54.518547
40,53.0,52.03377
41,49.0,54.302174
42,39.83333333,43.63903
43,64.0,55.243702
44,39.0,54.59075
45,50.66666667,47.823833
46,52.0,56.856594
47,40.0,49.306877
48,51.0,51.647976
49,48.5,51.99275
50,48.66666667,49.707405
51,35.5,47.861313
52,41.0,50.018646
53,35.5,53.401314
54,63.0,58.808277
55,50.0,49.178013
56,58.0,53.221485
57,45.25,51.363506
58,42.0,58.703392
59,33.0,47.105667
60,51.0,60.594234
61,60.0,55.353832
62,41.66666667,48.609848
63,65.0,52.71203
64,41.5,47.95866
65,56.0,54.477737
66,32.0,39.449413
67,58.0,53.110844
68,44.0,47.735634
69,53.33333333,50.074974
70,55.0,53.19349
71,49.0,49.19638
72,56.0,54.761787
73,56.0,53.891727
74,63.0,61.400013
75,58.0,54.602306
76,68.0,55.246243
77,63.0,49.63475
78,31.16666667,54.060474
79,43.0,55.59114
80,42.0,43.2632
81,55.66666667,54.519405
82,59.0,56.695606
83,42.0,52.36859
84,41.0,42.579834
85,49.0,50.521774
86,35.0,50.19429
87,36.0,39.054203
88,41.0,45.946144
89,31.16666667,50.460785
90,51.0,57.286926
91,39.0,46.015045
92,41.0,51.135765
93,49.0,53.802933
94,65.0,55.62404
95,62.0,51.585537
96,36.25,43.268997
97,40.75,51.012577
98,47.0,47.10953
99,68.0,53.465652
100,54.0,53.750996
101,56.0,49.739628
102,59.0,54.007717
103,44.0,48.22863
104,51.0,53.659046
105,33.0,48.854733
106,44.0,52.814667
107,43.625,47.94688
108,56.0,57.777218
109,62.0,55.595104
110,50.0,52.10384
111,58.0,47.213398
112,58.0,52.091156
113,67.0,61.43763
114,29.0,39.893982
115,57.0,50.98534
116,57.0,52.478985
117,47.5,50.789455
118,58.0,48.21202
119,27.0,48.017044
120,46.33333333,45.67126
121,65.0,57.51589
122,36.0,45.393715
123,63.0,62.38533
124,55.0,55.00097
125,58.25,55.519676
126,49.0,50.38902
127,38.0,46.697407
128,38.0,47.486603
129,46.0,51.0631
130,43.375,50.50265
131,40.0,48.742165
132,46.0,41.7645
133,67.0,50.651424
134,43.0,47.22876
135,62.0,57.012207
136,45.25,50.469135
137,31.75,47.537113
138,56.0,52.852577
139,71.0,48.095444
140,52.125,53.39812
141,40.0,46.52574
142,56.0,50.017166
143,51.0,53.354897
144,57.0,49.29639
145,56.0,46.632526
146,51.0,50.268585
147,41.0,46.322582
148,60.0,58.031487
149,40.0,43.431614
150,65.0,55.018482
151,25.0,54.45615
152,50.66666667,51.839325
153,59.33333333,57.07874
154,50.0,52.18453
155,67.33333333,62.27358
156,46.33333333,54.990135
157,57.0,54.56799
158,45.0,45.7332
159,50.0,56.55316
160,46.66666667,51.85498
161,44.0,50.129166
162,69.0,44.01447
163,50.0,47.973587
164,52.83333333,51.751137
165,49.0,56.895535
166,60.0,46.216484
167,58.5,63.63753
168,33.0,40.933266
169,51.0,49.299904
170,44.0,47.08891
171,36.0,44.003017
172,33.0,40.724167
173,53.33333333,50.086555
174,67.0,54.108467
175,47.625,46.36677
176,41.0,49.827354
177,46.0,48.7205
178,43.0,52.709053
179,49.0,50.373596
180,49.0,43.765488
181,53.0,51.68963
182,40.0,48.669968
183,54.0,55.657547
184,68.0,51.26929
185,50.66666667,47.979057
186,69.0,53.994015
187,23.0,48.280804
188,54.0,54.45142
189,52.0,48.007854
190,65.0,50.017036
191,43.0,46.43012
192,40.0,40.410534
193,50.66666667,55.787773
194,44.0,45.964417
195,39.0,43.890083
196,44.16666667,44.83139
197,42.0,51.02893
198,58.0,58.805954
199,63.0,51.751415
200,39.0,49.12767
201,44.16666667,44.618805
202,42.0,53.082306
203,29.5,52.13188
204,37.0,45.65603
205,33.33333333,46.675175
206,45.0,45.686066
207,42.0,56.254074
208,65.0,50.933662
209,41.25,54.133797
210,69.0,54.07531
211,42.0,52.97019
212,37.0,41.679874
213,46.0,52.45512
214,65.0,59.003742
215,54.0,57.633335
216,59.0,55.69301
217,55.0,50.180225
218,54.0,52.532898
219,47.0,56.063953
220,35.0,49.652622
221,63.0,51.104065
222,33.0,46.43927
223,40.75,48.90602
224,44.0,47.54637
225,63.0,42.160145
226,40.0,44.584408
227,42.0,49.909378
228,27.0,35.352966
229,62.0,54.08541
230,47.875,44.8816
231,57.0,51.845066
232,54.0,53.74183
233,71.0,62.229996
234,57.0,57.703987
235,72.0,44.229034
236,36.0,43.042854
237,42.0,43.193573
238,61.0,58.438576
239,35.0,51.54509
240,41.0,53.47973
241,68.0,49.74574
242,44.16666667,48.026306
243,40.0,44.523678
244,56.5,59.04368
245,27.0,42.58964
246,39.0,48.425323
247,42.0,51.249268
248,42.0,49.743053
249,39.0,48.737747
250,65.0,59.649094
251,62.5,57.767406
252,55.0,55.399918
253,45.0,47.849995
254,56.0,52.75758
255,60.0,62.03663
256,58.0,54.393143
257,70.0,58.035206
258,50.0,50.69956
259,63.0,58.906433
260,35.0,44.331604
261,48.0,55.21464
262,37.0,48.66135
263,25.33333333,45.882088
