,SOM,0
0,100.0,57.478848
1,65.0,53.229275
2,45.0,68.24183
3,25.0,49.06208
4,40.0,53.0231
5,25.0,42.485626
6,100.0,64.96515
7,25.0,48.23569
8,40.0,53.328842
9,60.0,62.618534
10,5.0,38.968887
11,5.0,51.31444
12,45.0,60.282574
13,60.0,67.40876
14,30.0,58.35614
15,25.0,53.710403
16,45.0,49.181393
17,5.0,73.24585
18,5.0,50.19972
19,30.0,50.418907
20,95.0,66.07684
21,40.0,49.847404
22,45.0,49.84457
23,5.0,45.700684
24,60.0,65.20371
25,5.0,52.751663
26,65.0,54.81137
27,95.0,68.064354
28,5.0,33.770958
29,25.0,41.071514
30,5.0,41.4069
31,45.0,50.78447
32,5.0,60.327904
33,75.0,55.22
34,100.0,71.56956
35,40.0,54.138313
36,95.0,66.556145
37,5.0,50.89528
38,75.0,50.985542
39,65.0,54.99976
40,65.0,68.95452
41,95.0,68.79452
42,40.0,60.227825
43,65.0,68.97564
44,25.0,47.20422
45,60.0,56.426846
46,75.0,59.98466
47,5.0,59.38376
48,5.0,54.27622
49,75.0,47.818066
50,60.0,44.93265
51,5.0,54.346916
52,45.0,47.037518
53,45.0,52.25544
54,5.0,46.37962
55,5.0,47.54476
56,45.0,58.13983
57,5.0,51.007732
58,95.0,69.79002
59,100.0,59.144722
60,5.0,37.369034
61,65.0,59.261326
62,5.0,50.82054
63,5.0,55.79175
64,85.0,67.498146
65,75.0,51.185112
66,30.0,64.22356
67,5.0,54.704395
68,5.0,56.72556
69,85.0,51.675907
70,5.0,57.95716
71,95.0,50.63171
72,95.0,74.50275
73,5.0,37.377506
74,95.0,42.4476
75,75.0,54.211166
76,75.0,79.12072
77,65.0,42.074654
78,30.0,56.47069
79,40.0,69.33643
80,75.0,61.741318
81,75.0,60.311047
82,25.0,53.887802
83,25.0,56.186707
84,85.0,56.801315
85,5.0,56.256367
86,75.0,48.052433
87,75.0,54.183918
88,95.0,65.28182
89,45.0,45.146534
90,5.0,42.798157
91,95.0,66.760284
92,30.0,44.716618
93,25.0,32.68332
94,95.0,49.69946
95,25.0,42.562298
96,5.0,32.165043
97,90.0,54.436913
98,95.0,64.26738
99,85.0,59.449444
100,45.0,59.077847
101,75.0,58.41136
102,5.0,49.675224
103,60.0,51.144356
104,100.0,73.54518
105,40.0,46.21032
106,100.0,60.22485
107,45.0,45.82472
108,60.0,47.564392
109,25.0,48.09661
110,40.0,41.93595
111,60.0,59.338135
112,60.0,63.419098
113,95.0,62.423515
114,95.0,42.38283
115,45.0,60.85711
116,5.0,19.756315
117,60.0,61.78447
118,90.0,50.14871
119,5.0,55.018143
120,75.0,59.704327
121,85.0,52.817295
122,45.0,41.421963
123,95.0,47.596375
124,75.0,53.629753
125,75.0,46.206177
126,85.0,61.017437
127,5.0,52.457928
128,5.0,56.579876
129,5.0,26.85025
130,75.0,77.96152
131,25.0,43.411995
132,60.0,63.733406
133,75.0,66.11212
134,25.0,50.496674
135,45.0,45.034782
136,75.0,69.87608
137,75.0,55.396965
138,5.0,47.047657
139,40.0,62.11394
140,75.0,55.858818
141,75.0,55.83071
142,95.0,61.752254
143,5.0,56.971233
144,90.0,54.632374
145,5.0,49.088753
146,75.0,60.45969
147,100.0,61.58077
148,5.0,36.19475
149,60.0,63.781208
150,85.0,64.99516
151,5.0,49.05056
152,25.0,48.72216
153,45.0,64.48553
154,25.0,49.64576
155,40.0,62.072308
156,60.0,64.48508
157,25.0,45.220146
158,75.0,40.298283
159,30.0,56.709206
160,45.0,51.35454
161,75.0,65.38964
162,5.0,45.733143
163,75.0,64.216324
164,40.0,69.41116
165,60.0,54.635166
166,5.0,52.64822
167,5.0,47.132896
168,40.0,50.87749
169,85.0,61.352325
170,45.0,55.708138
171,40.0,42.212837
172,95.0,52.15952
173,75.0,59.32326
174,25.0,44.120075
175,45.0,64.64279
176,100.0,48.213554
177,60.0,60.078907
178,75.0,78.38613
179,60.0,64.121
180,65.0,60.77933
181,5.0,52.381405
182,75.0,75.436806
183,95.0,53.28266
184,95.0,54.997963
185,45.0,49.22646
186,40.0,41.261368
187,85.0,60.476387
188,90.0,54.60388
189,90.0,57.58769
190,100.0,47.070274
191,25.0,48.245125
192,5.0,57.433853
193,100.0,65.69857
194,5.0,29.949692
195,65.0,56.855312
196,5.0,48.934937
197,75.0,67.82993
198,100.0,68.27744
199,40.0,56.51372
200,5.0,47.29495
201,5.0,60.080975
202,25.0,38.061073
203,95.0,57.692863
204,5.0,64.87851
205,5.0,52.380398
206,75.0,52.67943
207,30.0,55.574654
208,60.0,64.212395
209,75.0,68.52817
210,5.0,57.99975
211,85.0,32.09047
212,25.0,35.567146
213,30.0,52.77395
214,75.0,57.951622
215,100.0,63.748367
216,45.0,50.315895
217,75.0,52.281624
218,60.0,67.917854
219,40.0,43.06498
220,5.0,57.210953
221,95.0,61.417336
222,100.0,60.833763
223,5.0,49.697327
224,75.0,62.54808
225,100.0,62.96058
226,5.0,50.00774
227,5.0,47.629795
228,5.0,50.889133
229,30.0,57.239902
230,5.0,59.76474
231,60.0,57.486435
232,5.0,64.29971
233,25.0,63.666473
234,30.0,53.267246
235,5.0,47.137352
236,100.0,63.421036
237,100.0,74.03048
238,85.0,73.16003
239,85.0,58.889046
240,75.0,57.363037
241,25.0,43.210873
242,25.0,38.879654
243,25.0,44.077263
244,60.0,49.572464
245,25.0,62.706764
246,40.0,49.98677
247,75.0,62.311607
248,40.0,52.28476
249,75.0,44.368626
250,75.0,65.69195
251,75.0,62.397724
252,45.0,52.664417
253,95.0,62.545765
254,60.0,63.080723
255,60.0,45.30917
256,5.0,39.75449
257,5.0,37.829117
258,75.0,64.1093
259,100.0,50.155994
260,5.0,27.992054
261,25.0,47.06191
262,95.0,63.744926
263,5.0,40.530903
264,5.0,52.640255
265,25.0,74.11288
266,5.0,55.826553
267,40.0,62.537964
268,100.0,61.821083
269,85.0,50.23749
270,30.0,41.22121
271,75.0,54.405167
272,5.0,56.47786
273,40.0,54.48769
274,85.0,60.5094
275,100.0,56.579
276,95.0,56.207092
277,25.0,72.05398
278,40.0,54.873974
279,75.0,65.15032
280,65.0,54.20491
281,75.0,59.403492
282,100.0,69.07378
283,30.0,49.0365
284,75.0,53.34899
285,75.0,52.425854
286,5.0,47.253517
287,60.0,68.38383
288,25.0,53.125175
289,75.0,66.05243
290,5.0,57.675262
291,5.0,54.576096
292,25.0,47.68559
293,75.0,60.105537
294,45.0,47.25035
295,90.0,49.768333
296,25.0,59.635326
297,95.0,77.82631
298,30.0,53.61657
299,100.0,58.348404
300,85.0,53.19259
301,45.0,51.08811
302,5.0,49.20715
303,5.0,49.439056
304,60.0,52.391777
305,85.0,64.890686
306,75.0,58.826588
307,60.0,63.33178
308,85.0,66.19733
309,100.0,66.08151
310,45.0,55.663727
311,85.0,48.148937
312,75.0,71.77114
313,85.0,52.07005
314,5.0,69.166626
315,90.0,55.620476
316,5.0,43.18234
317,85.0,58.998627
318,40.0,47.636574
319,5.0,51.053585
320,75.0,63.446037
321,40.0,63.395958
322,25.0,40.16059
323,5.0,51.469208
324,45.0,48.592506
325,25.0,47.72514
326,85.0,61.072765
327,75.0,77.70453
328,95.0,50.447796
329,5.0,44.247158
330,90.0,54.4111
331,25.0,61.899364
332,100.0,56.66741
333,75.0,56.788986
334,85.0,56.803265
335,40.0,46.240177
336,40.0,63.55168
337,5.0,49.655514
338,45.0,51.39904
339,5.0,58.472206
340,90.0,57.146152
341,30.0,51.268085
342,45.0,62.94174
343,100.0,45.040577
344,40.0,42.96214
345,90.0,61.72336
346,85.0,55.7807
347,45.0,47.403484
348,25.0,55.147514
349,85.0,56.481567
350,45.0,60.178726
351,25.0,21.618362
352,5.0,57.61225
353,25.0,52.813408
354,5.0,49.727226
355,95.0,84.06109
356,85.0,58.348694
357,85.0,50.89867
358,25.0,59.627483
359,60.0,62.367355
360,25.0,48.750675
361,60.0,65.436676
362,60.0,57.793617
363,60.0,63.609634
364,60.0,65.58067
365,40.0,51.856064
366,95.0,57.27176
367,5.0,56.82074
368,95.0,52.144764
369,60.0,41.616623
370,5.0,60.030148
371,25.0,62.033165
372,75.0,57.51523
373,40.0,47.831356
374,40.0,46.20992
375,5.0,53.046207
376,5.0,51.624325
377,100.0,57.352554
378,65.0,56.082397
379,60.0,58.46058
380,25.0,49.038643
381,95.0,65.09659
382,45.0,58.339306
383,95.0,62.456226
384,5.0,63.1808
385,60.0,63.861343
386,75.0,64.98666
387,5.0,49.7507
388,40.0,63.523262
389,45.0,47.493248
390,75.0,53.744324
391,60.0,66.75442
392,100.0,47.885696
393,60.0,58.53349
394,30.0,49.709606
395,100.0,59.496193
396,25.0,52.071587
397,75.0,68.27105
398,45.0,42.479534
399,60.0,66.07349
400,95.0,48.793118
401,5.0,49.99838
402,65.0,45.7989
403,40.0,43.328705
404,85.0,32.968037
405,45.0,48.80542
406,65.0,59.188503
407,30.0,57.55405
408,5.0,32.47926
409,100.0,58.24525
410,85.0,73.40429
411,5.0,36.737534
412,5.0,36.715324
413,40.0,38.88556
414,75.0,55.351868
415,40.0,56.646694
416,5.0,37.34345
417,5.0,53.155193
418,100.0,65.27438
419,45.0,45.59898
420,60.0,61.14586
421,25.0,54.24236
422,90.0,56.577045
423,40.0,62.496326
424,30.0,52.6913
425,5.0,44.61869
426,5.0,47.23515
427,30.0,50.723312
428,85.0,57.54232
429,45.0,44.70908
430,75.0,66.550964
431,95.0,64.28322
432,75.0,71.47092
433,100.0,42.279457
434,60.0,52.315624
435,5.0,44.447594
436,85.0,46.78607
437,45.0,49.893887
438,60.0,61.628254
439,25.0,61.060116
440,100.0,62.620953
441,60.0,64.236145
442,5.0,47.664383
443,5.0,47.18964
444,25.0,51.347237
445,5.0,45.864517
446,5.0,54.029068
447,75.0,42.40719
448,60.0,53.154007
449,65.0,54.283623
450,90.0,55.466663
451,40.0,55.7291
452,75.0,80.799065
453,5.0,69.02019
454,40.0,43.429333
455,60.0,55.183308
456,60.0,55.39661
457,85.0,62.797028
458,25.0,63.262722
459,5.0,53.257996
460,75.0,60.64169
461,5.0,42.388252
462,5.0,45.482113
463,85.0,73.74366
464,40.0,47.59134
465,40.0,46.72969
466,40.0,52.33413
467,45.0,51.693752
468,5.0,42.513836
469,5.0,60.311375
470,40.0,45.33385
471,95.0,62.903946
472,25.0,53.95672
473,95.0,57.250893
474,5.0,46.4199
475,40.0,55.896343
476,60.0,56.91833
477,95.0,58.822216
478,60.0,46.999374
479,90.0,53.500145
480,5.0,66.58412
481,45.0,58.25909
482,60.0,67.001366
483,100.0,65.40785
484,90.0,54.150417
485,75.0,51.239815
486,5.0,59.977562
487,25.0,49.118504
488,5.0,53.96022
489,30.0,58.392525
490,100.0,62.381428
491,60.0,58.331566
492,5.0,55.266262
493,100.0,56.03927
494,5.0,44.478333
