,SOM,0
0,5.0,47.20626
1,85.0,54.726883
2,5.0,31.58496
3,95.0,54.090534
4,5.0,57.73329
5,75.0,66.6633
6,5.0,32.286995
7,5.0,57.397243
8,60.0,61.78594
9,85.0,63.76019
10,95.0,61.069454
11,5.0,50.203583
12,25.0,46.8916
13,25.0,46.888885
14,40.0,63.393654
15,5.0,50.236362
16,5.0,41.873585
17,100.0,70.54188
18,90.0,41.33628
19,25.0,41.98898
20,5.0,58.97667
21,85.0,50.72988
22,60.0,52.511692
23,40.0,42.87158
24,65.0,57.637173
25,60.0,54.898678
26,30.0,41.81529
27,45.0,42.61685
28,25.0,44.05962
29,25.0,59.25287
30,5.0,63.747932
31,85.0,53.21942
32,40.0,56.848503
33,75.0,44.61696
34,65.0,79.00388
35,5.0,58.714645
36,5.0,42.296124
37,95.0,67.78515
38,30.0,61.02224
39,95.0,70.29075
40,25.0,51.73288
41,40.0,49.076218
42,95.0,60.271122
43,90.0,50.500256
44,85.0,45.645153
45,100.0,59.796143
46,60.0,56.845528
47,45.0,49.271442
48,45.0,54.803246
49,45.0,52.852825
50,100.0,60.595795
51,25.0,62.787464
52,5.0,62.8481
53,25.0,52.784054
54,75.0,78.73051
55,90.0,58.863956
56,40.0,54.60478
57,45.0,55.295853
58,40.0,39.04014
59,75.0,66.94295
60,60.0,49.721622
61,95.0,45.26458
