,SPL,0
0,35.0,47.825916
1,75.0,54.162987
2,5.0,33.8776
3,35.0,57.82896
4,85.0,47.495396
5,100.0,43.39423
6,5.0,30.991377
7,5.0,39.31518
8,70.0,60.011803
9,5.0,47.660778
10,10.0,41.07979
11,30.0,53.86644
12,5.0,44.642582
13,35.0,44.629837
14,70.0,62.904457
15,55.0,55.280136
16,50.0,37.016384
17,85.0,67.26614
18,10.0,36.30078
19,10.0,43.247738
20,70.0,64.20663
21,15.0,43.781948
22,30.0,48.133213
23,10.0,56.59451
24,70.0,53.515602
25,5.0,42.94036
26,75.0,63.46427
27,35.0,55.995712
28,85.0,56.37056
29,50.0,41.029602
30,5.0,46.21558
31,50.0,56.85389
32,55.0,48.757816
33,100.0,59.85134
34,30.0,56.939148
35,70.0,60.403862
36,70.0,62.37962
37,50.0,54.003994
38,30.0,56.62381
39,90.0,48.969875
40,70.0,53.253
41,10.0,28.02888
42,35.0,39.11581
43,85.0,48.64141
44,100.0,62.641296
45,10.0,34.43095
46,75.0,57.031517
47,50.0,51.310284
48,30.0,54.74765
49,35.0,42.202282
50,5.0,48.264534
51,10.0,36.01379
52,70.0,60.395554
53,5.0,64.97522
54,5.0,42.745388
55,85.0,53.14388
56,70.0,57.169285
57,35.0,53.825867
58,30.0,55.159256
59,50.0,52.60359
60,85.0,47.019627
61,55.0,55.210182
