,SPL,0
0,30.0,48.816963
1,50.0,52.040672
2,70.0,58.92946
3,100.0,50.38624
4,50.0,57.460075
5,85.0,51.029827
6,85.0,52.01184
7,70.0,57.386005
8,5.0,45.244858
9,5.0,55.301876
10,5.0,50.914303
11,5.0,55.13373
12,35.0,54.8276
13,70.0,63.644253
14,55.0,58.683815
15,35.0,45.950905
16,5.0,38.25177
17,50.0,52.051826
18,70.0,62.089046
19,85.0,56.5429
20,10.0,43.630413
21,50.0,53.13956
22,50.0,59.464252
23,85.0,60.766678
24,30.0,46.201164
25,55.0,49.42884
26,30.0,36.88952
27,100.0,63.494545
28,100.0,58.956585
29,50.0,61.573044
30,35.0,39.095547
31,85.0,58.504692
32,50.0,49.99132
33,5.0,43.97855
34,30.0,46.625298
35,30.0,31.37497
36,30.0,40.69693
37,30.0,64.88298
38,50.0,53.764336
39,70.0,50.788208
40,70.0,54.515182
41,50.0,53.54445
42,10.0,41.914936
43,100.0,57.99497
44,70.0,62.68398
45,100.0,55.69184
46,70.0,53.43656
47,55.0,60.285492
48,50.0,54.24559
49,30.0,49.204567
50,70.0,57.057568
51,70.0,56.525986
52,85.0,51.55067
53,5.0,51.131187
54,75.0,48.740192
55,55.0,54.43182
56,35.0,47.87045
57,70.0,58.60826
58,70.0,58.22593
59,100.0,47.8093
60,5.0,40.348434
61,5.0,42.18279
62,70.0,53.541016
63,10.0,45.592808
64,30.0,35.362495
65,35.0,50.423534
66,10.0,62.8211
67,15.0,44.266205
68,75.0,44.217426
69,50.0,45.500076
70,85.0,41.484573
71,75.0,49.868343
72,50.0,56.195396
73,50.0,60.186134
74,50.0,47.00168
75,100.0,46.15078
76,15.0,58.970047
77,70.0,42.805565
78,30.0,41.44208
79,50.0,54.506096
80,75.0,52.529648
81,30.0,36.18722
82,85.0,55.811707
83,30.0,52.49561
84,85.0,46.295853
85,30.0,44.94732
86,100.0,31.622824
87,85.0,57.691616
88,75.0,53.427013
89,100.0,71.36045
90,10.0,48.07139
91,50.0,51.939247
92,70.0,51.649357
93,70.0,57.07602
94,50.0,49.308865
95,50.0,55.26436
96,75.0,61.68753
97,5.0,46.047665
98,50.0,55.64038
99,75.0,69.57711
100,10.0,46.309937
101,90.0,66.717476
102,70.0,56.819637
103,100.0,51.63294
104,50.0,51.081142
105,100.0,65.08207
106,55.0,52.044956
107,5.0,42.611156
108,100.0,55.982574
109,70.0,65.43976
110,50.0,44.795395
111,5.0,57.295097
112,70.0,54.73532
113,50.0,51.991352
114,100.0,57.476917
115,30.0,53.21628
116,100.0,56.55974
117,85.0,39.92476
118,50.0,48.280487
119,15.0,48.228592
120,85.0,63.73447
121,70.0,49.82548
122,85.0,58.653534
123,70.0,54.640625
124,5.0,41.49189
125,5.0,35.523445
126,10.0,38.99188
127,85.0,56.331318
128,55.0,56.361313
129,50.0,52.322643
130,50.0,52.73046
131,50.0,51.788883
132,5.0,45.506527
133,35.0,54.0297
134,50.0,51.05575
135,50.0,52.245872
136,100.0,54.773537
137,85.0,69.864
138,55.0,55.04259
139,100.0,50.85652
140,5.0,37.524536
141,30.0,32.463253
142,30.0,33.155083
143,15.0,56.10711
144,50.0,49.274685
145,70.0,62.331566
146,70.0,54.32601
147,10.0,67.454216
148,90.0,47.106953
149,5.0,51.29985
150,30.0,52.153164
151,35.0,53.483414
152,100.0,48.911797
153,30.0,39.90741
154,10.0,45.06515
155,100.0,56.657658
156,100.0,54.215744
157,50.0,54.380398
158,30.0,47.586983
159,85.0,45.99295
160,85.0,46.52895
161,70.0,62.736668
162,5.0,47.996418
163,70.0,50.408554
164,35.0,38.644054
165,5.0,52.499702
166,50.0,52.072186
167,100.0,53.38465
168,10.0,51.27374
169,70.0,51.719044
170,35.0,41.171974
171,70.0,61.044273
172,100.0,58.901604
173,50.0,54.425495
174,50.0,50.79142
175,70.0,42.280952
176,70.0,59.49593
177,70.0,46.620476
178,30.0,51.072807
179,85.0,64.67583
180,10.0,45.88366
181,35.0,55.218052
182,75.0,51.49654
183,55.0,49.69838
184,50.0,62.109467
185,30.0,59.65526
186,30.0,45.099995
187,90.0,52.489197
188,5.0,43.029293
189,85.0,61.61911
190,75.0,55.509525
191,50.0,51.43771
192,30.0,49.81347
193,50.0,59.27634
194,30.0,52.094856
195,75.0,62.713497
196,15.0,45.282696
197,85.0,47.662952
198,50.0,45.355545
199,35.0,48.81958
200,30.0,54.647774
201,5.0,32.728043
202,70.0,40.49168
203,30.0,55.122578
204,85.0,57.214336
205,30.0,52.74968
206,5.0,48.923916
207,10.0,58.34667
208,30.0,49.967236
209,70.0,63.28608
210,70.0,65.83373
211,50.0,52.70578
212,15.0,52.33374
213,35.0,56.180172
214,50.0,54.32913
215,30.0,52.22743
216,85.0,36.342117
217,30.0,40.58526
218,55.0,51.401585
219,70.0,64.73563
220,55.0,58.661232
221,70.0,59.779175
222,100.0,57.87906
223,35.0,60.58086
224,30.0,43.243874
225,50.0,49.40714
226,35.0,59.509193
227,70.0,56.476303
228,10.0,39.475754
229,35.0,44.50369
230,5.0,41.42621
231,35.0,42.75195
232,5.0,51.448387
233,100.0,56.070454
234,10.0,41.914207
235,70.0,62.442028
236,50.0,49.66463
237,30.0,53.646248
238,55.0,55.506874
239,50.0,55.2259
240,90.0,50.57871
241,55.0,62.96784
242,5.0,55.87599
243,50.0,53.417114
244,30.0,45.04492
245,30.0,59.278637
246,90.0,42.820038
247,15.0,31.548178
248,55.0,47.76685
249,100.0,49.504585
250,85.0,46.89815
251,90.0,72.21609
252,30.0,40.347794
253,30.0,40.936935
254,55.0,55.549225
255,85.0,52.424114
256,50.0,49.228043
257,100.0,45.779564
258,55.0,52.13565
259,50.0,51.49347
260,75.0,50.91231
261,70.0,46.539513
262,50.0,57.189682
263,75.0,56.803276
264,55.0,55.6677
265,90.0,52.67433
266,35.0,43.293156
267,70.0,68.21142
268,70.0,55.754585
269,10.0,45.191986
270,85.0,55.051376
271,50.0,57.495903
272,35.0,41.477177
273,35.0,54.49637
274,50.0,56.110344
275,15.0,46.60372
276,5.0,57.795242
277,15.0,51.341827
278,50.0,48.557365
279,50.0,50.768677
280,50.0,65.91829
281,50.0,50.436813
282,100.0,51.82632
283,50.0,53.729187
284,70.0,64.92271
285,90.0,52.8749
286,5.0,37.541595
287,5.0,43.94404
288,30.0,42.34977
289,30.0,32.655113
290,15.0,39.219196
291,5.0,46.709743
292,50.0,51.680313
293,100.0,60.044838
294,70.0,55.115868
295,5.0,48.536186
296,50.0,51.291885
297,30.0,56.777573
298,100.0,46.93588
299,100.0,51.528347
300,30.0,44.01574
301,35.0,45.11172
302,70.0,52.86612
303,90.0,47.290154
304,35.0,35.843235
305,85.0,52.367867
306,30.0,37.618744
307,30.0,52.031742
308,50.0,56.60533
309,5.0,58.388504
310,50.0,53.655415
311,55.0,61.618797
312,100.0,49.33591
313,50.0,50.357006
314,50.0,41.87461
315,90.0,58.776947
316,100.0,52.69927
317,5.0,46.99339
318,50.0,43.384766
319,85.0,47.38134
320,90.0,51.04623
321,10.0,61.42169
322,70.0,59.116165
323,85.0,54.610184
324,85.0,52.88748
325,85.0,46.99779
326,5.0,55.09
327,35.0,57.38762
328,75.0,68.54694
329,55.0,58.675884
330,85.0,57.789852
331,10.0,46.570885
332,50.0,53.049896
333,35.0,43.71833
334,5.0,47.96216
335,5.0,39.264744
336,70.0,59.21678
337,85.0,46.043213
338,85.0,36.083855
339,50.0,53.27904
340,50.0,54.709923
341,85.0,62.23264
342,50.0,45.022827
343,85.0,46.932777
344,90.0,64.57763
345,10.0,53.57297
346,100.0,45.81053
347,100.0,48.38144
348,30.0,45.81997
349,10.0,42.41107
350,35.0,50.50812
351,10.0,55.267853
352,75.0,44.255703
353,5.0,45.691708
354,70.0,52.20881
355,5.0,55.827717
356,50.0,55.83565
357,30.0,39.54203
358,30.0,46.810364
359,30.0,45.38142
360,55.0,51.776367
361,35.0,55.81169
362,70.0,51.501266
363,10.0,41.7941
364,50.0,60.83401
365,30.0,51.70519
366,5.0,48.2923
367,100.0,44.078075
368,50.0,49.30893
369,30.0,50.919525
370,30.0,42.94051
371,5.0,51.34414
372,75.0,53.796284
373,75.0,57.591377
374,5.0,49.005543
375,55.0,60.329453
376,5.0,29.763006
377,75.0,54.65857
378,35.0,48.45148
379,10.0,43.19851
380,35.0,59.997433
381,85.0,57.87285
382,100.0,39.765923
383,30.0,31.524864
384,5.0,52.44687
385,10.0,60.969624
386,35.0,56.2166
387,75.0,52.657722
388,70.0,71.75342
389,85.0,39.74501
390,5.0,37.324234
391,55.0,57.948982
392,50.0,28.806961
393,15.0,51.36531
394,100.0,57.466454
395,10.0,53.288944
396,70.0,67.92697
397,85.0,52.48178
398,30.0,50.299618
399,75.0,46.14529
400,50.0,48.587418
401,10.0,60.971283
402,10.0,43.38933
403,70.0,67.49824
404,100.0,41.720985
405,10.0,48.45065
406,15.0,45.744213
407,55.0,48.031544
408,90.0,38.976063
409,50.0,50.73685
410,10.0,37.76767
