,SPL,0
0,50.0,42.651157
1,5.0,46.813015
2,90.0,53.07756
3,50.0,57.86908
4,35.0,55.130783
5,50.0,48.7656
6,70.0,54.741394
7,70.0,49.97084
8,85.0,49.589146
9,75.0,50.801746
10,15.0,53.60052
11,5.0,47.146782
12,50.0,63.337437
13,5.0,47.003532
14,35.0,50.320683
15,35.0,52.941124
16,10.0,37.78612
17,55.0,59.778908
18,50.0,42.529987
19,85.0,53.33507
20,30.0,49.554432
21,35.0,46.54164
22,35.0,37.064243
23,70.0,55.63646
24,100.0,49.00221
25,30.0,42.438095
26,5.0,48.245052
27,75.0,54.9683
28,30.0,44.956314
29,55.0,54.712063
30,50.0,48.22601
31,100.0,70.72013
32,10.0,54.302208
33,85.0,64.06567
34,75.0,53.450493
35,50.0,59.335014
36,5.0,57.39704
37,35.0,39.455833
38,50.0,56.46254
39,90.0,48.78527
40,10.0,46.081047
41,50.0,49.675423
42,15.0,47.70511
43,30.0,46.711952
44,10.0,38.77914
45,85.0,67.89764
46,30.0,32.969822
47,50.0,55.918354
48,5.0,56.999004
49,90.0,51.107513
50,5.0,43.37246
51,10.0,34.7417
52,50.0,39.599594
53,85.0,58.305115
54,85.0,58.348354
55,85.0,57.697964
56,35.0,35.22758
57,50.0,53.149734
58,50.0,57.795723
59,75.0,59.834087
60,30.0,40.68445
61,55.0,55.42265
