,SUBMISSIVENESS,0
0,3.0,19.715284
1,1.75,22.015915
2,0.0,16.74274
3,2.0,16.63936
4,2.25,20.086672
5,1.5,18.436508
6,2.75,19.04652
7,0.75,10.903899
8,1.25,13.951782
9,0.0,19.390827
10,1.75,15.640226
11,2.0,22.685478
12,0.5,15.364014
13,0.0,16.525663
14,1.25,16.199032
15,3.0,25.33621
16,2.25,23.050205
17,1.25,20.53933
18,0.5,15.581627
19,0.0,14.486097
20,0.0,16.550898
21,1.75,20.858831
22,0.75,17.08841
23,2.25,21.41125
24,0.0,15.376042
25,1.25,18.664932
26,2.0,15.009485
27,1.5,21.547644
28,0.25,18.828686
29,1.5,17.508085
30,2.0,16.070515
31,1.75,15.814636
32,1.25,16.45931
33,1.5,21.569218
34,0.75,15.457899
35,2.25,19.847387
36,0.25,12.754989
37,1.25,20.08172
38,1.25,19.17083
39,0.5,12.90031
40,1.75,17.20699
41,1.5,20.153257
42,2.0,18.671015
43,1.25,14.415839
44,1.5,28.171589
45,1.0,14.517128
46,0.25,21.816977
47,1.75,17.501612
48,0.0,17.618391
49,2.75,29.100967
50,0.0,18.87852
51,1.0,12.640629
52,0.75,14.608681
53,1.75,17.916437
54,0.0,15.842596
55,2.25,15.497169
56,1.0,14.40307
57,0.75,17.745356
58,0.0,16.543585
59,1.25,22.28337
60,1.5,19.196136
61,0.75,15.50782
62,2.0,21.61168
63,1.75,14.381784
64,0.75,16.281857
65,1.25,16.83353
66,1.5,12.340573
67,1.25,18.501734
68,1.75,17.824986
69,1.25,15.893677
70,1.0,24.111652
71,1.0,19.133564
72,0.75,13.743806
73,1.25,17.905827
74,0.0,12.114033
75,2.0,21.573912
76,0.75,20.43535
77,2.5,17.956642
78,0.5,14.064705
79,1.75,21.836191
80,1.5,16.838196
81,0.75,13.669778
82,3.0,22.163322
83,1.25,16.659407
84,1.0,15.577578
85,1.75,18.560099
86,1.25,13.314882
87,0.0,14.518318
88,1.25,15.583269
89,0.5,17.493483
90,0.0,13.193152
91,2.25,18.750118
92,0.0,14.480817
93,0.5,13.767998
94,2.0,16.794535
95,1.75,14.8334465
96,0.5,10.738896
97,1.75,20.392097
98,1.75,17.547533
99,0.5,18.495337
100,1.25,16.880743
101,1.0,15.114571
102,0.75,15.555246
103,0.0,13.0001135
104,1.25,17.620684
105,2.0,19.335163
106,1.25,17.287125
107,1.25,21.333904
108,1.0,18.019905
109,1.5,19.191257
110,0.75,13.609734
111,0.0,14.244022
112,1.25,17.3712
113,1.5,14.992869
114,1.75,19.005003
115,1.75,18.449633
116,1.75,17.650723
117,1.75,11.753353
118,1.75,16.664207
119,0.0,18.815308
120,2.0,18.438938
121,1.0,19.546799
122,0.25,14.896327
123,1.25,18.39506
124,1.25,23.63913
125,1.5,15.173522
126,1.0,14.999013
127,0.75,12.663761
128,1.25,27.07933
129,0.5,16.4139
130,0.5,16.939821
131,1.25,14.324684
132,0.75,17.825161
133,0.25,10.274735
134,2.25,14.521601
135,0.5,18.347605
136,2.25,19.439041
137,1.0,17.645235
138,1.75,21.94664
139,0.5,15.897959
140,1.5,15.889663
141,1.75,18.988256
142,1.75,13.509268
143,1.0,18.476978
144,1.5,19.265463
145,1.25,16.180885
146,1.5,17.577621
147,0.5,17.868214
148,1.5,17.783123
149,1.25,19.382566
150,2.0,20.063358
151,1.0,14.502887
152,0.0,17.189037
153,2.25,25.097773
154,0.0,15.451596
155,1.5,16.695189
156,1.25,22.338383
157,2.0,21.400894
158,0.0,14.991811
159,2.5,26.914759
160,2.0,17.029846
161,2.0,16.114407
162,1.5,18.682613
163,0.0,18.378757
164,1.0,15.347033
165,1.5,16.873968
166,1.5,13.990799
167,1.25,13.87907
168,2.0,18.285198
169,1.0,20.484999
170,3.0,23.659016
171,0.75,15.49126
172,1.0,18.441378
173,0.25,16.502995
174,0.0,14.633401
175,3.0,19.936724
176,1.75,20.020887
177,2.0,12.98848
178,1.0,16.239634
179,0.25,16.407202
180,0.75,17.949993
181,0.75,18.37641
182,1.25,17.17432
183,2.5,22.791607
184,0.75,16.054817
185,1.75,18.037294
186,2.0,20.850534
187,3.0,20.292227
188,1.75,22.796503
189,0.5,13.729455
190,2.0,20.442844
191,0.75,16.750036
192,2.5,21.251646
193,2.0,16.137655
194,2.5,19.346039
195,0.5,12.159395
196,2.0,20.12586
197,2.0,14.234774
198,1.5,16.569466
199,0.5,11.280609
200,0.5,13.786987
201,3.0,21.51485
202,1.5,15.607752
203,2.0,15.747424
204,1.5,19.18124
205,0.0,10.099011
206,1.0,13.39249
207,1.75,15.810302
208,1.25,17.384014
209,2.0,13.676092
210,0.0,10.814747
211,0.0,18.879316
212,0.5,16.41899
213,1.0,18.17568
214,0.75,15.929114
215,0.0,18.741566
216,1.5,12.962907
217,1.0,14.847048
218,0.5,14.710305
219,2.25,18.045738
220,0.25,20.822598
221,2.5,19.460627
222,1.0,16.84721
223,0.5,16.443378
224,0.5,14.070494
225,0.75,11.001486
226,2.0,23.14655
227,1.5,17.082417
228,2.0,21.052732
229,0.75,14.936903
230,1.0,16.458927
231,1.25,14.200068
232,2.25,18.839643
