,SUBMISSIVENESS,0
0,1.75,15.542312
1,2.0,17.613419
2,1.25,16.703213
3,1.75,15.649153
4,1.0,15.867699
5,0.75,14.674569
6,1.25,17.99742
7,2.5,22.601128
8,0.5,12.023206
9,0.0,16.030628
10,1.25,19.963211
11,0.25,14.375914
12,0.75,16.741156
13,1.75,25.31438
14,2.0,14.686432
15,2.5,22.46049
16,1.75,22.007917
17,2.25,23.708258
18,2.0,13.405827
19,0.75,17.31444
20,2.0,18.024961
21,2.75,20.992779
22,2.0,20.135044
23,2.5,17.793663
24,0.25,15.577086
25,1.25,13.09185
26,0.75,17.412432
27,2.5,19.840889
28,0.75,21.53072
29,0.0,19.344145
30,0.25,14.766152
31,1.75,18.123835
32,2.25,20.675467
33,0.25,15.206989
34,1.5,26.058569
35,1.25,13.814046
36,1.75,21.312529
37,3.0,21.377169
38,0.75,16.619473
39,1.75,19.263218
40,0.5,20.058458
41,2.25,21.794252
42,0.75,18.667953
43,3.0,17.407356
44,1.75,20.153402
45,0.5,14.967044
46,1.0,20.073063
47,1.0,18.67946
48,1.25,13.165633
49,0.0,17.686083
50,1.0,14.215002
51,3.0,20.574114
52,2.75,20.814758
