,SUB,0
0,85.0,61.76993
1,20.0,54.993244
2,80.0,77.525826
3,45.0,65.76961
4,65.0,69.06276
5,45.0,59.031307
6,45.0,55.139484
7,5.0,61.57667
8,65.0,72.3433
9,65.0,81.28228
10,45.0,63.65986
11,100.0,68.89129
12,65.0,61.76318
13,80.0,50.034122
14,100.0,68.50439
15,45.0,69.174324
16,65.0,70.33242
17,45.0,62.511486
18,80.0,82.65685
19,100.0,65.738106
20,80.0,75.71121
21,80.0,70.31817
22,90.0,78.683754
23,80.0,69.54021
24,45.0,68.94795
25,45.0,60.550457
26,5.0,54.571148
27,70.0,72.77402
28,5.0,69.20276
29,15.0,47.549435
30,15.0,60.601677
31,25.0,58.608967
32,80.0,65.695786
33,100.0,69.89947
34,65.0,65.36904
35,15.0,73.32674
36,90.0,64.13525
37,100.0,76.96486
38,5.0,64.98256
39,5.0,56.78367
40,80.0,79.460815
41,25.0,67.91555
42,85.0,75.44313
43,65.0,68.27115
44,65.0,65.09794
45,65.0,64.77833
46,45.0,55.512768
47,50.0,52.696983
48,25.0,47.016743
49,45.0,59.46976
50,50.0,49.49505
51,65.0,68.347275
52,85.0,79.81466
53,100.0,69.43528
54,15.0,62.832085
55,80.0,68.65439
56,90.0,61.979923
57,65.0,68.13304
58,85.0,69.6651
59,100.0,75.46111
60,90.0,76.13401
61,50.0,69.12833
