,SUB,0
0,80.0,83.42168
1,65.0,48.80634
2,25.0,50.022873
3,65.0,74.01836
4,20.0,63.918545
5,80.0,65.40949
6,80.0,74.89957
7,50.0,68.994
8,45.0,64.91751
9,45.0,66.623535
10,20.0,65.98639
11,45.0,64.64549
12,90.0,64.87487
13,25.0,52.78085
14,70.0,72.403305
15,80.0,74.208496
16,50.0,57.359165
17,65.0,76.111084
18,90.0,67.96882
19,70.0,63.148735
20,45.0,62.84761
21,100.0,64.15596
22,50.0,56.478405
23,90.0,59.32283
24,80.0,78.0899
25,90.0,75.796036
26,100.0,61.079636
27,45.0,44.458263
28,80.0,52.53819
29,85.0,81.48242
30,70.0,61.083286
31,45.0,47.048077
32,50.0,59.771877
33,100.0,93.52674
34,65.0,66.0918
35,80.0,69.55561
36,35.0,49.236774
37,85.0,61.237667
38,45.0,58.22378
39,80.0,67.62977
40,5.0,52.784878
41,50.0,67.70581
42,65.0,62.381493
43,20.0,67.12511
44,65.0,66.77176
45,95.0,58.78572
46,100.0,61.425022
47,85.0,77.968094
48,95.0,70.512505
49,85.0,62.141438
50,70.0,81.62351
51,70.0,70.173996
52,90.0,75.37809
53,80.0,67.64721
54,85.0,79.23211
55,45.0,68.1317
56,45.0,70.972824
57,45.0,64.34305
58,100.0,80.73755
59,25.0,62.71007
60,5.0,58.852795
61,85.0,75.90692
62,50.0,56.055286
63,90.0,68.08365
64,65.0,70.295334
65,80.0,74.87116
66,45.0,55.55473
67,85.0,69.62512
68,15.0,53.35512
69,80.0,70.36676
70,90.0,74.33612
71,100.0,69.819115
72,20.0,59.007195
73,90.0,62.84964
74,25.0,63.77527
75,80.0,83.64468
76,70.0,73.45247
77,50.0,51.657913
78,45.0,61.752213
79,50.0,67.54137
80,80.0,69.942665
81,20.0,60.078148
82,25.0,52.16615
83,100.0,57.31177
84,70.0,75.32001
85,45.0,59.70779
86,100.0,54.96582
87,10.0,51.298325
88,65.0,78.67496
89,65.0,72.54044
90,80.0,80.94749
91,20.0,55.424797
92,80.0,77.72703
93,100.0,77.22541
94,95.0,65.38718
95,15.0,54.947346
96,95.0,59.88196
97,65.0,67.90286
98,65.0,67.32581
99,45.0,76.17629
100,65.0,73.83766
101,5.0,57.809467
102,50.0,48.65198
103,45.0,71.90665
104,25.0,46.832508
105,65.0,66.0954
106,85.0,54.743473
107,10.0,65.72426
108,45.0,67.165054
109,100.0,62.107327
110,65.0,67.09677
111,100.0,63.425537
112,35.0,64.6333
113,80.0,79.16909
114,80.0,68.72235
115,80.0,52.962997
116,50.0,54.306324
117,45.0,69.72608
118,70.0,72.580696
119,85.0,68.26327
120,25.0,69.32895
121,45.0,53.13638
122,80.0,66.42779
123,85.0,63.070866
124,45.0,49.48254
125,80.0,71.43794
126,45.0,69.198326
127,85.0,69.829735
128,35.0,61.71314
129,10.0,69.97988
130,70.0,68.84438
131,100.0,61.592808
132,10.0,57.62287
133,25.0,71.65824
134,25.0,63.254234
135,90.0,66.97942
136,25.0,65.785034
137,80.0,56.055374
138,85.0,77.80849
139,65.0,64.898155
140,95.0,77.27605
141,100.0,78.825806
142,20.0,56.935238
143,100.0,62.912678
144,85.0,77.52573
145,85.0,73.62899
146,70.0,76.65825
147,50.0,54.555996
148,65.0,70.02934
149,45.0,59.448215
150,100.0,65.38057
151,25.0,81.230865
152,65.0,67.5957
153,90.0,81.63703
154,70.0,72.09084
155,65.0,65.491264
156,80.0,60.871624
157,45.0,74.13548
158,45.0,58.856754
159,50.0,69.38361
160,45.0,62.98843
161,50.0,69.22754
162,45.0,49.728737
163,100.0,57.822926
164,80.0,69.16773
165,25.0,46.210804
166,95.0,71.07967
167,80.0,73.8553
168,65.0,69.72967
169,80.0,70.36199
170,80.0,70.52909
171,95.0,71.53299
172,65.0,63.12915
173,90.0,69.730446
174,80.0,65.56027
175,25.0,79.788895
176,85.0,72.55893
177,80.0,51.598156
178,65.0,70.66986
179,35.0,48.326855
180,35.0,70.651886
181,100.0,59.32075
182,100.0,64.77459
183,70.0,59.801273
184,80.0,67.74441
185,65.0,64.18057
186,65.0,68.40642
187,50.0,54.12682
188,80.0,76.84175
189,25.0,59.68047
190,35.0,67.66074
191,100.0,63.117107
192,45.0,72.479294
193,100.0,70.35311
194,70.0,59.686527
195,80.0,76.13592
196,70.0,65.92853
197,25.0,44.73492
198,80.0,67.83654
199,35.0,57.474537
200,50.0,69.502396
201,45.0,72.974884
202,80.0,76.08289
203,80.0,68.89418
204,45.0,60.58832
205,25.0,61.724426
