,SUB,0
0,90.0,81.378235
1,65.0,66.89186
2,5.0,74.79579
3,65.0,67.1337
4,25.0,58.874546
5,90.0,63.53066
6,65.0,69.610435
7,50.0,62.943134
8,100.0,71.20992
9,50.0,50.783676
10,35.0,64.5468
11,100.0,87.12872
12,65.0,69.02089
13,45.0,52.312336
14,50.0,56.819187
15,25.0,63.96623
16,25.0,70.865005
17,65.0,64.82369
18,65.0,63.625374
19,45.0,59.58368
20,100.0,76.36207
21,45.0,63.02983
22,50.0,72.557686
23,70.0,60.724583
24,85.0,72.231026
25,20.0,52.918148
26,100.0,77.71379
27,90.0,75.01803
28,65.0,69.27217
29,15.0,59.964104
30,80.0,82.708244
31,70.0,72.00371
32,65.0,73.12197
33,45.0,57.952236
34,25.0,54.56338
35,80.0,74.01977
36,45.0,52.410194
37,80.0,62.82878
38,65.0,68.81415
39,95.0,74.18767
40,70.0,68.77397
41,15.0,66.54321
42,80.0,69.55938
43,100.0,76.173645
44,50.0,59.893414
45,100.0,73.14073
46,80.0,75.728935
47,90.0,66.19047
48,100.0,71.000175
49,25.0,56.17617
50,70.0,60.29582
51,50.0,59.176945
52,50.0,58.13461
53,25.0,59.80131
54,50.0,48.275097
55,70.0,73.622696
56,80.0,66.435455
57,25.0,59.696842
58,65.0,68.00638
59,65.0,64.208176
60,70.0,72.86572
61,80.0,70.94869
