,SUP,0
0,100.0,62.363953
1,100.0,67.43414
2,40.0,43.927242
3,30.0,26.113491
4,55.0,38.939823
5,75.0,72.70192
6,40.0,37.186386
7,75.0,53.184734
8,5.0,31.348457
9,55.0,38.807312
10,75.0,39.15969
11,55.0,48.888577
12,90.0,81.62267
13,90.0,72.168106
14,100.0,68.807396
15,30.0,20.77769
16,5.0,45.54116
17,20.0,72.28633
18,15.0,49.263073
19,100.0,77.25658
20,80.0,58.762142
21,55.0,46.77579
22,100.0,88.63664
23,100.0,50.291973
24,55.0,44.53689
25,100.0,44.593285
26,75.0,37.514835
27,20.0,58.044006
28,10.0,43.0346
29,5.0,19.448402
30,15.0,43.836025
31,5.0,15.890908
32,5.0,45.94364
33,100.0,67.47901
34,10.0,39.85455
35,60.0,42.085766
36,90.0,69.88617
37,60.0,50.04729
38,95.0,82.47946
39,60.0,55.24857
40,80.0,44.55582
41,60.0,47.05878
42,55.0,39.72705
43,95.0,64.13162
44,15.0,29.346754
45,30.0,44.88045
46,55.0,53.10705
47,10.0,64.654976
48,60.0,46.886765
49,5.0,59.376034
50,90.0,62.44874
51,5.0,45.29035
52,90.0,42.702766
53,55.0,38.83727
54,90.0,56.860126
55,80.0,58.31069
56,60.0,52.25003
57,90.0,73.837654
58,55.0,43.433002
59,90.0,44.178387
60,5.0,54.976673
61,20.0,15.411554
