,SUP,0
0,95.0,81.62849
1,30.0,20.296217
2,95.0,55.975166
3,90.0,55.67082
4,55.0,41.266193
5,95.0,44.87975
6,75.0,51.117203
7,40.0,29.34204
8,90.0,76.593994
9,60.0,47.29374
10,15.0,48.4695
11,5.0,49.78422
12,60.0,51.19971
13,15.0,33.465637
14,15.0,16.95793
15,30.0,51.575573
16,90.0,79.890015
17,100.0,75.084236
18,30.0,49.078236
19,90.0,42.45177
20,5.0,54.143852
21,90.0,75.79393
22,75.0,49.20326
23,5.0,11.34298
24,30.0,49.798634
25,100.0,52.2067
26,95.0,60.79732
27,75.0,69.67848
28,90.0,71.9517
29,5.0,23.169556
30,75.0,54.693447
31,75.0,66.9093
32,15.0,41.015163
33,90.0,65.53164
34,30.0,29.64873
35,55.0,60.187733
36,30.0,58.03321
37,5.0,39.360718
38,75.0,53.418518
39,75.0,47.73195
40,75.0,63.1556
41,30.0,33.31673
42,75.0,60.092575
43,55.0,37.959126
44,60.0,48.664776
45,90.0,42.653
46,100.0,74.639366
47,55.0,45.458187
48,55.0,60.27048
49,100.0,64.20186
50,55.0,40.928005
51,80.0,53.97436
52,100.0,48.734123
53,90.0,70.70571
54,90.0,54.390774
55,40.0,51.06872
56,90.0,64.06761
57,5.0,16.948265
58,90.0,76.55281
59,80.0,65.42259
60,30.0,45.728123
61,80.0,56.204037
62,30.0,28.635754
63,90.0,47.00817
64,60.0,54.04083
65,90.0,57.915485
66,55.0,46.239998
67,80.0,59.463116
68,75.0,61.349133
69,60.0,67.45363
70,95.0,72.19796
71,55.0,55.87691
72,55.0,50.78696
73,90.0,62.92186
74,90.0,74.44718
75,75.0,61.469044
76,5.0,5.491515
77,80.0,57.20904
78,90.0,54.2245
79,90.0,79.139915
80,15.0,46.49943
81,100.0,47.74453
82,55.0,40.28896
83,5.0,27.934135
84,5.0,37.8034
85,90.0,79.64595
86,80.0,61.434235
87,100.0,44.521084
88,15.0,39.10727
89,55.0,51.19961
90,55.0,44.86069
91,60.0,60.691288
92,15.0,12.188804
93,95.0,46.44239
94,90.0,61.06729
95,80.0,40.27616
96,15.0,41.769466
97,5.0,41.877842
98,95.0,68.48075
99,5.0,67.25153
100,15.0,0.0
101,100.0,75.799034
102,55.0,48.795612
103,5.0,32.941444
104,60.0,46.069386
105,30.0,69.406685
106,100.0,65.39097
107,75.0,71.85934
108,90.0,88.65774
109,55.0,55.590748
110,60.0,46.456165
111,95.0,80.2539
112,100.0,74.422295
113,90.0,62.926434
114,55.0,50.10649
115,95.0,76.52616
116,100.0,78.95237
117,60.0,40.895947
118,75.0,65.582756
119,90.0,70.29244
120,80.0,64.87199
121,75.0,56.56713
122,55.0,46.075726
123,90.0,72.86647
124,60.0,45.526783
125,95.0,91.87175
126,90.0,78.40278
127,90.0,70.69114
128,15.0,67.41838
129,20.0,62.941532
130,95.0,81.43463
131,90.0,70.11484
132,40.0,38.6345
133,60.0,38.69193
134,90.0,75.68418
135,20.0,56.91103
136,75.0,63.531918
137,100.0,74.3137
138,40.0,53.09058
139,60.0,48.197613
140,55.0,48.626637
141,75.0,65.42484
142,90.0,78.93796
143,90.0,61.587517
144,30.0,35.885647
145,80.0,72.86812
146,40.0,35.96995
147,60.0,57.350582
148,90.0,50.966305
149,95.0,61.56598
150,90.0,55.916996
151,15.0,44.65032
152,55.0,71.8091
153,40.0,38.052547
154,95.0,72.449585
155,15.0,7.8743005
156,75.0,51.35714
157,55.0,51.923832
158,55.0,49.953926
159,20.0,42.22888
160,90.0,60.406773
161,15.0,42.531517
162,100.0,63.27591
163,15.0,48.509373
164,90.0,62.297947
165,90.0,68.18201
166,30.0,22.69772
167,90.0,75.53712
168,75.0,60.946262
169,55.0,40.728592
170,95.0,79.71322
171,60.0,47.006287
172,60.0,48.01276
173,90.0,62.07758
174,60.0,60.756813
175,55.0,37.576935
176,90.0,50.651066
177,95.0,80.3582
178,100.0,57.590683
179,55.0,55.883873
180,75.0,45.7434
181,55.0,36.48353
182,80.0,64.739655
183,90.0,66.742035
184,80.0,58.932823
185,40.0,35.36961
186,100.0,63.02896
187,90.0,63.751583
188,100.0,70.23348
189,60.0,49.371723
190,30.0,40.795696
191,75.0,66.128845
192,15.0,33.053608
193,55.0,45.532097
194,55.0,48.832367
195,5.0,49.994152
196,30.0,46.0828
197,30.0,72.853546
198,55.0,46.49808
199,100.0,70.34836
200,100.0,78.50771
201,60.0,63.13081
202,55.0,38.587517
203,40.0,66.58554
204,15.0,28.0597
205,60.0,48.861767
206,75.0,61.19478
207,75.0,57.08972
208,100.0,55.35149
209,75.0,53.6865
210,100.0,84.32625
211,60.0,51.33624
212,30.0,59.916748
213,55.0,41.282238
214,40.0,28.247032
215,55.0,40.173492
216,100.0,48.42004
217,90.0,60.399975
218,15.0,26.338326
219,90.0,73.39405
220,20.0,40.182255
221,100.0,71.940384
222,15.0,18.506783
223,90.0,75.12165
224,55.0,47.58167
225,75.0,67.22865
226,90.0,55.17913
227,55.0,30.106382
228,95.0,78.79672
229,30.0,32.737812
230,5.0,46.272068
231,95.0,64.787415
232,15.0,45.086395
233,30.0,22.775799
234,55.0,57.35282
235,60.0,45.575752
236,95.0,65.81266
237,40.0,49.94312
238,55.0,37.215412
239,95.0,82.842316
240,15.0,49.218464
241,90.0,71.80255
242,75.0,42.619328
243,75.0,56.524582
244,90.0,55.017708
245,90.0,73.87056
246,90.0,68.83206
247,30.0,57.86772
248,100.0,51.73111
249,40.0,38.146214
250,30.0,60.641876
251,95.0,55.28877
252,90.0,65.2752
253,75.0,60.603268
254,80.0,55.397644
255,30.0,36.480434
256,100.0,43.981796
257,15.0,71.80664
258,30.0,37.21073
259,90.0,59.725597
260,75.0,43.673634
261,95.0,71.266685
262,100.0,71.770996
263,55.0,39.25602
264,95.0,76.29507
265,55.0,41.01863
266,55.0,45.612896
267,60.0,52.760544
268,90.0,64.139496
269,95.0,75.94079
270,75.0,51.694725
271,40.0,37.954815
272,15.0,76.29849
273,80.0,60.297096
274,15.0,51.492233
275,90.0,54.99274
276,75.0,64.0997
277,100.0,86.154366
278,75.0,51.986256
279,60.0,57.592487
280,95.0,66.04691
281,60.0,54.93631
282,60.0,53.641804
283,5.0,49.90666
284,15.0,40.76915
285,55.0,42.11574
286,90.0,67.17961
287,75.0,64.04233
288,55.0,44.986626
289,55.0,35.975994
290,75.0,57.638645
291,90.0,75.9549
292,100.0,41.278915
293,80.0,62.337337
294,60.0,46.837276
295,100.0,90.03118
296,90.0,50.48379
297,95.0,60.112564
298,95.0,80.45281
299,60.0,52.84929
300,90.0,76.26776
301,100.0,72.810585
302,60.0,57.345257
303,100.0,89.98848
304,75.0,70.883865
305,60.0,44.885475
306,5.0,4.374035
307,90.0,53.153862
308,60.0,53.239002
309,55.0,37.997734
310,100.0,77.09566
311,30.0,30.502865
312,90.0,63.072697
313,75.0,56.57074
314,95.0,66.384995
315,75.0,57.31496
316,75.0,52.971054
317,30.0,42.701527
318,30.0,63.603462
319,100.0,50.773327
320,100.0,50.28298
321,30.0,22.801817
322,55.0,43.426517
323,90.0,66.72975
324,100.0,49.177578
325,80.0,45.22675
326,75.0,64.673195
327,15.0,29.247498
328,90.0,88.50836
329,75.0,57.966545
330,20.0,33.09917
331,60.0,42.824833
332,20.0,28.939634
333,60.0,49.233288
334,75.0,54.061607
335,30.0,54.69529
336,10.0,56.62287
337,90.0,69.667
338,95.0,64.63219
339,90.0,68.73401
340,60.0,52.561897
341,100.0,86.53068
342,15.0,33.503967
343,90.0,51.291393
344,90.0,45.611973
345,15.0,57.840023
346,95.0,63.5639
347,75.0,58.347538
348,75.0,67.78917
349,30.0,10.338585
350,100.0,49.88895
351,90.0,65.0063
352,40.0,45.2814
353,100.0,77.6743
354,95.0,68.7096
355,75.0,63.026676
356,75.0,54.577885
357,5.0,59.006386
358,95.0,79.25202
359,100.0,69.15508
360,100.0,72.60672
361,100.0,70.35094
362,30.0,32.399246
363,95.0,69.72687
364,5.0,44.126984
365,15.0,54.02461
366,75.0,63.29223
367,100.0,75.16745
368,30.0,53.287018
369,55.0,68.39089
370,30.0,21.475426
371,10.0,31.379856
372,90.0,72.92403
373,90.0,46.606243
374,75.0,54.95547
375,20.0,58.180576
376,15.0,15.775625
377,75.0,66.288284
378,60.0,43.889412
379,20.0,45.784996
380,75.0,61.417156
381,90.0,76.33561
382,30.0,16.137144
383,55.0,51.37804
384,75.0,54.599365
385,95.0,70.47354
386,90.0,60.22938
387,40.0,42.420773
388,90.0,60.210056
389,5.0,41.798733
390,30.0,36.941376
391,15.0,57.247547
392,60.0,43.640923
393,90.0,73.221115
394,30.0,49.72897
395,30.0,42.275913
396,90.0,82.40248
397,95.0,78.06258
398,95.0,65.53075
399,20.0,52.251205
400,5.0,6.124322
401,15.0,29.538881
402,90.0,34.65901
403,5.0,36.9164
404,60.0,45.76175
405,5.0,44.940704
406,75.0,62.31949
407,5.0,21.856915
408,10.0,60.388615
409,90.0,73.41514
410,90.0,80.7672
411,30.0,59.450066
412,15.0,42.670948
413,80.0,68.89467
414,55.0,29.926672
415,55.0,32.649094
416,95.0,67.59892
417,90.0,71.96824
418,15.0,63.664444
419,15.0,54.827503
420,90.0,74.858475
421,100.0,76.93908
422,90.0,64.018364
423,100.0,78.41653
424,90.0,70.20175
425,100.0,81.44591
426,55.0,52.340103
427,90.0,48.76586
428,15.0,80.0403
429,5.0,41.740257
430,55.0,46.24456
431,95.0,78.66943
432,30.0,30.9372
433,90.0,76.16348
434,100.0,72.33701
435,100.0,50.537174
436,15.0,54.87157
437,30.0,45.018356
438,90.0,71.43155
439,90.0,63.026356
440,40.0,52.64213
441,95.0,54.37467
442,40.0,59.007755
443,55.0,53.201534
444,30.0,44.31858
445,55.0,48.5261
446,95.0,79.50938
447,90.0,58.983364
448,5.0,12.461054
449,100.0,66.671715
450,90.0,73.486694
451,100.0,73.836136
452,90.0,63.592987
453,40.0,58.512012
454,20.0,28.878105
455,80.0,62.33018
456,15.0,20.152706
457,55.0,54.28238
458,15.0,17.983364
459,60.0,45.31255
460,30.0,47.07323
461,90.0,75.75337
462,30.0,48.331318
463,90.0,56.436073
464,60.0,64.41189
465,95.0,68.482
466,90.0,80.22838
467,95.0,75.996
468,90.0,51.73272
469,90.0,76.920715
470,60.0,54.746872
471,40.0,37.30674
472,75.0,65.199196
473,90.0,61.51815
474,75.0,46.778893
475,15.0,57.593716
476,30.0,21.64373
477,30.0,66.43712
478,15.0,32.524227
479,30.0,47.70295
480,20.0,33.557133
481,30.0,33.762257
482,90.0,37.180172
483,90.0,65.61634
484,90.0,70.48771
485,80.0,66.36843
486,80.0,69.19791
487,20.0,62.362644
488,20.0,29.76208
489,75.0,53.128326
490,20.0,38.099346
491,80.0,66.38472
492,60.0,50.549824
493,5.0,54.393433
494,90.0,58.862194
