,SUP,0
0,90.0,47.433727
1,90.0,65.972946
2,95.0,68.86917
3,95.0,53.71159
4,75.0,56.50745
5,30.0,18.328947
6,80.0,68.38947
7,20.0,36.87117
8,15.0,30.607018
9,60.0,42.754967
10,20.0,23.312656
11,100.0,51.211212
12,60.0,60.207092
13,80.0,60.379757
14,55.0,49.476788
15,75.0,56.574806
16,20.0,51.139946
17,55.0,43.858047
18,80.0,68.79631
19,75.0,58.09713
20,100.0,73.35266
21,40.0,22.546682
22,30.0,39.00879
23,5.0,20.424212
24,15.0,35.21418
25,55.0,45.985558
26,55.0,55.004517
27,55.0,47.309788
28,20.0,42.914097
29,55.0,36.45657
30,5.0,19.008745
31,20.0,33.98447
32,30.0,31.189014
33,80.0,51.017323
34,5.0,50.492867
35,100.0,75.202126
36,5.0,35.745934
37,80.0,56.22391
38,20.0,17.427252
39,100.0,73.25082
40,40.0,45.04288
41,60.0,50.41965
42,15.0,38.752205
43,90.0,63.72624
44,40.0,47.637062
45,75.0,56.337887
46,15.0,14.858947
47,90.0,52.188236
48,15.0,30.481375
49,90.0,60.871914
50,100.0,67.23132
51,55.0,54.29943
52,15.0,47.031185
53,15.0,30.757153
54,90.0,66.44063
55,40.0,28.24917
56,55.0,60.262703
57,95.0,71.606766
58,5.0,37.214764
59,30.0,28.386724
60,55.0,61.024612
61,55.0,45.638897
