,TRAUMA_PAST,0
0,17.0,34.38365
1,0.0,29.551672
2,13.0,26.626036
3,14.0,31.125425
4,6.0,28.329884
5,16.0,27.59212
6,10.0,30.840029
7,20.0,28.222328
8,0.0,27.880116
9,9.0,27.44311
10,33.0,31.836266
11,3.0,28.824867
12,30.0,31.553728
13,24.0,40.787766
14,3.0,27.520164
15,2.0,25.115545
16,16.0,26.839918
17,22.0,33.246765
18,16.0,26.31888
19,0.0,29.75283
20,0.0,23.123192
21,13.0,26.410778
22,31.0,31.2875
23,0.0,26.63756
24,40.0,34.361324
25,8.0,32.11374
26,26.0,31.35297
27,0.0,26.605316
28,28.0,30.062542
29,0.0,26.737972
30,12.0,25.245113
31,8.0,27.280443
32,35.0,31.442242
33,0.0,26.495317
34,0.0,26.62822
35,2.0,26.746223
36,26.0,32.95137
37,0.0,26.166452
38,6.0,25.23084
39,17.0,29.055511
40,16.0,32.27692
41,6.0,27.659164
42,3.0,28.907495
43,22.0,29.822765
44,5.0,26.501026
45,5.0,24.767292
46,0.0,27.107185
