,TRAUMA_PAST,0
0,0.0,31.770002
1,15.0,29.335873
2,0.0,26.599363
3,22.0,28.7717
4,7.0,26.629192
5,39.0,33.747574
6,0.0,27.6544
7,6.0,28.497375
8,15.0,29.67033
9,26.0,33.24758
10,0.0,28.27626
11,0.0,24.288334
12,5.0,27.021164
13,26.0,30.826067
14,19.0,28.743351
15,6.0,30.698284
16,7.0,30.6413
17,5.0,28.358976
18,21.0,30.49504
19,18.0,26.798315
20,15.0,32.66592
21,11.0,33.979668
22,16.0,28.247742
23,5.0,29.337212
24,8.0,25.79878
25,0.0,23.533073
26,5.0,29.47953
27,6.0,25.220749
28,18.0,29.937202
29,0.0,25.981491
30,0.0,26.696198
31,17.0,30.914724
32,0.0,26.549232
33,40.0,32.571823
34,10.0,27.801937
35,10.0,27.517923
36,25.0,29.80039
37,0.0,24.324383
38,18.0,32.196278
39,0.0,27.751186
40,3.0,27.98501
41,5.0,27.053263
42,16.0,32.94224
43,9.0,29.462147
44,6.0,29.01635
45,6.0,26.430117
46,33.0,33.118412
47,8.0,30.769083
