,TRAUMA_PRESENT,0
0,0.0,113.27886
1,7.0,120.710205
2,1.0,120.345085
3,0.0,109.40818
4,0.0,117.502914
5,0.0,115.12597
6,12.0,123.564735
7,3.0,115.49273
8,3.0,116.91069
9,19.0,119.01447
10,0.0,112.81201
11,10.0,121.737206
12,7.0,122.74648
13,0.0,113.25481
14,0.0,120.466805
15,0.0,123.47174
16,8.0,118.39828
17,1.0,120.51106
18,0.0,116.463295
19,0.0,118.616325
20,0.0,120.69309
21,4.0,113.84779
22,0.0,116.34017
23,19.0,120.47302
24,9.0,118.79938
25,0.0,121.45285
26,10.0,119.62701
27,0.0,116.485115
28,12.0,126.34792
29,0.0,109.02303
30,0.0,116.79962
31,10.0,125.67144
32,1.0,116.758385
33,13.0,123.147644
34,0.0,122.51209
35,0.0,117.65298
36,0.0,118.41134
37,0.0,114.6883
38,0.0,121.63332
39,0.0,112.00064
40,8.0,119.34413
41,0.0,111.82185
42,9.0,124.32951
43,6.0,118.15761
44,23.0,134.4367
45,0.0,113.807625
46,0.0,119.24565
