,TRAUMA_PRESENT,0
0,12.0,122.08869
1,0.0,119.53922
2,0.0,111.495834
3,0.0,116.69652
4,19.0,117.65174
5,10.0,119.50773
6,0.0,118.10902
7,0.0,110.45951
8,0.0,116.33485
9,5.0,115.63012
10,12.0,126.65836
11,1.0,117.775345
12,3.0,110.23748
13,0.0,119.08206
14,6.0,117.01467
15,0.0,115.15597
16,2.0,112.17479
17,14.0,125.82033
18,0.0,117.478195
19,25.0,135.42162
20,0.0,120.14608
21,14.0,125.08384
22,22.0,126.12676
23,5.0,123.54749
24,0.0,113.852646
25,0.0,113.30451
26,27.0,126.89461
27,6.0,119.02072
28,5.0,127.51483
29,0.0,110.66935
30,12.0,127.28454
31,8.0,121.959335
32,5.0,121.88466
33,0.0,122.68164
34,0.0,122.4592
35,0.0,116.46118
36,0.0,111.45434
37,0.0,122.72831
38,2.0,118.94166
39,7.0,120.00055
40,0.0,122.414764
41,0.0,110.39282
42,0.0,122.46813
43,28.0,129.24792
44,11.0,118.06365
45,3.0,115.14816
46,7.0,120.90021
47,0.0,118.077255
48,1.0,118.905945
49,24.0,128.8385
50,4.0,123.32716
51,0.0,116.705795
52,0.0,111.57214
53,1.0,120.22282
54,40.0,132.24364
55,0.0,112.65721
56,14.0,121.50546
57,0.0,115.075745
58,0.0,118.36383
59,0.0,116.20436
60,0.0,116.48123
61,14.0,126.01163
62,0.0,111.94623
63,0.0,118.09076
64,9.0,121.17289
65,1.0,124.51023
66,0.0,118.82258
67,6.0,111.8767
68,6.0,120.475945
69,16.0,126.61517
70,14.0,121.773895
71,0.0,107.86731
72,20.0,124.72756
73,12.0,118.033585
74,1.0,114.13294
75,25.0,131.57195
76,16.0,128.83734
77,0.0,106.25598
78,9.0,122.587975
79,4.0,114.1649
80,0.0,113.61164
81,0.0,119.273224
82,35.0,141.39755
83,0.0,111.747154
84,0.0,119.210846
85,8.0,121.90957
86,0.0,116.95589
87,0.0,111.53299
88,0.0,118.0891
89,0.0,117.880325
90,0.0,113.714165
91,0.0,114.876755
92,0.0,113.91703
93,0.0,114.14924
94,15.0,121.29019
95,14.0,123.98324
96,0.0,116.83235
97,0.0,119.28937
98,0.0,116.00432
99,1.0,118.33881
100,8.0,116.11266
101,0.0,118.232864
102,0.0,117.06596
103,4.0,120.202324
104,0.0,106.32598
105,0.0,114.21545
106,0.0,116.051476
107,9.0,125.42768
108,0.0,119.13129
109,10.0,123.05047
110,15.0,123.089905
111,0.0,117.40068
112,0.0,120.38642
113,0.0,120.00765
114,5.0,124.75206
115,0.0,121.03309
116,0.0,113.92094
117,7.0,122.804886
118,0.0,117.122574
119,14.0,138.2075
120,0.0,110.55262
121,0.0,127.35205
122,0.0,110.22574
123,19.0,128.75249
124,0.0,110.07495
125,12.0,126.87759
126,26.0,131.50883
127,24.0,127.79762
128,0.0,119.84135
129,0.0,117.508575
130,0.0,118.8376
131,0.0,121.366196
132,18.0,123.24143
133,0.0,120.08856
134,0.0,114.11081
135,16.0,126.46336
136,0.0,119.31079
137,0.0,117.64186
138,0.0,116.64097
139,0.0,117.222404
140,0.0,122.786545
141,0.0,117.195694
142,0.0,116.44359
143,0.0,114.20464
144,0.0,118.18922
145,28.0,135.24825
146,0.0,119.43897
147,18.0,118.994865
148,4.0,115.82928
149,0.0,118.455925
150,0.0,124.524704
151,5.0,120.78371
152,0.0,120.037155
153,0.0,125.38319
154,0.0,115.516624
155,19.0,126.833786
156,0.0,119.12453
157,0.0,117.06614
158,5.0,120.16273
159,0.0,112.153824
160,0.0,113.994156
161,0.0,118.05229
162,0.0,113.55751
163,0.0,118.95273
164,17.0,131.18407
165,6.0,113.13242
166,0.0,126.75005
167,0.0,121.577194
168,16.0,124.586105
169,0.0,116.56761
170,0.0,115.58701
171,28.0,125.72358
172,2.0,123.20146
173,7.0,119.35209
174,0.0,116.20071
175,7.0,123.57854
176,0.0,117.40297
177,0.0,122.265175
178,6.0,122.881195
179,0.0,122.357475
180,38.0,133.78221
181,0.0,115.80438
182,0.0,118.23636
183,0.0,113.4803
184,0.0,119.21033
185,5.0,121.745125
186,0.0,108.71608
187,0.0,108.90554
188,9.0,125.798065
189,0.0,115.39557
190,3.0,129.32379
191,1.0,116.594124
192,0.0,105.40295
193,3.0,113.0422
194,0.0,112.821304
195,0.0,115.767845
196,1.0,122.35629
197,3.0,119.94907
198,0.0,115.0333
199,15.0,125.80989
200,0.0,109.941986
201,3.0,115.733444
202,0.0,117.90418
203,33.0,135.17058
204,4.0,122.21016
205,7.0,120.227585
206,0.0,121.91294
207,0.0,110.37324
208,0.0,111.274414
209,8.0,117.18177
210,0.0,121.26117
211,3.0,116.361084
212,20.0,121.23028
213,4.0,124.29678
214,0.0,119.00534
215,1.0,119.22207
216,3.0,121.638596
217,3.0,115.49404
218,24.0,128.02231
219,0.0,114.32813
220,18.0,122.79286
221,23.0,133.89859
222,0.0,121.324524
223,0.0,117.43503
224,0.0,112.95753
225,3.0,114.9278
226,0.0,115.36008
227,20.0,126.82021
228,5.0,113.7195
229,4.0,128.30777
230,0.0,114.90831
231,0.0,118.01883
232,0.0,124.32431
233,0.0,118.531395
234,0.0,125.84491
235,12.0,120.02985
236,0.0,117.144455
237,0.0,118.99173
238,5.0,111.92393
239,0.0,113.30261
240,5.0,119.91787
241,0.0,113.940544
242,7.0,116.55651
243,0.0,119.0752
244,1.0,112.94513
245,5.0,124.822464
246,0.0,112.27388
247,6.0,116.94974
248,6.0,114.45181
249,4.0,117.87622
250,10.0,121.0567
251,0.0,117.12387
252,1.0,118.01619
253,0.0,114.27188
254,0.0,118.30613
255,4.0,121.06552
256,0.0,114.95229
257,0.0,115.518456
258,0.0,114.63894
259,7.0,115.950935
260,0.0,118.22838
261,0.0,113.01948
262,0.0,114.25706
263,4.0,114.92668
264,9.0,118.08668
265,10.0,124.19249
266,0.0,116.71341
267,4.0,124.38665
268,0.0,116.73775
269,4.0,120.93634
270,16.0,125.983505
271,5.0,116.457275
272,0.0,121.633835
273,13.0,123.13548
274,0.0,117.2375
275,0.0,117.12659
276,3.0,120.04942
277,0.0,112.20918
278,3.0,112.907616
279,5.0,115.354385
280,0.0,116.3438
281,1.0,124.71887
282,9.0,121.20741
283,12.0,121.30569
284,6.0,122.26536
285,0.0,120.15109
286,4.0,116.63881
287,16.0,126.63065
288,0.0,116.61255
289,0.0,123.63218
290,8.0,119.25952
291,5.0,122.31875
292,0.0,116.789696
293,11.0,127.814354
294,7.0,122.3443
295,0.0,117.15875
296,0.0,117.155045
297,0.0,112.84996
298,11.0,119.976036
299,8.0,110.275475
300,0.0,112.52108
301,21.0,129.77597
302,0.0,117.12993
303,2.0,115.73955
304,0.0,118.04139
305,2.0,117.972015
306,6.0,120.69497
307,0.0,120.23348
308,4.0,112.73388
309,8.0,116.51023
310,1.0,117.73234
311,6.0,123.8727
312,0.0,115.08726
313,0.0,114.9058
314,4.0,115.05735
315,3.0,126.37157
316,0.0,117.79406
317,28.0,131.88885
318,11.0,123.432304
319,0.0,115.46984
320,18.0,123.10671
321,11.0,122.15096
322,0.0,114.15044
323,0.0,114.40994
324,0.0,114.033005
325,16.0,124.92055
326,0.0,120.04584
327,10.0,124.49614
328,5.0,110.11663
329,8.0,119.60197
330,0.0,117.86749
331,5.0,120.14637
332,0.0,120.55223
333,19.0,134.98393
334,4.0,124.39562
335,0.0,117.87418
336,8.0,120.40754
337,1.0,116.27162
338,0.0,113.28941
339,0.0,117.888565
340,5.0,118.05181
341,0.0,113.94069
342,0.0,115.944565
343,0.0,116.33697
344,13.0,122.83989
345,0.0,118.22026
346,12.0,124.02254
347,11.0,128.89037
348,0.0,118.783646
349,0.0,120.014336
350,0.0,119.69098
351,0.0,115.31487
352,0.0,119.41028
353,26.0,126.05488
354,15.0,116.33922
355,0.0,115.31007
356,3.0,112.16174
357,3.0,126.64481
358,0.0,118.01478
359,0.0,116.816895
360,0.0,123.301865
361,0.0,111.2261
362,8.0,118.785576
363,0.0,115.27466
364,0.0,120.11004
365,0.0,111.67032
366,0.0,116.9635
367,0.0,115.477875
368,3.0,119.141846
369,3.0,118.75882
370,13.0,120.45697
371,3.0,123.7132
372,0.0,112.94788
373,11.0,122.100235
374,14.0,131.20903
375,3.0,114.999466
376,14.0,124.21222
377,0.0,118.39738
378,0.0,121.963554
379,0.0,118.09436
