,TRAUMA_PRESENT,0
0,0.0,121.35903
1,6.0,122.46405
2,7.0,117.095085
3,3.0,120.38238
4,6.0,115.444244
5,0.0,126.64592
6,0.0,115.49278
7,3.0,113.17816
8,9.0,124.08932
9,0.0,114.81412
10,16.0,131.8714
11,0.0,119.44703
12,24.0,126.81638
13,18.0,116.1702
14,0.0,115.018555
15,9.0,122.615906
16,10.0,124.57704
17,2.0,113.49626
18,0.0,114.653534
19,10.0,117.758835
20,4.0,112.53963
21,9.0,118.33184
22,0.0,121.42012
23,5.0,117.766
24,3.0,113.27018
25,1.0,126.5851
26,6.0,119.94743
27,0.0,116.400375
28,0.0,111.95536
29,0.0,117.76724
30,6.0,122.05499
31,1.0,113.42662
32,0.0,113.02358
33,14.0,130.76833
34,6.0,121.5647
35,0.0,114.355194
36,0.0,119.12042
37,9.0,120.11888
38,6.0,117.32873
39,26.0,131.49286
40,0.0,112.33235
41,0.0,119.066444
42,0.0,117.56717
43,0.0,115.77587
44,0.0,113.39977
45,0.0,117.536705
46,0.0,117.74405
47,2.0,109.10435
