,UND,0
0,20.0,37.02886
1,100.0,46.255486
2,60.0,48.95576
3,70.0,53.694687
4,70.0,62.59304
5,95.0,38.827118
6,5.0,40.976295
7,15.0,33.517555
8,50.0,47.780796
9,50.0,42.143845
10,15.0,26.621878
11,15.0,34.86697
12,90.0,56.407646
13,60.0,50.903126
14,100.0,73.49549
15,35.0,44.900482
16,100.0,43.341274
17,5.0,38.651253
18,60.0,56.920807
19,5.0,55.812263
20,15.0,61.95549
21,50.0,59.052185
22,70.0,49.170105
23,30.0,41.849426
24,85.0,49.965828
25,50.0,56.229492
26,60.0,49.966396
27,5.0,34.32633
28,85.0,50.079716
29,85.0,53.724426
30,85.0,44.391575
31,30.0,32.965347
32,15.0,24.003386
33,20.0,25.617712
34,85.0,41.29109
35,90.0,55.278893
36,70.0,51.186104
37,10.0,42.27461
38,30.0,42.702885
39,20.0,45.792625
40,90.0,46.826675
41,70.0,39.637344
42,5.0,33.052475
43,100.0,53.671158
44,95.0,27.478697
45,50.0,63.753246
46,90.0,51.815926
47,10.0,34.729156
48,30.0,52.872528
49,30.0,54.244186
50,30.0,47.701633
51,50.0,30.26757
52,30.0,51.610214
53,95.0,75.58779
54,100.0,24.717758
55,90.0,60.287045
56,60.0,57.24193
57,85.0,51.57538
58,30.0,55.19478
59,70.0,40.11207
60,35.0,35.520065
61,5.0,31.593994
