,UND,0
0,85.0,29.21349
1,75.0,54.071014
2,60.0,57.03284
3,5.0,49.932518
4,85.0,55.668266
5,15.0,54.675034
6,20.0,43.285446
7,30.0,46.730473
8,95.0,61.97396
9,60.0,56.87483
10,5.0,51.569973
11,85.0,54.76577
12,5.0,55.89933
13,30.0,31.675638
14,15.0,50.049103
15,70.0,77.32166
16,30.0,60.59755
17,5.0,36.994972
18,70.0,35.801125
19,90.0,45.404083
20,85.0,52.74447
21,50.0,62.364037
22,30.0,51.230354
23,70.0,34.509422
24,70.0,28.782269
25,5.0,21.464018
26,60.0,50.81361
27,85.0,57.42258
28,5.0,43.645412
29,35.0,55.146645
30,70.0,42.479694
31,60.0,48.41575
32,15.0,31.638098
33,15.0,45.18254
34,85.0,39.349026
35,70.0,40.794872
36,5.0,29.291534
37,95.0,63.843655
38,15.0,33.444515
39,70.0,24.552946
40,70.0,42.655716
41,15.0,33.861454
42,30.0,26.489622
43,50.0,43.935543
44,100.0,52.72444
45,100.0,40.53615
46,5.0,31.411436
47,70.0,61.961926
48,5.0,48.16258
49,30.0,48.63485
50,95.0,44.32054
51,70.0,49.5715
52,100.0,38.363914
53,30.0,44.529907
54,30.0,51.146538
55,15.0,21.981003
56,15.0,72.00026
57,30.0,47.001896
58,50.0,51.746532
59,35.0,31.581158
60,70.0,56.899464
61,30.0,56.33204
62,95.0,63.455322
63,30.0,71.766754
64,85.0,62.970215
65,100.0,46.18922
66,15.0,43.831944
67,30.0,34.35353
68,85.0,40.18157
69,50.0,63.37193
70,100.0,56.483063
71,5.0,12.874986
72,30.0,39.52814
73,20.0,42.735054
74,15.0,29.834486
75,20.0,38.758026
76,100.0,69.57041
77,20.0,57.906273
78,70.0,61.167473
79,20.0,41.696632
80,95.0,56.339558
81,85.0,49.117325
82,85.0,37.439163
83,10.0,31.467459
84,20.0,60.76644
85,85.0,40.920235
86,5.0,23.169659
87,85.0,34.961597
88,50.0,39.301605
89,35.0,34.405975
90,100.0,59.290382
91,30.0,35.36896
92,75.0,51.575478
93,50.0,54.489174
94,5.0,56.121075
95,70.0,38.50011
96,95.0,50.284916
97,30.0,41.961227
98,30.0,53.916378
99,20.0,58.34995
100,85.0,62.10708
101,50.0,46.27937
102,90.0,51.456528
103,30.0,55.100735
104,60.0,52.854935
105,90.0,52.248325
106,15.0,40.952362
107,15.0,16.533821
108,10.0,28.657417
109,5.0,5.5885067
110,100.0,41.852013
111,75.0,48.954872
112,60.0,49.51053
113,20.0,32.588036
114,70.0,44.54505
115,85.0,44.225937
116,15.0,43.913742
117,30.0,43.84674
118,50.0,47.01414
119,15.0,42.033707
120,75.0,58.785892
121,5.0,31.5405
122,70.0,55.520004
123,20.0,29.2977
124,100.0,53.28485
125,50.0,47.175255
126,10.0,50.898064
127,5.0,61.726997
128,5.0,37.79153
129,100.0,46.38201
130,70.0,28.23967
131,60.0,57.333202
132,60.0,47.384544
133,5.0,45.238983
134,20.0,51.014484
135,15.0,44.275803
136,5.0,30.541155
137,70.0,42.48518
138,30.0,37.234154
139,20.0,38.803017
140,85.0,57.496647
141,30.0,37.128437
142,95.0,50.561913
143,85.0,70.51411
144,85.0,40.98828
145,30.0,58.277485
146,50.0,49.386234
147,85.0,62.096848
148,50.0,44.181988
149,5.0,35.85321
150,85.0,65.27504
151,50.0,47.00917
152,95.0,45.893974
153,30.0,44.097893
154,60.0,39.442722
155,70.0,45.444847
156,35.0,47.53233
157,15.0,46.805584
158,90.0,47.29263
159,5.0,55.336605
160,5.0,52.302887
161,5.0,24.307644
162,50.0,47.68168
163,15.0,33.455723
164,70.0,38.333233
165,60.0,53.012108
166,100.0,52.379585
167,30.0,31.318737
168,15.0,40.14164
169,50.0,47.29509
170,85.0,49.667454
171,95.0,54.003822
172,70.0,44.84395
173,85.0,43.324905
174,75.0,52.54924
175,10.0,41.565777
176,85.0,47.321693
177,50.0,57.872356
178,50.0,58.741913
179,20.0,51.104454
180,85.0,78.62944
181,70.0,68.047646
182,15.0,20.132605
183,95.0,40.45383
184,30.0,40.697983
185,35.0,48.27026
186,85.0,82.84146
187,35.0,58.043205
188,70.0,47.000286
189,50.0,41.786743
190,5.0,20.734049
191,70.0,51.953682
192,50.0,46.241882
193,85.0,48.70987
194,60.0,46.986317
195,30.0,41.91147
196,5.0,51.226162
197,100.0,36.8854
198,85.0,53.826416
199,50.0,56.161243
200,15.0,37.640484
201,30.0,45.913277
202,50.0,52.174828
203,70.0,46.17526
204,35.0,33.531174
205,50.0,54.310917
206,10.0,47.30263
207,5.0,51.50484
208,70.0,42.662727
209,70.0,46.848957
210,5.0,47.20439
211,50.0,51.269478
212,95.0,50.627357
213,10.0,56.66458
214,50.0,64.881775
215,10.0,46.304943
216,30.0,27.67231
217,50.0,26.079464
218,20.0,44.304035
219,30.0,42.566383
220,30.0,50.638863
221,50.0,56.667843
222,85.0,54.29404
223,5.0,44.033028
224,60.0,50.982956
225,30.0,63.39453
226,70.0,51.84175
227,30.0,47.966545
228,70.0,50.601036
229,70.0,55.019203
230,5.0,43.53418
231,60.0,50.239655
232,85.0,72.129456
233,20.0,49.59284
234,90.0,44.082138
235,30.0,56.53254
236,70.0,53.26006
237,15.0,38.541275
238,90.0,50.122753
239,50.0,47.44613
240,5.0,36.897545
241,70.0,63.17221
242,100.0,52.382904
243,50.0,45.458424
244,5.0,33.895508
245,50.0,45.625744
246,30.0,47.427124
247,85.0,77.22979
248,50.0,55.280624
249,5.0,37.308044
250,60.0,42.71963
251,20.0,36.9733
252,15.0,32.93603
253,30.0,47.664932
254,95.0,48.122017
255,85.0,48.781662
256,50.0,46.540962
257,5.0,57.01966
258,100.0,51.717
259,30.0,50.27623
260,15.0,49.862007
261,85.0,50.877903
262,70.0,49.83817
263,30.0,41.155373
264,50.0,52.15093
265,100.0,32.38927
266,50.0,51.545403
267,5.0,35.356377
268,35.0,59.839767
269,85.0,56.211834
270,50.0,43.51276
271,15.0,18.705713
272,5.0,42.107807
273,75.0,40.321495
274,50.0,46.16416
275,70.0,46.96858
276,35.0,40.84657
277,20.0,19.71861
278,85.0,59.58754
279,30.0,35.76588
280,15.0,27.196327
281,15.0,43.433403
282,50.0,47.64104
283,30.0,44.331146
284,15.0,47.05512
285,60.0,46.062508
286,70.0,44.468555
287,50.0,56.198536
288,30.0,33.757317
289,70.0,63.682175
290,50.0,39.97738
291,100.0,48.798203
292,15.0,32.711853
293,85.0,45.56601
294,50.0,46.74069
295,75.0,48.78306
296,75.0,71.851585
297,75.0,50.28135
298,15.0,39.146255
299,50.0,49.638813
300,20.0,53.36219
301,100.0,38.073555
302,95.0,51.55209
303,70.0,53.225002
304,100.0,41.369503
305,100.0,62.810104
306,10.0,45.717968
307,50.0,46.239315
308,5.0,42.606003
309,95.0,41.97211
310,85.0,59.1932
311,85.0,65.30689
312,70.0,73.460075
313,70.0,26.921762
314,5.0,23.356361
315,100.0,48.45176
316,30.0,36.493103
317,10.0,34.202873
318,10.0,33.77446
319,85.0,49.91616
320,70.0,54.818
321,50.0,55.363243
322,75.0,48.925766
323,95.0,43.175682
324,75.0,44.431118
325,30.0,36.640358
326,100.0,41.740093
327,60.0,42.93097
328,85.0,73.92281
329,30.0,37.143024
330,30.0,29.63592
331,85.0,49.242462
332,35.0,48.281548
333,30.0,34.479435
334,30.0,37.490723
335,5.0,50.5356
336,50.0,49.82239
337,95.0,56.79545
338,85.0,32.13931
339,60.0,38.42499
340,20.0,33.386845
341,60.0,30.481638
342,30.0,54.092003
343,75.0,55.15561
344,95.0,47.318344
345,70.0,59.020885
346,5.0,38.19004
347,90.0,43.576897
348,35.0,53.990482
349,100.0,47.827812
350,20.0,50.152554
351,15.0,39.683594
352,20.0,44.05277
353,5.0,56.858387
354,20.0,42.906776
355,70.0,48.18158
356,85.0,48.439804
357,100.0,51.32267
358,30.0,62.649426
359,85.0,54.531597
360,5.0,24.134838
361,60.0,48.86042
362,15.0,45.27157
363,70.0,38.309372
364,15.0,49.737297
365,75.0,57.3142
366,15.0,40.051052
367,15.0,29.581078
368,30.0,31.307236
369,90.0,56.111443
370,50.0,57.80656
371,50.0,46.411514
372,10.0,45.00143
373,5.0,35.052094
374,90.0,29.71306
375,70.0,47.261967
376,100.0,47.0017
377,20.0,43.09784
378,30.0,40.96148
379,90.0,41.88454
380,5.0,42.092335
381,95.0,50.341904
382,50.0,48.1779
383,15.0,40.66089
384,75.0,64.95298
385,15.0,45.754677
386,10.0,34.742058
387,60.0,52.87508
388,70.0,52.084816
389,15.0,35.4119
390,30.0,38.69431
391,5.0,49.454193
392,70.0,59.24163
393,10.0,45.56314
394,85.0,50.870052
395,75.0,50.65695
396,75.0,58.40824
397,30.0,64.36054
398,5.0,43.143745
399,100.0,54.839832
400,50.0,48.787292
401,100.0,54.090385
402,70.0,65.38876
403,30.0,47.46502
404,5.0,16.464273
405,60.0,34.47746
406,10.0,51.375313
407,35.0,46.095314
408,50.0,45.957664
409,30.0,36.21317
410,5.0,40.331764
411,5.0,33.714043
412,70.0,35.745567
413,30.0,35.54133
414,85.0,51.90763
415,15.0,44.537586
416,95.0,25.988419
417,70.0,56.864094
418,5.0,38.319294
419,20.0,37.55487
420,30.0,40.18452
421,50.0,44.26268
422,60.0,40.225754
423,35.0,35.68225
424,60.0,48.496746
425,85.0,51.78872
426,30.0,38.9662
427,100.0,65.12679
428,60.0,51.722668
429,30.0,42.65851
430,85.0,51.111855
431,5.0,33.028442
432,20.0,41.19805
433,60.0,49.745064
434,10.0,29.414886
435,95.0,43.643894
436,85.0,40.96637
437,70.0,47.229145
438,5.0,36.18826
439,15.0,61.3732
440,50.0,55.991093
441,50.0,54.012745
442,100.0,59.986267
443,20.0,24.008533
444,70.0,35.10254
445,50.0,46.53736
446,5.0,55.392647
447,85.0,51.816467
448,10.0,33.30915
449,15.0,35.47436
450,70.0,53.67712
451,50.0,47.428017
452,100.0,57.700497
453,85.0,44.17589
454,70.0,37.907543
455,85.0,45.448326
456,20.0,49.55696
457,70.0,32.14763
458,15.0,47.739834
459,20.0,55.87346
460,70.0,55.298733
461,60.0,51.748726
462,5.0,38.465267
463,35.0,38.749924
464,100.0,53.647324
465,60.0,55.068295
466,30.0,41.01677
467,20.0,48.40881
468,15.0,38.50484
469,60.0,51.38759
470,20.0,55.02071
471,90.0,55.27835
472,100.0,58.778378
473,100.0,55.07596
474,60.0,48.795532
475,70.0,46.88146
476,95.0,37.29631
477,30.0,52.991455
478,85.0,58.83541
479,75.0,44.461655
480,50.0,44.585064
481,50.0,45.854553
482,30.0,44.823418
483,85.0,47.57306
484,30.0,48.080368
485,70.0,45.16586
486,75.0,49.929432
487,95.0,54.066864
488,50.0,58.998604
489,5.0,45.324467
490,20.0,24.828962
491,95.0,60.060307
492,70.0,37.658813
493,5.0,53.530197
494,5.0,43.032387
