,UND,0
0,100.0,62.579994
1,100.0,65.94437
2,60.0,45.032852
3,85.0,44.53583
4,30.0,33.477314
5,70.0,57.12403
6,15.0,40.24682
7,5.0,33.28842
8,85.0,48.69975
9,100.0,54.985634
10,30.0,30.268135
11,85.0,59.85259
12,10.0,10.307749
13,75.0,55.64922
14,70.0,41.178783
15,5.0,47.49395
16,95.0,56.180824
17,70.0,44.018196
18,35.0,35.78452
19,70.0,57.116882
20,50.0,32.78221
21,20.0,34.247555
22,60.0,54.922092
23,85.0,36.111145
24,5.0,23.59191
25,50.0,29.161922
26,75.0,27.63897
27,90.0,73.59974
28,30.0,33.313854
29,100.0,54.605907
30,50.0,48.83747
31,15.0,45.648346
32,60.0,43.983517
33,30.0,53.876686
34,90.0,52.4093
35,20.0,33.180164
36,50.0,42.486546
37,5.0,40.54507
38,35.0,56.02952
39,85.0,59.766174
40,20.0,39.26506
41,95.0,47.452866
42,50.0,52.3635
43,60.0,47.159588
44,60.0,42.947777
45,95.0,52.704563
46,50.0,54.496788
47,50.0,50.92197
48,60.0,52.695576
49,50.0,51.202053
50,70.0,35.864487
51,70.0,48.01729
52,30.0,59.549644
53,20.0,50.004906
54,50.0,51.609795
55,30.0,38.275425
56,95.0,55.7455
57,50.0,51.568054
58,85.0,40.816242
59,85.0,85.11213
60,30.0,38.91272
61,60.0,56.817123
