,UNUSUAL_BELIEFS,0
0,0.75,12.307441
1,0.0,10.756387
2,0.0,8.439775
3,0.0,12.316049
4,1.0,13.249414
5,1.75,16.7828
6,0.0,9.146795
7,0.25,11.215331
8,1.5,18.070883
9,0.25,15.94359
10,0.25,10.259734
11,0.25,13.237622
12,0.0,11.176612
13,0.25,11.009163
14,0.0,12.708288
15,0.0,14.820648
16,0.75,13.6956
17,0.25,7.680947
18,0.0,11.148517
19,0.0,6.4808135
20,1.75,18.398165
21,0.0,14.595532
22,0.0,12.214389
23,1.75,17.128561
24,0.0,11.800225
25,0.0,15.2448435
26,1.25,13.199946
27,0.0,15.439906
28,0.0,9.701461
29,0.0,17.604212
30,1.75,18.63946
31,2.0,17.351538
32,0.0,9.684503
33,0.0,11.355352
34,0.5,14.776435
35,0.5,14.51078
36,1.25,15.323136
37,0.25,13.956618
38,1.75,16.261637
39,0.0,11.346328
40,1.5,14.439235
41,0.0,9.155923
42,0.0,8.6914425
43,1.25,16.16654
44,1.75,8.211168
45,1.0,15.1132345
46,0.0,8.879282
47,0.25,14.309117
48,0.25,16.043879
49,0.5,16.874002
50,0.75,13.099074
51,0.5,16.08357
