,UNUSUAL_BELIEFS,0
0,1.5,13.564516
1,0.0,13.857474
2,0.0,10.336509
3,0.0,13.305806
4,1.0,10.916696
5,0.0,14.19897
6,2.75,17.115229
7,0.0,12.305402
8,1.75,20.381054
9,0.75,13.134346
10,2.5,13.557998
11,0.0,11.180207
12,0.0,16.832802
13,3.0,19.95684
14,1.5,16.039785
15,2.0,21.2213
16,0.0,8.73022
17,1.0,11.827907
18,1.75,14.243281
19,0.0,15.003526
20,1.0,12.804001
21,0.0,10.432954
22,0.0,14.5961275
23,0.5,12.545629
24,0.25,11.189267
25,0.0,10.450101
26,0.0,11.568154
27,0.0,12.502126
28,3.0,18.013596
29,0.0,7.9420505
30,0.0,11.642459
31,1.5,13.3047285
32,0.75,12.5602455
33,0.0,13.164427
34,1.5,17.477522
35,0.75,12.435613
36,0.0,8.769715
37,0.25,12.242664
38,2.0,16.477327
39,1.25,9.534275
40,0.25,9.333225
41,0.25,9.870368
42,0.25,16.117174
43,1.75,21.2179
44,1.25,16.445726
45,0.25,7.6009617
46,1.25,12.4348755
47,0.0,10.268494
48,0.0,11.369928
49,0.0,8.935781
50,1.0,11.374831
51,0.0,8.488046
52,1.25,16.692362
53,0.0,10.137746
54,0.0,9.514409
55,0.5,14.727328
56,0.0,10.412331
57,2.0,16.589754
58,2.5,12.155709
59,0.25,13.093743
60,1.75,20.920519
61,0.0,12.597228
62,0.5,13.931481
63,0.0,3.427252
64,0.0,13.794416
65,1.75,10.550328
66,0.25,6.625181
67,0.0,8.885457
68,0.0,10.63136
69,0.0,10.351265
70,0.5,8.405755
71,0.0,9.764165
72,0.0,14.943581
73,0.0,9.164441
74,2.25,15.505368
75,0.0,8.859031
76,0.0,11.292818
77,0.25,16.782156
78,0.0,13.581677
79,0.25,10.703347
80,0.5,12.898509
81,2.25,22.190138
82,0.0,7.1064305
83,0.25,12.004318
84,0.0,10.6304655
85,0.0,9.598992
86,0.0,11.776814
87,1.75,14.820235
88,1.0,11.905391
89,0.0,7.3516917
90,0.0,8.050643
91,0.0,13.316863
92,1.0,15.963465
93,0.0,12.150312
94,0.75,13.387921
95,0.25,10.999318
96,0.0,14.306102
97,0.5,14.408759
98,0.0,7.4970307
99,0.75,14.331855
100,1.0,13.830565
101,0.0,12.681064
102,1.5,13.893741
103,1.75,14.380027
104,0.75,14.554545
105,0.0,10.307584
106,0.0,13.423213
107,0.25,16.940908
108,0.0,8.400733
109,0.0,5.9098496
110,0.0,8.366748
111,0.5,15.609672
112,0.75,9.445751
113,1.25,14.511968
114,1.0,10.50536
115,0.25,9.983624
116,0.0,9.29448
117,2.25,13.757041
